YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.1020317	0.4551515	0.6615343	0.5353352	0.4186689	0.2287232	0.5320704	0.0908731	0.2397297	0.5333139
0.0880085	0.5965041	0.6950439	0.4172331	0.3330780	0.0811410	0.2712073	0.7738370	0.5624404	0.0272836
0.1218331	0.6389739	0.6242602	0.4795469	0.4078229	0.2413325	0.4008141	0.6606903	0.6259280	0.2385455
0.1121311	0.6205345	0.7514989	0.7225001	0.2172234	0.5422518	0.3955861	0.9085850	0.7787996	0.9339632
0.0866240	0.7158901	0.5262915	0.3580234	0.3753676	0.0294937	0.3008961	0.5380301	0.4513845	0.0022906
0.1483087	0.6009196	0.7181379	0.3702522	0.2638198	0.5372726	0.2924563	0.8612625	0.6212962	0.8691498
0.0882765	0.6998265	0.6108412	0.2997573	0.4120752	0.4387396	0.7310033	0.5624012	0.5349980	0.7795198
0.1334746	0.6736028	0.6694296	0.2811049	0.4146547	0.0625371	0.4090283	0.6268233	0.4671844	0.0030637
0.1562044	0.6012624	0.5074895	0.2497311	0.3798815	0.2644932	0.4488489	0.4532908	0.4247482	0.3790315
0.1743045	0.5382049	0.5240969	0.3086021	0.2188625	0.4955153	0.2653912	0.8644402	0.6479823	0.9189494
