YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.4088645	0.7787971	0.9035099	0.0447236	0.2019625	0.9072268	0.4808410	0.2160566	1.1037605
1.1322757	0.0000000	0.6901620	0.9780507	0.0384927	0.2116517	1.0028725	0.0429280	0.1771368	0.9782604
0.2223636	0.9946079	0.0000000	0.8760657	0.0838211	0.2341658	0.9648558	0.3656271	0.2717819	1.0079143
0.2560862	0.9792648	0.1003172	0.0000000	0.1271452	0.3554209	0.9745902	0.4021038	0.3205516	1.1160663
0.4457058	0.4652166	0.7277472	1.1153261	0.0000000	0.1655534	0.9485780	0.2161832	0.0422208	1.0980937
0.3837399	0.4801893	0.5910713	0.9661389	0.0115674	0.0000000	1.0275461	0.2830544	0.0688622	1.0614045
0.4206218	0.5030915	0.7738831	0.8249833	0.5673436	0.8607582	0.0000000	0.2564027	0.5554315	1.0138073
0.3737936	0.4638067	0.6800291	0.9910984	0.0423668	0.1659163	1.0099059	0.0000000	0.2462578	1.0159341
0.3322296	0.4118316	0.7371626	1.0951936	0.0446196	0.2743269	1.1118349	0.2509845	0.0000000	0.9407376
0.4689722	0.4089451	0.8104623	0.8628098	0.0315793	0.2120017	0.9414660	0.5085205	0.7292276	0.0000000
