"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
400	0.4297450	1.0018033	0.5522777	0.5923577	0.7156881	0.0297533	0.4519980	0.2951618	0.4244788	0.9752619
450	0.4450819	1.0474504	0.5741326	0.6117399	0.7098842	0.0275457	0.4598053	0.3126581	0.3973053	1.0095525
500	0.4827994	1.0258038	0.4685474	0.5826166	0.7538685	0.0078470	0.4963184	0.3012815	0.4642209	0.9622805
550	0.4894786	1.0510445	0.5315650	0.5348878	0.2556102	0.3456593	0.5025118	0.3873311	0.4478024	0.9574694
600	0.4724114	0.9878013	0.5128490	0.6496209	0.1940966	0.4667814	0.5203643	0.4054217	0.5300110	0.9489996
650	0.4535228	1.0134830	0.5803848	0.8013476	0.2742495	0.5321012	0.5246909	0.3241793	0.6201540	0.9762822
700	0.5598015	0.9336907	0.5091795	0.7643287	0.3317988	0.5011607	0.5772894	0.3432760	0.5931057	0.9667950
750	0.5201691	0.9950870	0.4155982	0.7756154	0.3176568	0.5087799	0.6042952	0.3582219	0.5601976	1.0363173
800	0.5020696	1.0362154	0.3690342	0.8159860	0.2964980	0.5375121	0.5377905	0.3511936	0.5843678	1.0951497
850	0.4058726	0.9941938	0.3484862	0.7245492	0.3367516	0.5506068	0.5562247	0.3332732	0.5962425	1.0458420
900	0.4767876	0.9753565	0.4483196	0.6352709	0.3205297	0.5233203	0.4981851	0.3171891	0.6623278	1.0185566
950	0.4686163	0.9898470	0.4587525	0.6757840	0.2782328	0.5289805	0.5413160	0.2932238	0.6404754	0.9613304
1000	0.4138268	1.0497113	0.4386422	0.7158666	0.2972581	0.4535451	0.5804434	0.2641150	0.6189600	0.9975867

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.2726280	0.9413048	0.1662165	0.8466810	0.3628799	0.5588828	0.6368891	0.3057507	0.6371389	0.9594937
100	0.2857985	1.0067554	0.1381042	0.7403838	0.3016324	0.5523464	0.5743044	0.3123684	0.5745693	1.0237586
150	0.2793527	0.8941265	0.1477181	0.7301337	0.3538197	0.5736076	0.5798543	0.3324497	0.6145247	0.9996843
200	0.2332818	1.0058501	0.1582462	0.7282750	0.3116529	0.5566439	0.5462343	0.3026290	0.5778890	0.9460758
250	0.2319184	0.9604251	0.1704520	0.6598644	0.3250693	0.5373042	0.5872644	0.2990480	0.5622626	0.9657463
300	0.2605027	1.0055520	0.1477769	0.7535575	0.3215052	0.5225278	0.5493208	0.3243442	0.5576183	0.9414513
350	0.2086034	0.9442726	0.1190374	0.7185241	0.3024443	0.5340912	0.5710904	0.3701144	0.6181331	0.9514191
400	0.2369326	0.8968081	0.1096328	0.7454420	0.2932772	0.5855589	0.6495190	0.3577679	0.5804223	0.9911369
450	0.2590853	0.9253798	0.1251730	0.6931455	0.2978516	0.6266954	0.5973195	0.3072442	0.6646009	1.0649591
500	0.2481572	0.9823201	0.1466954	0.6356194	0.3758878	0.5555523	0.6027139	0.3079868	0.6227875	1.0504687
550	0.4423775	0.9548759	0.3906961	0.5601680	0.3007908	0.5229661	0.6587722	0.3287719	0.6228702	1.0567701
600	0.4406258	1.0388788	0.5153733	0.6178800	0.2938647	0.4590005	0.6294818	0.2967721	0.6309862	1.1343147
650	0.3854637	1.0604643	0.5609987	0.6221905	0.1944920	0.4436365	0.6260962	0.3321993	0.6383649	1.0465392
700	0.3796738	1.0477561	0.5051041	0.7295958	0.2596086	0.5286181	0.5535905	0.2828430	0.7214943	1.0490751
750	0.4692845	1.0124548	0.4875144	0.7725926	0.3109076	0.5435983	0.5889874	0.3531277	0.6063440	1.1401691
800	0.4969954	1.0555778	0.5013975	0.7442134	0.2869995	0.4808956	0.6316363	0.3214717	0.6426868	1.0702964
850	0.4721519	1.0117627	0.4503711	0.7726403	0.3434855	0.5180768	0.6033643	0.3113779	0.6178359	1.0275271
900	0.4791433	0.9784708	0.4694740	0.6408397	0.2989846	0.5588426	0.5693507	0.3015653	0.5848812	1.0220077
950	0.4339143	1.0343604	0.4761404	0.6093143	0.2626297	0.4993283	0.5805634	0.3409499	0.6076882	1.0121899
1000	0.4402823	0.9739791	0.4138448	0.5935006	0.3093130	0.5808256	0.6887803	0.3292828	0.5940675	0.9702556

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.4936524	1.0890267	0.2100082	0.7252094	0.2771757	0.2417923	0.5589014	0.3614358	0.6021822	0.9709914
100	0.3740680	1.1195962	0.1209866	0.7084045	0.1330227	0.1998539	0.5805819	0.3833066	0.5395123	0.9443110
150	0.4369310	0.9330626	0.1297634	0.8216861	0.0713303	0.1902901	0.6715485	0.3489395	0.5454984	0.9623709
200	0.5245109	0.9079350	0.1057717	0.7600586	0.0903919	0.1636808	0.7455768	0.3470050	0.5307731	0.9738421
250	0.5494192	1.0550289	0.1330775	0.8044843	0.0762021	0.1608020	0.7552395	0.3399620	0.4967867	1.0630895
300	0.5489039	1.0718205	0.1017782	0.7447683	0.0650183	0.0969156	0.7607915	0.4080827	0.4900911	1.0585069
350	0.4976300	0.9754267	0.1090557	0.8023299	0.0304375	0.0736653	0.7806633	0.3385722	0.5022992	1.0283262
400	0.4589622	0.9435856	0.1055156	0.7939475	0.0366890	0.0897768	0.8224887	0.3956074	0.4803028	1.0195151
450	0.5582835	0.9722797	0.1139495	0.8261170	0.0282325	0.0882456	0.7411520	0.3831422	0.5136497	1.0765554
500	0.4855807	1.0810006	0.1097791	0.7611790	0.0366469	0.1077061	0.7752899	0.3827573	0.4892173	1.1065341
550	0.4244530	1.0555136	0.2438318	0.9084425	0.0712817	0.3766575	0.7759292	0.4152264	0.4990027	1.0457872
600	0.4190961	1.0196650	0.2956727	1.0031523	0.1468038	0.3721842	0.7486350	0.3354491	0.5460062	1.0344730
650	0.3291418	1.0205404	0.2088421	0.9555369	0.1941525	0.4068062	0.7431777	0.3405715	0.6085027	1.0487839
700	0.4303848	1.0197150	0.2514849	0.9266206	0.2033878	0.4120804	0.7482448	0.3518165	0.6052461	1.0531707
750	0.4527813	0.9988460	0.2765237	0.9346984	0.2524649	0.4451235	0.7548146	0.3756341	0.6204570	0.9596158
800	0.4813776	0.9002226	0.2778064	0.9130815	0.2351187	0.4809609	0.6592434	0.3142524	0.6132579	0.9317762
850	0.5185534	0.9790078	0.2675826	0.9117869	0.2488537	0.4215829	0.5959346	0.3106589	0.5809151	0.9978858
900	0.5478582	1.0064433	0.2914648	0.9045835	0.2658292	0.4813753	0.6636028	0.3474982	0.6075853	1.0289482
950	0.4796131	0.9723639	0.3505078	0.7747103	0.2620819	0.4900923	0.6865101	0.3060200	0.5617175	1.0032632
1000	0.5232258	0.9693441	0.4144534	0.7810828	0.2876972	0.5018132	0.5131441	0.2463604	0.6199104	0.9692079

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.5179482	0.9836949	0.4405298	0.5983554	0.3017367	0.4894880	0.6314969	0.2842949	0.7859963	0.7449840
100	0.5628640	0.9007292	0.4925806	0.5370632	0.3268897	0.5064305	0.5849845	0.2043076	0.8532672	0.5322167
150	0.5433510	0.8974744	0.4946647	0.4599182	0.3332526	0.5160872	0.5358513	0.1892842	0.8690680	0.4785663
200	0.5239396	0.8356715	0.6193299	0.4305545	0.3015638	0.5017777	0.6190432	0.1989926	0.8591286	0.4335053
250	0.5874944	0.8184045	0.7556583	0.5012090	0.3224454	0.4789102	0.6425106	0.2201830	0.9383996	0.4265668
300	0.6020515	0.8463954	0.6317093	0.5221311	0.3002509	0.4892895	0.7349803	0.2151176	0.9523481	0.4634721
350	0.6706336	0.8042806	0.7169934	0.5712754	0.2638669	0.5067093	0.6913851	0.1631907	0.9351042	0.4236456
400	0.6341472	0.8621855	0.5962733	0.5415852	0.2750351	0.4467434	0.7004272	0.1634304	0.9133619	0.3963808
450	0.5849977	0.8971733	0.6243121	0.5813401	0.2543215	0.4510370	0.6421884	0.2062347	0.9612378	0.4004119
500	0.5853299	0.8178319	0.6012043	0.5944741	0.2458633	0.4584876	0.6292997	0.2148327	0.9635764	0.3356667
550	0.5357475	0.9349779	0.6780115	0.6714443	0.2444522	0.4416241	0.6990080	0.2673376	0.5830726	0.6205197
600	0.5394714	0.9302588	0.4742155	0.6914088	0.2105190	0.4141392	0.6717568	0.2656528	0.4765578	0.8362261
650	0.5446477	1.0484631	0.5088349	0.7789900	0.1971128	0.4372095	0.6855576	0.3693204	0.5233161	0.8526222
700	0.4592662	0.9857399	0.4838407	0.8307721	0.2150738	0.4249413	0.6610214	0.3696976	0.5643934	0.9257700
750	0.4826804	1.0322554	0.4423983	0.8483048	0.2375736	0.4255719	0.5653412	0.3188308	0.5728774	1.0441084
800	0.5321871	1.0578060	0.3800107	0.7928168	0.2242997	0.5090228	0.5929857	0.3290196	0.5713165	1.0044721
850	0.5701175	1.0444808	0.4084501	0.8095910	0.2430896	0.5278998	0.5570396	0.3175393	0.5733311	1.0013394
900	0.4680733	0.8983069	0.3861071	0.6473481	0.2680908	0.5414356	0.5457140	0.3039041	0.6135354	0.9751011
950	0.5034064	0.9620890	0.4865526	0.6625976	0.2868409	0.5479447	0.5378314	0.2925160	0.6113781	1.0200826
1000	0.4300108	1.0095032	0.4938165	0.7248543	0.2975863	0.5391187	0.5881433	0.3104080	0.5777040	0.9600403

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.6397705	0.4083252	0.1211760	0.7468499	0.3983941	0.4917482	0.4775091	0.0702697	0.5891531	0.9386646
100	0.8976815	0.2496005	0.0613109	0.6091437	0.4625831	0.4943106	0.4258243	0.0222901	0.5459057	0.8000042
150	0.9163304	0.1911052	0.0777275	0.4820496	0.4422258	0.5474145	0.4194035	0.0189679	0.5459002	0.8307622
200	1.0220198	0.2051344	0.0887107	0.3882580	0.4477149	0.5281042	0.3750839	0.0419270	0.5582251	0.8497404
250	0.9382120	0.1878337	0.1190275	0.2640097	0.4813520	0.5325485	0.3538411	0.0247719	0.5832322	0.8399240
300	1.0144319	0.1616204	0.1415872	0.2544208	0.5094815	0.4778742	0.3105170	0.0313898	0.6047739	0.8457253
350	0.9339083	0.2029960	0.0861504	0.1937513	0.5091844	0.5504027	0.3434124	0.0259207	0.5660519	0.8880042
400	0.9978227	0.2001280	0.0779696	0.1948994	0.5206132	0.5238170	0.3035886	0.0278246	0.6073139	0.9501191
450	1.0533101	0.1946602	0.0713477	0.1531229	0.4952903	0.5309733	0.3152017	0.0207918	0.6388539	0.9204274
500	0.9772689	0.1643995	0.0986376	0.1398628	0.4718910	0.4954667	0.3026182	0.0196853	0.6568539	0.9071958
550	0.8859378	0.7152786	0.6479116	0.1849251	0.3722658	0.5499712	0.5638281	0.2845735	0.6408611	0.9630715
600	0.7301172	0.9916673	0.6623974	0.3941699	0.3005698	0.4714812	0.5858426	0.2984507	0.6281673	0.9349146
650	0.5341942	0.9592226	0.6147176	0.5827661	0.3117923	0.4865504	0.5569882	0.3438148	0.6309766	0.9883015
700	0.5267187	0.9525320	0.5506651	0.6754513	0.2811054	0.4917420	0.6177258	0.3878739	0.5819407	0.9960360
750	0.5061228	1.0099687	0.5159193	0.6020403	0.2556492	0.4496942	0.5927827	0.3380622	0.5827687	1.0022968
800	0.5108275	1.1127251	0.4842363	0.6439894	0.2674770	0.5061343	0.6204685	0.3582559	0.5764495	0.9828471
850	0.4297437	1.0255280	0.4762071	0.8049944	0.2947224	0.4530531	0.6303931	0.3599742	0.5616129	0.9945328
900	0.4517307	0.9778691	0.4875291	0.7899083	0.2716502	0.4587995	0.6248859	0.3814153	0.6059619	1.1033808
950	0.4576981	0.9377057	0.4893935	0.8607189	0.2221015	0.4843241	0.6298096	0.3331727	0.6118910	0.9513849
1000	0.4704653	0.9939853	0.3988888	0.8544750	0.2379206	0.5004054	0.6228353	0.3154707	0.6271950	0.9080693

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.3917336	0.9829519	0.5030037	0.4383802	0.5001493	0.5508824	0.2492632	0.3059092	0.8514196	0.6106608
100	0.4311591	1.0205734	0.5273632	0.3831497	0.5675689	0.5510447	0.1254270	0.2621289	0.9479319	0.3938100
150	0.5168109	0.9657198	0.6295378	0.3430635	0.5700570	0.5618481	0.0561209	0.2128777	0.9607603	0.3176115
200	0.4825935	0.9877040	0.6388707	0.3479984	0.5681961	0.5752226	0.0358757	0.2659668	0.8682855	0.2926263
250	0.5914065	0.9596833	0.6512888	0.3143240	0.6359197	0.6151273	0.0249464	0.2748138	0.8882246	0.2710265
300	0.5969770	0.9729475	0.7189322	0.3558935	0.6873928	0.5994892	0.0226455	0.2761341	0.8261934	0.2646463
350	0.5134936	1.0295265	0.6099177	0.3700511	0.5774726	0.5850850	0.0196881	0.2732603	0.8697674	0.2429140
400	0.5075981	0.9963945	0.6469223	0.3676686	0.6257554	0.5996570	0.0357120	0.2708849	0.8410365	0.2625694
450	0.5462839	1.0149117	0.6633173	0.3550362	0.6593108	0.5272422	0.0242440	0.3110233	0.9691594	0.2398011
500	0.4888539	1.0277531	0.6027746	0.3374409	0.6359724	0.5348077	0.0404282	0.2841368	0.9411914	0.2581709
550	0.5491603	1.0413533	0.6425042	0.4857826	0.3817632	0.5435685	0.3910187	0.3365649	0.5843915	0.6039808
600	0.4422037	1.0131535	0.6605782	0.6055055	0.3053355	0.5669151	0.4919029	0.3948589	0.4636080	0.8539434
650	0.3880445	1.0551865	0.6253752	0.6693026	0.2881066	0.5252657	0.4554103	0.4417879	0.4713783	0.9037709
700	0.4191351	1.0419722	0.5073579	0.7127566	0.3136902	0.5429800	0.5082287	0.3385990	0.4708514	0.9233548
750	0.4006656	1.0549962	0.5092837	0.6746295	0.2904286	0.5376669	0.5437961	0.3788578	0.5157869	1.0110910
800	0.4390839	1.0159586	0.4384894	0.6910535	0.3340854	0.5679824	0.5669954	0.3780302	0.5437161	1.0522570
850	0.5355874	0.9900079	0.4842149	0.7082288	0.3366591	0.5732615	0.5674703	0.3768387	0.5379776	1.0142914
900	0.5139198	1.0407127	0.4782977	0.6602907	0.3498500	0.5100630	0.5957684	0.3526960	0.6311938	1.0811303
950	0.4351637	1.0865738	0.4050467	0.6751806	0.3494872	0.5132069	0.5639533	0.3567544	0.6357747	1.0798804
1000	0.5003752	1.0467457	0.4440247	0.7673228	0.3350495	0.4823705	0.6053442	0.3300286	0.6419076	1.0333025

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.4614333	0.9787346	0.5425128	0.6929113	0.4154687	0.5319156	0.6417755	0.1163774	0.5446239	0.4365099
100	0.3750484	0.9295943	0.4131074	0.7154094	0.4821402	0.4709349	0.6489891	0.1014316	0.5065094	0.2216315
150	0.4905796	0.9581171	0.3951037	0.6423725	0.5109631	0.5395967	0.6875268	0.1187587	0.4333604	0.1166399
200	0.5536550	0.9736645	0.4987504	0.5151450	0.4642403	0.5172220	0.6012692	0.1148037	0.3403939	0.0809302
250	0.5386089	0.9176522	0.5361704	0.5058403	0.4820951	0.5215874	0.6380973	0.1119410	0.3075319	0.0389986
300	0.5353690	0.9935413	0.6300316	0.5966073	0.5307347	0.4837265	0.6599307	0.1215057	0.2481005	0.0304724
350	0.5551197	0.9743696	0.6370819	0.6781782	0.4662132	0.4865161	0.6256406	0.1336314	0.2377873	0.0247261
400	0.4327412	1.0334874	0.5776233	0.6143551	0.4572616	0.4877338	0.6590580	0.1696969	0.2076549	0.0162186
450	0.4631682	1.0100168	0.5675038	0.5745690	0.4798711	0.5371733	0.6847262	0.1734092	0.2064300	0.0122307
500	0.5152486	1.0022717	0.6146637	0.6146996	0.5192121	0.5216735	0.6251380	0.1706515	0.2176686	0.0066931
550	0.5314251	1.0526224	0.5336790	0.6106056	0.3226284	0.4594665	0.6160140	0.4897366	0.2085786	0.5089687
600	0.4488842	1.0920847	0.6190213	0.6846838	0.2502704	0.5294210	0.4952292	0.5869480	0.2954356	0.8220972
650	0.3951531	1.0650294	0.5349136	0.7595790	0.2977522	0.4955616	0.5228036	0.5238419	0.4421792	0.9347106
700	0.4669938	1.1263502	0.4504044	0.7730926	0.3301498	0.4838472	0.4901467	0.4098323	0.5843516	0.9632611
750	0.4745907	1.0326997	0.4176338	0.7998061	0.2517675	0.5369756	0.5520186	0.3752251	0.6201444	0.9663423
800	0.4416857	0.9589056	0.4086778	0.8320394	0.2838055	0.5797435	0.5478606	0.3861392	0.6031131	0.9702553
850	0.5621946	0.9843944	0.3672276	0.8165236	0.2748176	0.5786201	0.5162280	0.3502264	0.5566433	0.9923469
900	0.4375679	1.0230523	0.3102575	0.8376258	0.2871703	0.4948496	0.5720901	0.4064714	0.5298162	1.0308591
950	0.4632022	0.9919929	0.3095082	0.8632427	0.2420229	0.4900944	0.5355742	0.3142617	0.5564626	1.0136976
1000	0.4597667	0.9070404	0.2790798	0.8414812	0.2717111	0.4792654	0.5035940	0.3439823	0.5908308	1.0716048

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.5461179	1.0960106	0.4180546	0.8306521	0.2579355	0.5049718	0.6478166	0.3027361	0.9232185	0.9882552
100	0.5105275	1.0023781	0.4367319	0.8428572	0.2657182	0.4645923	0.6531927	0.2594380	0.9698992	1.0359033
150	0.4602505	1.0224711	0.4475182	0.8742293	0.2485643	0.4420604	0.6164173	0.2491106	0.9560998	0.9919292
200	0.4595519	1.0030055	0.3669724	0.8529428	0.2204704	0.4516321	0.6693852	0.2423831	0.9917835	0.9904716
250	0.4387012	1.0331848	0.2871194	0.9080341	0.2273520	0.4465475	0.6929923	0.2239073	0.9550092	1.0083194
300	0.5481392	1.0229385	0.2933195	0.8840385	0.2821150	0.5205089	0.6704686	0.2675911	0.9810631	1.0060567
350	0.4482417	0.9535449	0.3549008	0.7640798	0.3235963	0.4311060	0.6512977	0.2522775	1.0103270	0.9386503
400	0.5330817	0.9635174	0.4048836	0.8421901	0.2422037	0.4275789	0.5860020	0.2652094	1.0241958	0.9017407
