"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.4875976	0.5442505	0.1895721	0.0813905	0.0615698	0.2623004	0.3158558	0.3474297	0.6392944	0.8379330
50	0.4371791	0.6441983	0.3697255	0.1217611	0.0833945	0.2311386	0.3190238	0.3235519	0.6474100	0.7501100
100	0.3398564	0.6931167	0.2212698	0.2170507	0.1533057	0.1830158	0.2633805	0.4626265	0.5197481	0.8186848
150	0.4260702	0.5617202	0.2558710	0.1433933	0.1381786	0.2454228	0.2151394	0.3758404	0.6700512	0.8469174
200	0.4618348	0.5744172	0.2479328	0.1356807	0.0728656	0.2593661	0.3052442	0.4874428	0.5732551	0.6650584
250	0.3372466	0.6016675	0.1881292	0.0930499	0.1518826	0.2490749	0.2644883	0.5098576	0.7342360	0.6170685
300	0.3528663	0.6636275	0.2309350	0.1345563	0.1109040	0.1905344	0.1892866	0.5551111	0.5511287	0.7739458
350	0.3980830	0.6301283	0.1699578	0.1089486	0.1041191	0.2005184	0.2035972	0.4269031	0.7080567	0.6179856
400	0.4125315	0.5123451	0.3211818	0.2138656	0.0990432	0.1693622	0.2314717	0.4881696	0.6176636	0.7923797
450	0.4280731	0.5182030	0.2400646	0.0874991	0.0429498	0.2344616	0.2579777	0.3982657	0.5770492	0.8250911
500	0.4661238	0.4668431	0.1789760	0.0784237	0.1035617	0.1847339	0.2914714	0.3826065	0.7050892	0.6450350
550	0.5571488	0.5172886	0.1707795	0.1390566	0.0802417	0.2245044	0.1826939	0.4807979	0.5869447	0.7494768
600	0.5271810	0.5927435	0.1354839	0.1375474	0.0884692	0.2735503	0.2298642	0.3331950	0.6785517	0.6989328
650	0.6104708	0.6036167	0.1410160	0.1185532	0.0993053	0.2488529	0.3498949	0.3245468	0.6593483	0.7679952
700	0.5923290	0.5008861	0.1603282	0.1092064	0.1175987	0.1776487	0.2743139	0.3018999	0.5681371	0.5727294
750	0.4695673	0.5400416	0.2242007	0.1542135	0.1061102	0.2482422	0.2492020	0.3993273	0.6488944	0.7504927
800	0.5549215	0.6797424	0.2153400	0.0843222	0.0878594	0.2349303	0.3279208	0.3703024	0.7167771	0.7561402
850	0.5630541	0.6291202	0.2300562	0.1915428	0.1797987	0.3155115	0.2891106	0.3577753	0.6402537	0.8282635
900	0.6082933	0.6094201	0.2267331	0.0762560	0.1349044	0.2751934	0.3807801	0.3823067	0.7086213	0.9455526
950	0.4329662	0.6716770	0.2014412	0.2329480	0.1939329	0.3008970	0.3159127	0.3955730	0.5350902	0.8178620
1000	0.6877080	0.4700514	0.2553949	0.2117847	0.1354528	0.3325372	0.2792192	0.4309411	0.6438059	0.8118946

0	0.5067058	0.6009980	0.2771089	0.1212423	0.1512912	0.2050586	0.4058992	0.3314833	0.6201262	0.7518918
50	0.4273535	0.4910579	0.2917183	0.0920916	0.0803125	0.1979657	0.2452690	0.4170398	0.7147860	0.7375649
100	0.3450032	0.3768585	0.3780832	0.0925248	0.0453257	0.1815486	0.2903286	0.4429223	0.6909321	0.8356342
150	0.4128204	0.2265967	0.3224388	0.0790602	0.0607437	0.1559161	0.2964730	0.5614634	0.6094661	0.6009638
200	0.5186014	0.3183225	0.3619448	0.0650169	0.0548203	0.1814134	0.2334530	0.4537195	0.6121608	0.6387081
250	0.2757616	0.2190337	0.3371500	0.0476041	0.0651529	0.1713495	0.2660316	0.4929563	0.7090795	0.6263147
300	0.3312440	0.1301439	0.3945733	0.0733778	0.0645219	0.1310723	0.2201197	0.4448975	0.5908593	0.8624540
350	0.3660932	0.1117884	0.4721100	0.1167683	0.1053744	0.2311576	0.2234509	0.4357132	0.5659666	0.7367995
400	0.3502836	0.2147643	0.3774110	0.0933440	0.0779796	0.1749973	0.2891458	0.3732087	0.6793469	0.7804698
450	0.3686050	0.1553751	0.4920056	0.0684544	0.1139389	0.1451945	0.2854252	0.4908504	0.6437210	0.7804663
500	0.4344997	0.1751235	0.4686503	0.1033550	0.0821661	0.2426164	0.2269660	0.3690631	0.7350690	0.7285867
550	0.6611986	0.2066039	0.1627413	0.0710212	0.0811726	0.1582725	0.2506363	0.3920542	0.6442118	0.8798312
600	0.7576404	0.4294328	0.1991971	0.0908589	0.0368161	0.2321615	0.2727035	0.2897244	0.7128423	0.6575241
650	0.6279221	0.4743866	0.1950654	0.0784746	0.0642437	0.1904686	0.3331124	0.4065791	0.5942647	0.6369557
700	0.6405435	0.5359681	0.2108736	0.0620637	0.0342610	0.2125341	0.2928021	0.2150047	0.6994392	0.7545398
750	0.5887906	0.4547378	0.1363732	0.0636518	0.0860521	0.1816629	0.2661844	0.3857764	0.6550648	0.5915792
800	0.6076274	0.8049671	0.1917344	0.1195656	0.0675891	0.2294628	0.3781708	0.3343008	0.6827455	0.8577958
850	0.4509826	0.6748681	0.1776703	0.0789337	0.0726460	0.2207363	0.2597099	0.4283054	0.7926751	0.6919166
900	0.4051771	0.6423756	0.1493233	0.0817124	0.0704809	0.1943360	0.2554619	0.4335416	0.6418387	0.7398671
950	0.5080163	0.6257798	0.2302849	0.1078563	0.0762362	0.1795396	0.2945512	0.4555226	0.6206859	0.8726992
1000	0.5398513	0.7657648	0.1424801	0.1246159	0.0942690	0.2811396	0.3202964	0.4037499	0.6923210	0.7762385

0	0.6178533	0.6357688	0.2895962	0.0895675	0.0699211	0.2692242	0.3093741	0.4432182	0.6908915	0.7878238
50	0.4971349	0.5786516	0.3960784	0.4382727	0.1503400	0.1880868	0.3352919	0.4095285	0.6015107	0.8123051
100	0.5964028	0.4602163	0.4603809	0.5777564	0.1546747	0.2560996	0.3606027	0.4391535	0.7132662	0.7444180
150	0.6643138	0.3454511	0.7331527	0.5550422	0.1054856	0.2077751	0.3031996	0.2873276	0.6500573	0.7122219
200	0.6273919	0.1129662	0.8461710	0.6431845	0.1137134	0.2072812	0.3051662	0.2906545	0.7795895	0.7739890
250	0.6669810	0.1577345	0.7365722	0.4980662	0.1242348	0.1945234	0.2641666	0.3982051	0.5338891	0.8428891
300	0.8448185	0.0593998	0.6157897	0.6027350	0.0316024	0.1165053	0.2427059	0.3572425	0.5707558	0.8052201
350	0.7146098	0.0617799	0.6056575	0.4993662	0.0570565	0.1647319	0.2404673	0.3112903	0.6540446	0.5812841
400	0.7212846	0.0605840	0.7213441	0.5784497	0.1161991	0.1575105	0.3363905	0.3302168	0.6342605	0.7339000
450	0.7298734	0.0562112	0.5732829	0.5945894	0.0397289	0.1936237	0.3583215	0.2775468	0.5082758	0.7138502
500	0.7615093	0.0547353	0.6040686	0.5509659	0.0281272	0.1848403	0.3323287	0.2370104	0.5747457	0.7891831
550	0.8267987	0.0345036	0.6514372	0.1748482	0.0320171	0.1464570	0.3507942	0.3025180	0.7748072	0.8945253
600	0.7518674	0.0373589	0.5534261	0.0927866	0.0435482	0.1531250	0.4099669	0.4503188	0.6205483	0.8911255
650	0.7912995	0.1149884	0.4234796	0.1281956	0.0840741	0.1464282	0.3498367	0.2838445	0.8161584	0.7633067
700	0.8398928	0.2050583	0.2948559	0.0851329	0.0548823	0.2001365	0.3105719	0.2331710	0.6400144	0.7740899
750	0.7705844	0.3754569	0.1377344	0.0757196	0.0470694	0.1749279	0.3145684	0.2554213	0.6437032	0.7566213
800	0.7804263	0.4905282	0.2226119	0.0662273	0.0500626	0.2412017	0.3544562	0.2353302	0.5807918	0.9078802
850	0.6613873	0.5389693	0.1164191	0.0742714	0.0919203	0.2414123	0.2635625	0.3475856	0.7139836	0.7631582
900	0.5180376	0.7489731	0.1814176	0.0708938	0.1173117	0.2625027	0.3254793	0.4174489	0.5979450	0.7736057
950	0.5389196	0.6295718	0.2023793	0.0942818	0.1115558	0.2478573	0.4331060	0.3279725	0.6182643	0.7204955
1000	0.3953174	0.5552241	0.1638172	0.1324846	0.1365895	0.2967555	0.3080626	0.3601868	0.7211026	0.7621535

0	0.4085391	0.5935135	0.3161908	0.0833062	0.1215357	0.2483339	0.3280474	0.4758341	0.6290446	0.9028333
50	0.6494482	0.4719681	0.1736531	0.0699599	0.0881333	0.2438999	0.3372970	0.1439499	0.6661053	0.5724099
100	0.6943569	0.4051993	0.1219509	0.0735264	0.0656277	0.2238404	0.4289525	0.0701596	0.6128033	0.5842177
150	0.7628694	0.2813080	0.1930343	0.1113975	0.1047200	0.2062422	0.4778528	0.1083121	0.5587392	0.5304238
200	0.8665888	0.2489350	0.1763723	0.1278874	0.0989328	0.2971214	0.3571065	0.0528175	0.5708860	0.6344284
250	0.7638894	0.2616038	0.1969816	0.1645418	0.1629267	0.2223141	0.5200533	0.0332638	0.5982640	0.4438216
300	0.7703257	0.2648509	0.1736385	0.1179438	0.1484842	0.2098821	0.6025500	0.0368102	0.5847907	0.4910056
350	0.8373804	0.3131473	0.1923630	0.1670681	0.1987792	0.2739947	0.6027515	0.0680062	0.5476134	0.5570242
400	0.7309995	0.3018909	0.1829287	0.1711107	0.1311635	0.2769922	0.7146696	0.0749443	0.5319119	0.5134745
450	0.7362087	0.3641084	0.2344283	0.1753315	0.1433748	0.2298333	0.7339221	0.0570248	0.6507341	0.6135613
500	0.7619755	0.2427564	0.2811543	0.1619233	0.1168473	0.2650296	0.5797719	0.0514588	0.5331137	0.4906783
550	0.7283568	0.3987609	0.2261493	0.1309153	0.1620161	0.2736210	0.7615702	0.2002986	0.4377017	0.6617370
600	0.6650366	0.4100780	0.2763721	0.1504336	0.0855262	0.1982986	0.4304830	0.2813431	0.6452877	0.7047431
650	0.7229425	0.4601352	0.2383108	0.1095714	0.0722054	0.2404351	0.3675490	0.2545655	0.5873383	0.7242450
700	0.5935196	0.4254045	0.4405373	0.1248444	0.1130072	0.2634115	0.4116209	0.2826826	0.5061895	0.5968182
750	0.6955024	0.4105134	0.2167586	0.0713318	0.0973388	0.1878828	0.4455214	0.2809817	0.6359646	0.7104518
800	0.7668134	0.5140318	0.1873325	0.1304957	0.0618282	0.2772362	0.2785019	0.3050683	0.5973018	0.7192505
850	0.6000278	0.5695896	0.2044850	0.0673215	0.0590357	0.1794464	0.3343600	0.2420189	0.6194719	0.7890027
900	0.4941121	0.6963022	0.2071902	0.0177488	0.0751697	0.3015812	0.3474984	0.3858843	0.6715909	0.9469445
950	0.5075236	0.7236366	0.1908615	0.0925039	0.1027202	0.2654401	0.2995894	0.3860277	0.6553391	0.7373773
1000	0.4263328	0.6313769	0.1347690	0.0579810	0.1680373	0.3533524	0.3380846	0.4045915	0.6568340	0.6025678

0	0.4713447	0.5865877	0.2478470	0.0729431	0.0623106	0.3219877	0.4221637	0.4538297	0.6726422	0.8754090
