YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0522724	0.4457849	0.3421875	0.0563725	0.1416385	0.2088358	0.7844627	0.5964931	0.0013258	0.4505141
0.0850113	0.3098380	0.3171083	0.0613709	0.1956479	0.2828327	0.6941786	0.6769387	0.0001835	0.6410873
0.2690986	0.5273107	0.2930150	0.0000376	0.0225550	0.3435109	0.5658483	0.6829250	0.0000348	0.6169710
0.3235585	0.5473547	0.6625457	0.0001019	0.0835218	0.2799992	0.8167769	0.8302972	0.0003901	0.7096670
0.3667441	0.7815039	0.6640539	0.2284946	0.0307604	0.1313068	0.7792493	0.6778440	0.0000898	0.6471111
0.2717179	0.4263096	0.6616219	0.3155657	0.0606989	0.1646585	0.7127169	0.7586026	0.0010226	0.3437464
0.0821997	0.4798290	0.4130684	0.0000407	0.0002914	0.2124220	0.6096704	0.8546580	0.0002508	0.5891709
0.1043757	0.3224367	0.4136088	0.0766927	0.0001857	0.3114163	0.7068457	0.6820604	0.0005808	0.7425212
0.3102011	0.4626789	0.5339414	0.1288272	0.0051408	0.1266697	0.6931599	0.7433282	0.0001515	0.6169249
0.1437864	0.4417345	0.4588304	0.0716789	0.0022611	0.1723298	0.7198096	0.8509068	0.0009699	0.5973859
