YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1999953	0.6660483	0.0447022	0.8982733	0.0851474	0.2974253	0.9875801	0.8804742	0.8166620	0.2229923
0.1731893	0.3330536	0.0447022	0.8982727	0.0851475	0.2974259	0.9875791	0.8804280	0.8165830	0.2230576
0.4007786	0.6675614	0.0223682	0.8982741	0.0851472	0.2974246	0.9875815	0.8805380	0.8167713	0.2229021
0.3981430	0.6628497	0.0448873	0.4270342	0.0993808	0.3516147	0.9774313	0.8829481	0.8227254	0.2192439
0.4099135	0.6820500	0.0447060	0.8982108	0.0425821	0.2975102	0.9873609	0.8671784	0.7887747	0.2424671
0.4022046	0.6700172	0.0446963	0.9804950	0.0710863	0.1476406	0.9879079	0.8773066	0.8094323	0.2277192
0.3465013	0.5849618	0.1204024	0.5901471	0.3104474	0.6263998	0.4922269	0.9086536	0.8898196	0.1798136
0.3998137	0.6658702	0.0450054	0.8935176	0.0864616	0.3039633	0.9711363	0.4402937	0.8170108	0.2228177
0.5739012	0.9792404	0.0518750	0.8108680	0.1182236	0.3987760	0.7809299	0.0705884	0.1991139	0.9656618
0.3503589	0.5907667	0.0446893	0.8984840	0.0850908	0.2971385	0.9883130	0.9278077	0.9566258	0.0743888
