YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.2422461	0.5704642	0.5283056	0.4664162	0.9155881	0.1467605	0.5821338	0.9991981	0.0453949	1.0000000
0.0255090	0.2859897	0.8591392	0.5262008	0.9956016	0.4989708	0.8040122	0.9993278	0.0430934	1.0000000
0.0343393	0.0386110	0.8704225	0.5105230	0.9958023	0.5124354	0.8818958	0.7895296	0.0586780	0.9097630
0.6820268	0.4971200	0.6189831	0.5108465	0.9964308	0.4534193	0.8345379	0.9432019	0.1619986	0.7505822
0.0008333	0.1162886	0.7191662	0.5057574	0.9868098	0.3032008	0.7195393	0.8449901	0.0973203	1.0000000
0.0030752	0.1630798	0.7750382	0.6299284	0.9969842	0.6317756	0.7121503	0.9455138	0.1598568	0.7557762
0.2180094	0.5819717	0.8693836	0.5119895	0.9985999	0.6270200	0.8212667	0.8469293	0.0353709	1.0000000
0.2078290	0.3214650	0.4759691	0.7225321	0.9961263	0.5372272	0.9031368	0.9894149	0.0973203	1.0000000
0.3110732	0.1446707	0.6507945	0.5742376	0.9889827	0.3072209	0.5667764	0.9999118	0.0236826	1.0000000
0.0015328	0.1359994	0.8423297	0.5485357	0.9964263	0.5639176	0.8694086	0.6897903	0.1640745	0.6856025
