"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.0842700	0.9998870	0.9999988	0.0289853	0.2851409	0.8998005	0.5176577	1.0000000	1.0000000	1.0000000
50	0.0554825	0.9999201	0.8340253	0.0177945	0.2821524	0.9090713	0.3438632	1.0000000	1.0000000	1.0000000
100	0.0542591	0.9999154	0.7867884	0.0122673	0.2755730	0.9331590	0.2878019	1.0000000	1.0000000	1.0000000
150	0.0542076	0.9998982	0.7733446	0.0095327	0.2692400	0.9536618	0.2697181	1.0000000	1.0000000	1.0000000
200	0.0542070	0.9998820	0.7695184	0.0081763	0.2644253	0.9659099	0.2638848	1.0000000	1.0000000	1.0000000
250	0.0542087	0.9998712	0.7684294	0.0075014	0.2613055	0.9722534	0.2620032	1.0000000	1.0000000	1.0000000
300	0.0542100	0.9998650	0.7681195	0.0071648	0.2594950	0.9753370	0.2613962	1.0000000	1.0000000	1.0000000
350	0.0542109	0.9998619	0.7680313	0.0069964	0.2585194	0.9767898	0.2612004	1.0000000	1.0000000	1.0000000
400	0.0542113	0.9998603	0.7680062	0.0069120	0.2580197	0.9774617	0.2611372	1.0000000	1.0000000	1.0000000
450	0.0542116	0.9998597	0.7679991	0.0068696	0.2577728	0.9777685	0.2611169	1.0000000	1.0000000	1.0000000
500	0.0542117	0.9998594	0.7679970	0.0068484	0.2576540	0.9779073	0.2611103	1.0000000	1.0000000	1.0000000
550	0.0830013	0.9997891	0.9339704	0.0176358	0.2604396	0.9725393	0.4349028	1.0000000	1.0000000	1.0000000
600	0.0842259	0.9998136	0.9812074	0.0229918	0.2661464	0.9543150	0.4909633	1.0000000	1.0000000	1.0000000
650	0.0842762	0.9998456	0.9946512	0.0256976	0.2712762	0.9338605	0.5090469	1.0000000	1.0000000	1.0000000
700	0.0842754	0.9998662	0.9984772	0.0271037	0.2756200	0.9186943	0.5148801	1.0000000	1.0000000	1.0000000
750	0.0842731	0.9998772	0.9995659	0.0278653	0.2790871	0.9095337	0.5167618	1.0000000	1.0000000	1.0000000
800	0.0842716	0.9998826	0.9998757	0.0282999	0.2815698	0.9045890	0.5173687	1.0000000	1.0000000	1.0000000
850	0.0842708	0.9998851	0.9999638	0.0285603	0.2831638	0.9020888	0.5175645	1.0000000	1.0000000	1.0000000
900	0.0842704	0.9998862	0.9999889	0.0287212	0.2840994	0.9008738	0.5176277	1.0000000	1.0000000	1.0000000
950	0.0842702	0.9998867	0.9999960	0.0288212	0.2846124	0.9002979	0.5176480	1.0000000	1.0000000	1.0000000
1000	0.0842701	0.9998869	0.9999980	0.0288829	0.2848796	0.9000294	0.5176546	1.0000000	1.0000000	1.0000000

0	0.0842700	0.9998870	0.9999988	0.0289853	0.2851409	0.8998005	0.5176577	1.0000000	1.0000000	1.0000000
50	0.0842697	0.9998960	0.9997525	0.2282292	0.3317218	0.3065501	0.5176577	1.0000000	0.9347100	1.0000000
100	0.0842690	0.9998988	0.9931774	0.3293264	0.4809450	0.1548047	0.5176577	1.0000000	0.9128176	1.0000000
150	0.0842687	0.9998984	0.9724045	0.3852955	0.5575083	0.1145548	0.5176577	1.0000000	0.9054768	1.0000000
200	0.0842687	0.9998943	0.9448270	0.4203029	0.5817564	0.1020293	0.5176577	1.0000000	0.9030154	1.0000000
250	0.0842692	0.9998869	0.9191392	0.4425326	0.5889538	0.0971996	0.5176577	1.0000000	0.9021901	1.0000000
300	0.0842701	0.9998772	0.8990909	0.4558754	0.5910695	0.0951582	0.5176577	1.0000000	0.9019133	1.0000000
350	0.0842712	0.9998669	0.8852087	0.4634256	0.5916921	0.0943039	0.5176577	1.0000000	0.9018205	1.0000000
400	0.0842724	0.9998575	0.8764278	0.4675139	0.5918764	0.0939602	0.5176577	1.0000000	0.9017894	1.0000000
450	0.0842736	0.9998499	0.8712395	0.4696616	0.5919316	0.0938273	0.5176577	1.0000000	0.9017790	1.0000000
500	0.0842745	0.9998443	0.8683247	0.4707670	0.5919485	0.0937776	0.5176577	1.0000000	0.9017755	1.0000000
550	0.0842758	0.9998273	0.9012765	0.2735899	0.5815241	0.6438238	0.5176577	1.0000000	0.9670643	1.0000000
600	0.0842769	0.9998322	0.9587010	0.1715792	0.4765277	0.7923571	0.5176577	1.0000000	0.9889563	1.0000000
