YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.1027833	0.1510767	0.2832451	0.5028891	0.8139482	0.9603501	0.6064103	0.6159848	0.7706316	1.0601939
0.1452755	0.0501452	0.2829096	0.5152303	0.7957965	0.9000523	0.6611887	0.7016898	0.9085215	1.0012663
0.1220992	0.0608318	0.1575483	0.5333074	0.8832940	0.9327478	0.5928837	0.6473381	0.8644736	0.9864422
0.1444155	0.0512446	0.0680376	0.2653128	0.9735116	0.8911092	0.6659260	0.7188962	0.8244554	1.0897787
0.2970811	0.1996960	0.4154011	0.6379615	0.4182799	0.9225273	0.6258763	0.6447725	0.8102008	1.0140988
0.1781067	0.1050312	0.2588628	0.4588723	0.6761900	0.4491802	0.6987842	0.6464118	0.8230674	0.9770793
0.2367066	0.1150623	0.2252406	0.5018003	0.8107674	0.7972157	0.3175976	0.6291048	0.7388498	0.9420080
0.1551296	0.1036517	0.2579687	0.4680119	0.9145404	0.9400261	0.7670964	0.2923037	0.8484474	0.9925488
0.1655463	0.0576821	0.2746946	0.4919598	0.9626532	0.9072552	0.7971229	0.3220057	0.4056446	0.9866182
0.1776209	0.0809569	0.1658457	0.5180578	0.8150540	0.9806742	0.9290544	0.0633831	0.1982989	0.5324766
