YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3420466	0.1683867	1.0000000	0.1531682	0.4735860	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.8349543	0.0841933	1.0000000	0.3918695	0.5584707	0.9999712	0.0655630	0.6572121	0.1277608	0.0495540
0.2791612	0.7236004	0.5000000	0.0926935	0.4626428	0.9999999	0.0170980	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.1503087	0.4729329	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2510842	0.2510143	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2698761	0.3609797	0.4999997	0.0240644	0.6403095	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190158	0.5276556	1.0000000	0.0121062	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190194	0.5276597	0.9999997	0.0207459	0.3286061	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190158	0.5276556	0.9999995	0.0240819	0.6421233	0.0638829	0.0495538
0.6840931	0.1683867	1.0000000	0.3190235	0.5276644	0.9999995	0.0241172	0.6462624	0.0867030	0.0247774
