YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.2561885	0.3623073	0.7943534	0.2098014	0.2931958	0.4640184	0.8312994	0.0009456	0.0422019	0.3577603
0.3369384	0.7526876	0.4401513	0.1343592	0.3876316	0.0729482	0.1087931	0.3115406	0.0016274	0.0845033
0.1180734	0.3607004	0.5963006	0.2388315	0.2614884	0.7054846	0.7296819	0.0453668	0.2111366	0.3369755
0.1736547	0.4436785	0.4011341	0.0553934	0.5005088	0.3285194	0.4860459	0.0016164	0.0545125	0.5227715
0.0981051	0.3230570	0.7428536	0.2615686	0.3136820	0.6444592	0.8605354	0.0603832	0.0973503	0.3741742
0.3022190	0.3313825	0.6597396	0.0806403	0.6531787	0.0020449	0.1426333	0.2763703	0.0178550	0.2815183
0.0573626	0.2787971	0.3404699	0.2845832	0.3502937	0.4966000	0.6741644	0.0657508	0.0546046	0.3356880
0.0494172	0.1991823	0.7114280	0.1768092	0.4382129	0.4674141	0.6435734	0.0077141	0.0373208	0.4821783
0.1457109	0.1693950	0.8340233	0.0361950	0.6834492	0.1939004	0.6490565	0.0892504	0.1900979	0.4390132
0.1890684	0.0691578	0.7506505	0.3176424	0.2166004	0.5401778	0.6879209	0.0014054	0.0685938	0.4411486
