YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0435657	0.5176440	0.6929843	0.7048805	0.7039119	0.7205022	0.0335522	0.6616458	0.8652234	0.8576922
0.2305675	0.2545953	0.6564942	0.7868037	0.8397804	0.7518496	0.0321896	0.7185791	0.6761425	0.7053943
0.1057261	0.3657522	0.3824894	0.6907099	0.8364967	0.7427353	0.0511562	0.7267413	0.6634095	0.6424942
0.0668813	0.5965781	0.8938774	0.3392474	0.7964374	0.7592558	0.0336759	0.8473854	0.6582286	0.6861373
0.0908555	0.4969413	0.5622596	0.6820852	0.3338023	0.6555083	0.0565440	0.7208039	0.6700200	0.7774152
0.1350383	0.5225945	0.6696195	0.7147570	0.8552435	0.3331634	0.0384562	0.6835806	0.7854132	0.6517572
0.0806478	0.4964965	0.7579282	0.9011586	0.6063390	0.7091562	0.0372136	0.6716566	0.7875502	0.6915705
0.0939946	0.4758232	0.6635318	0.6482106	0.5967682	0.7657102	0.1357030	0.3105353	0.7581544	0.7922709
0.1029893	0.6930520	0.6495971	0.7049609	0.6822928	0.6860352	0.0640686	0.6837202	0.3752680	0.8270372
0.1605249	0.6143946	0.7223713	0.7550828	0.6270381	0.7281886	0.0429306	0.7581534	0.8141617	0.3182034
