YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.2488940	0.7445892	0.9484694	0.1506482	0.7427014	0.5742699	0.8255088	0.6535922	0.0704765
0.0001092	0.0000000	0.7526620	0.6665670	0.1585211	0.8317123	0.6218923	0.7378245	0.7701538	0.1002618
0.6632275	0.6434081	0.0000000	0.6870265	0.1500725	0.8108035	0.5197084	0.7442854	0.7191784	0.0566979
0.5075265	0.7230645	0.0320495	0.0000000	0.1250472	0.7141587	0.6336235	0.6464856	0.7522444	0.0584966
0.3359151	0.1840247	0.6532687	0.7379144	0.0000000	0.7875827	0.7196797	0.7208673	0.6893274	0.0006607
0.7258251	0.8040286	0.6730945	0.0410814	0.8576344	0.0000000	0.3585328	0.5824074	0.0156900	0.6146488
0.4670804	0.2762890	0.6382053	0.8419975	0.1590146	0.6724530	0.0000000	0.7200274	0.6917435	0.1022427
0.3863561	0.1710901	0.7441972	0.7897048	0.1484942	0.6947500	0.4404991	0.0000000	0.7099948	0.0751723
0.3294987	0.2424896	0.8220282	0.8137959	0.1924925	0.8927216	0.6742449	0.5782153	0.0000000	0.1368077
0.4250792	0.1953238	0.7811833	0.7399330	0.1579066	0.7562211	0.5840219	0.7483986	0.7287106	0.0000000
