YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.8770719	0.2140757	0.5934641	0.3629003	0.2112845	0.7306869	1.0112276	0.5255873	1.0154844	0.8328842
0.5785504	0.1125690	0.2153037	0.7051958	0.5256695	0.9817531	0.7128744	0.6658678	0.5734876	0.7809952
0.3490906	0.2948619	0.4587933	0.5682671	0.5664671	0.9396719	0.6495718	0.3892732	1.0147216	1.0661879
0.6385802	0.1091264	0.3899861	0.5809509	0.3587669	0.9600893	0.9280709	0.2817328	0.9570164	1.0067696
0.7798307	0.0187544	0.3635745	0.4992626	0.7927347	0.4976754	0.9070409	0.5847806	0.6421822	0.7273171
0.5827473	0.4234091	0.4244612	0.4530075	0.5225418	1.0142958	0.7269032	0.3281195	0.9905445	1.0330058
0.9929404	0.2159171	0.1812604	0.7869323	0.3988678	0.9129050	0.9522500	0.5679414	0.9722373	1.0426129
0.5908287	0.0859427	0.4832306	0.3861924	0.3544523	0.9155754	0.8458238	0.3181125	1.0022323	0.7371677
0.3697593	0.5355905	0.7190929	0.3666111	0.2521860	0.7938042	0.9613497	0.4689418	1.1237117	0.9263906
0.8265434	0.1674607	0.3350013	0.4918329	0.4016948	0.9422194	0.9524098	0.5027530	0.9187370	1.0900650
