YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.9579472	0.0763145	0.2488743	0.9036741	0.1985589	0.8437769	0.5450566	0.7983826	1.0069996
0.2196443	0.0000000	0.0239908	0.1238799	0.8666650	0.2233136	0.8980345	0.5082446	0.8586008	1.0264812
0.2413065	1.0051813	0.0000000	0.2607801	0.9175237	0.2482231	0.6364895	0.7259609	0.8035070	0.9212272
0.1899636	1.0040400	0.0537635	0.0000000	1.0746536	0.2229338	0.6916700	0.6725316	0.9058629	0.9751817
0.2808654	1.0451379	0.0962607	0.2970268	0.0000000	0.1918229	0.5322274	0.8137008	0.7834006	1.1087369
0.1462994	0.9788893	0.0887962	0.2563815	0.0389095	0.0000000	0.6201662	0.7188866	0.8744790	1.0550628
0.9281799	0.9650114	0.9930049	1.0189671	0.9941651	0.9819480	0.0000000	0.6902145	0.3899399	0.9921624
0.2753922	0.0234870	0.0098961	0.1419688	0.9991209	0.2297391	1.0256808	0.0000000	0.7884850	1.0757812
0.9968968	0.0165767	0.0208741	0.0829117	0.9006895	0.2324774	1.0697927	0.0215455	0.0000000	0.9911848
0.9723389	1.0732470	0.0623716	0.2436661	0.8850385	0.2165197	0.6603216	0.7252404	0.5800061	0.0000000
