YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.3951907	0.4193448	0.4645104	0.5875825	0.7480033	0.2143819	0.0542237	0.0773573	0.7477653	0.7173029
0.2101538	0.4896686	0.4862191	0.3639905	0.5098153	0.1490790	0.0424211	0.0972701	0.7841120	0.6565197
0.4107002	0.3986477	0.5421679	0.3712087	0.5642029	0.1709974	0.0000474	0.1228405	0.6306995	0.6940517
0.1777310	0.4718202	0.4609597	0.5806522	0.6451527	0.4475463	0.0008723	0.0844205	0.6340969	0.5622016
0.6984041	0.3185375	0.5019831	0.2475519	0.4921343	0.1547541	0.0039759	0.0525655	0.7372791	0.6737053
0.4421058	0.5650195	0.4861068	0.3979912	0.5428419	0.4495864	0.0829733	0.0549920	0.8438361	0.8142042
0.1247187	0.2732298	0.3002651	0.5873021	0.6851208	0.3865069	0.0018067	0.1646574	0.3966866	0.7430333
0.1497844	0.3407704	0.4641017	0.5305680	0.6222734	0.4185835	0.2079862	0.0795356	0.7760558	0.8066921
0.2500095	0.5484053	0.4757991	0.5698290	0.7028898	0.2964541	0.2173420	0.0598141	0.6701915	0.7884885
0.5237353	0.3204033	0.4703312	0.3880532	0.6766291	0.1734305	0.0019444	0.0694291	0.7770285	0.4556277
