YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000000	0.6816472	0.6832106	0.5668066	0.0586566	0.0341763	0.0865105	0.2141396	0.5537947	0.5978407
0.9002483	0.0000000	0.8728423	0.7964273	0.0330487	0.0395344	0.0305577	0.1574239	0.5813758	0.6698513
0.7830372	1.0000000	0.0000000	0.6584589	0.0363421	0.0453520	0.0668150	0.2134225	0.7551683	0.7377963
0.7071383	0.6888958	0.5751589	0.0000000	0.0828097	0.0794445	0.0565514	0.2585189	0.4519731	0.7928656
0.5911164	0.7994770	0.6999296	0.6620144	0.0000000	0.0539378	0.0506691	0.1842291	0.6916786	0.7555519
0.6591249	0.8496073	0.7444671	0.5520043	0.0280911	0.0000000	0.0596273	0.1817071	0.5810219	0.7010398
0.6256168	0.6427928	0.7147133	0.6584121	0.0295217	0.0383569	0.0000000	0.2457056	0.5161594	0.6790959
0.7605437	0.6751350	0.7366900	0.8446038	0.0313524	0.0419727	0.0206055	0.0000000	0.6471072	0.7704328
0.8143056	0.5667167	0.0342062	0.2948111	0.4826449	0.6158384	0.5928601	0.6767172	0.0000000	0.2586829
0.7017637	0.0316643	0.7006761	0.7896481	0.0320044	0.0193099	0.0444723	0.2006213	0.6609429	0.0000000
