YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.1172084	0.2647026	0.1975559	0.9514108	0.8379322	0.0259791	0.9994118	0.2461422	1.0000000	1.0000000
0.4989663	0.4184843	0.2221254	0.7177592	0.9827772	0.0677828	0.9185116	0.0999999	1.0000000	0.9993309
0.1174060	0.2701393	0.2026885	0.9077879	0.8423096	0.1452096	0.8125646	0.1944839	1.0000000	1.0000000
0.0096694	0.3318118	0.1435253	0.5218934	0.6581263	0.0485687	0.8065484	0.1640755	0.9988752	1.0000000
0.1122192	0.3237396	0.1986984	0.9512774	0.9806098	0.0751458	0.9978577	0.2461422	1.0000000	0.9452250
0.0013822	0.1526420	0.1045686	0.8772656	0.7046033	0.1885470	0.9934801	0.2461422	1.0000000	1.0000000
0.1269175	0.4173389	0.2053799	0.8734305	0.4224663	0.2770447	0.4506074	0.7985599	0.4218104	1.0000000
0.2561741	0.2831721	0.2152004	0.7614655	0.9798061	0.0713676	0.9979891	0.2461422	1.0000000	1.0000000
0.3453500	0.5041872	0.1885307	0.9197117	0.8672404	0.0779392	0.8097537	0.2461422	1.0000000	0.9429610
0.5297128	0.3874500	0.1894829	0.9025901	0.5794107	0.1316667	0.7345043	0.4557812	0.6242049	0.7546970
