"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C

0	0.0848085	0.0725602	0.3334167	0.2424315	0.5478410	0.6428540	0.6156002	1.0000000	0.3211593	0.9977219
50	0.0849401	0.0698313	0.3003979	0.0607364	0.5430332	0.6428540	0.6156002	1.0000000	0.3205646	0.9974031
100	0.0849095	0.0732014	0.4662412	0.0156728	0.5442360	0.6428540	0.6156002	1.0000000	0.3193742	0.9973753
150	0.0855103	0.1326433	0.6049721	0.0044983	0.5255271	0.6428540	0.6156002	1.0000000	0.3183691	0.9964690
200	0.0944916	0.2565158	0.6613115	0.0017695	0.4129197	0.6428540	0.6156002	1.0000000	0.3103907	0.9909517
250	0.1549294	0.3834550	0.6793547	0.0012824	0.2683606	0.6428540	0.6156002	1.0000000	0.2817940	0.9864988
300	0.3083014	0.4739595	0.6847160	0.0015275	0.1944418	0.6428540	0.6156002	1.0000000	0.2446729	0.9866841
350	0.4809128	0.5279430	0.6862596	0.0019804	0.1667271	0.6428540	0.6156002	1.0000000	0.2208555	0.9892880
400	0.6029322	0.5572452	0.6866788	0.0023673	0.1566799	0.6428540	0.6156002	1.0000000	0.2119687	0.9920021
450	0.6728981	0.5722851	0.6867698	0.0026122	0.1527937	0.6428540	0.6156002	1.0000000	0.2107509	0.9938992
500	0.7097665	0.5797216	0.6867720	0.0027449	0.1511538	0.6428540	0.6156002	1.0000000	0.2119378	0.9949836
550	0.7309228	0.6020899	0.5972282	0.5585119	0.1503204	0.6428540	0.6156002	1.0000000	0.2137070	0.9955186
600	0.7417806	0.5161302	0.2787673	0.7002684	0.1499228	0.6428540	0.6156002	1.0000000	0.2151427	0.9957289
650	0.6553094	0.2939193	0.1565935	0.7365531	0.1536964	0.6428540	0.6156002	1.0000000	0.2044245	0.9958307
700	0.3992749	0.1324479	0.1156238	0.7386372	0.1760905	0.6428540	0.6156002	1.0000000	0.1865495	0.9961762
750	0.1855673	0.0597022	0.1030592	0.7003203	0.2663513	0.6428540	0.6156002	1.0000000	0.1789480	0.9968982
800	0.1087865	0.0316022	0.1030970	0.5785811	0.4345337	0.6428540	0.6156002	1.0000000	0.1895364	0.9981632
850	0.0893526	0.0213055	0.1168378	0.4204365	0.5489994	0.6428540	0.6156002	1.0000000	0.2250568	0.9992281
900	0.0849598	0.0177816	0.1516518	0.3125951	0.5910214	0.6428540	0.6156002	1.0000000	0.2706786	0.9997018
950	0.0839998	0.0172890	0.2078288	0.2579006	0.6032599	0.6428540	0.6156002	1.0000000	0.3065176	0.9998851
1000	0.0837923	0.0197678	0.2699692	0.2333032	0.6064822	0.6428540	0.6156002	1.0000000	0.3281465	0.9999532

0	0.0848085	0.0725602	0.3334167	0.2424315	0.5478410	0.6428540	0.6156002	1.0000000	0.3211593	0.9977219
50	0.1902332	0.4491828	0.4007409	0.0915372	0.3822280	0.6428540	0.6156002	1.0000000	0.3186616	0.9370364
100	0.4105884	0.5922218	0.6004533	0.0674380	0.2135578	0.6428540	0.6156002	1.0000000	0.2933222	0.9118056
150	0.6501896	0.6867808	0.7434350	0.0854008	0.1643980	0.6428540	0.6156002	1.0000000	0.2702226	0.9042446
200	0.7910621	0.7705709	0.7642337	0.1103275	0.1509061	0.6428540	0.6156002	1.0000000	0.2685458	0.9032746
250	0.8640190	0.8227648	0.7169305	0.1280053	0.1466337	0.6428540	0.6156002	1.0000000	0.2797804	0.9036593
300	0.8993386	0.8414170	0.6594190	0.1377086	0.1450589	0.6428540	0.6156002	1.0000000	0.2924175	0.9035767
350	0.9145350	0.8374211	0.6167355	0.1424171	0.1444628	0.6428540	0.6156002	1.0000000	0.3008716	0.9028210
400	0.9190035	0.8225968	0.5909819	0.1445521	0.1442998	0.6428540	0.6156002	1.0000000	0.3043823	0.9017570
450	0.9177927	0.8057405	0.5771428	0.1454663	0.1443495	0.6428540	0.6156002	1.0000000	0.3042032	0.9008067
500	0.9139179	0.7915180	0.5702703	0.1458204	0.1444953	0.6428540	0.6156002	1.0000000	0.3019874	0.9002184
550	0.8768827	0.5294439	0.3863626	0.6096961	0.1454386	0.6428540	0.6156002	1.0000000	0.2867392	0.9539712
600	0.7525890	0.3217134	0.2034610	0.7230424	0.1498548	0.6428540	0.6156002	1.0000000	0.2465668	0.9749609
650	0.4772838	0.1552033	0.1320157	0.7435022	0.1673917	0.6428540	0.6156002	1.0000000	0.2076610	0.9851190
700	0.2204318	0.0705162	0.1079313	0.7172657	0.2386102	0.6428540	0.6156002	1.0000000	0.1878186	0.9911576
