YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.6333489	0.9028527	0.9806812	0.2672456	0.6011645	0.0400620	1.0907943	0.0712190	1.0727945
0.1548143	0.0000000	0.9212541	0.9657689	0.1751109	0.5612859	0.0281493	1.0106011	0.0506025	0.9938614
0.1872738	0.5839055	0.0000000	1.0374052	0.2196074	0.5817355	0.0349558	0.9412603	0.1011277	0.9071991
0.1302383	0.7049171	0.9162733	0.0000000	0.2985525	0.5491058	0.0484090	1.0434472	0.0968494	0.9959819
0.1578200	0.5737353	1.0355965	0.9685346	0.0000000	0.4920619	0.0351914	1.0008363	0.1049239	1.0178136
0.1385633	0.6015316	0.9439826	0.9853946	0.0134124	0.0000000	0.0258880	0.9325299	0.0585493	0.9707372
0.1834292	0.7079301	0.9338859	0.9992542	0.5975031	0.9360765	0.0000000	1.0363913	0.3741065	1.0510688
0.1270592	0.0722726	0.0491150	0.0612883	0.0311872	0.1266003	1.1127527	0.0000000	0.0544840	1.0848490
0.1682732	0.5757083	1.0632803	1.0234701	0.1908063	0.5030033	0.0570972	0.8098222	0.0000000	1.0466783
1.0359180	0.5526063	1.0293143	1.0127859	0.1480318	0.3857537	0.0427774	0.7021203	0.4134853	0.0000000
