"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.5300292	0.0390440	0.2294256	0.3935264	0.9775419	0.3371086	0.9332635	0.9659528	1.0000000	0.0436768
50	0.4930949	0.0390317	0.2299903	0.3567831	0.8208135	0.3492250	0.9332636	0.9659528	1.0000000	0.0436906
100	0.4558405	0.0390271	0.2322885	0.3631096	0.6857782	0.4106567	0.9332637	0.9659528	1.0000000	0.0437878
150	0.4374309	0.0390288	0.2331047	0.3953664	0.6152324	0.4898499	0.9332637	0.9659528	1.0000000	0.0439728
200	0.4298903	0.0390317	0.2313991	0.4253002	0.5640019	0.5562381	0.9332637	0.9659528	1.0000000	0.0441985
250	0.4270468	0.0390307	0.2285858	0.4509085	0.5153174	0.6099557	0.9332637	0.9659528	1.0000000	0.0444594
300	0.4260096	0.0390248	0.2257447	0.4755956	0.4671624	0.6581781	0.9332637	0.9659528	1.0000000	0.0447928
350	0.4256271	0.0390156	0.2232415	0.5010980	0.4194644	0.7045516	0.9332637	0.9659528	1.0000000	0.0452590
400	0.4254754	0.0390054	0.2211084	0.5279470	0.3724768	0.7498276	0.9332637	0.9659528	1.0000000	0.0459503
450	0.4254052	0.0389955	0.2192912	0.5560480	0.3273060	0.7932687	0.9332637	0.9659528	1.0000000	0.0470181
500	0.4253652	0.0389866	0.2177383	0.5846688	0.2857068	0.8332665	0.9332637	0.9659528	1.0000000	0.0487021
550	0.4622606	0.0389789	0.2162434	0.6818429	0.3149221	0.8608713	0.9332637	0.9659528	1.0000000	0.0505469
600	0.4994835	0.0389721	0.2145437	0.7225718	0.3425796	0.8577791	0.9332637	0.9659528	1.0000000	0.0504661
650	0.5178774	0.0389658	0.2132389	0.7212316	0.3586710	0.8429741	0.9332637	0.9659528	1.0000000	0.0495626
700	0.5254028	0.0389604	0.2125195	0.7109361	0.3754239	0.8278452	0.9332637	0.9659528	1.0000000	0.0486906
750	0.5282204	0.0389562	0.2122354	0.6985319	0.3937643	0.8125547	0.9332637	0.9659528	1.0000000	0.0479591
800	0.5292228	0.0389533	0.2122116	0.6851115	0.4135861	0.7962046	0.9332637	0.9659528	1.0000000	0.0473371
850	0.5295689	0.0389515	0.2123344	0.6708508	0.4354097	0.7783223	0.9332637	0.9659528	1.0000000	0.0467966
900	0.5296871	0.0389507	0.2125452	0.6555752	0.4599474	0.7584388	0.9332637	0.9659528	1.0000000	0.0463188
950	0.5297288	0.0389506	0.2128206	0.6389796	0.4880211	0.7359851	0.9332637	0.9659528	1.0000000	0.0458909
1000	0.5297457	0.0389509	0.2131582	0.6207303	0.5205772	0.7103193	0.9332637	0.9659528	1.0000000	0.0455053

0	0.5300292	0.0390440	0.2294256	0.3935264	0.9775419	0.3371086	0.9332635	0.9659528	1.0000000	0.0436768
50	0.5296406	0.1741773	0.2312743	0.2842972	0.9775285	0.3371250	0.9332038	0.9605279	0.8052680	0.0285745
100	0.5287616	0.3638666	0.2467199	0.2120234	0.9775206	0.3371319	0.9314042	0.9141046	0.5745189	0.0131029
150	0.5286264	0.5010501	0.2776399	0.1899433	0.9775174	0.3371054	0.9198054	0.7926711	0.4369603	0.0053135
200	0.5291879	0.5843536	0.3092529	0.1843955	0.9775260	0.3369328	0.8763010	0.6323069	0.3684818	0.0020612
250	0.5299013	0.6311756	0.3318349	0.1831203	0.9775793	0.3362242	0.7686697	0.5024526	0.3370686	0.0008163
300	0.5304640	0.6564604	0.3450491	0.1828327	0.9777895	0.3337702	0.6049082	0.4239133	0.3232926	0.0003629
350	0.5308434	0.6698168	0.3519253	0.1827363	0.9784819	0.3262127	0.4431447	0.3833899	0.3174144	0.0002028
400	0.5311646	0.6767824	0.3552775	0.1826055	0.9803919	0.3066676	0.3239084	0.3642331	0.3149499	0.0001473
450	0.5317497	0.6803859	0.3569328	0.1823016	0.9843060	0.2698382	0.2504708	0.3556287	0.3139289	0.0001279
500	0.5331274	0.6822408	0.3579555	0.1817399	0.9895597	0.2232080	0.2100156	0.3518860	0.3135093	0.0001205
550	0.5355141	0.5485093	0.3472155	0.2890797	0.9941651	0.1818645	0.1956241	0.4260353	0.5080697	0.0152179
600	0.5363730	0.3596606	0.3096282	0.3595611	0.9970499	0.1711697	0.3058433	0.6764348	0.7387490	0.0306854
650	0.5338600	0.2225123	0.2748367	0.3805685	0.9980523	0.2246084	0.5416037	0.8472660	0.8762793	0.0384721
700	0.5314484	0.1389142	0.2527964	0.3857302	0.9964097	0.2797591	0.7322610	0.9209127	0.9447464	0.0417231
750	0.5299771	0.0918338	0.2409494	0.3874139	0.9921478	0.3091158	0.8405855	0.9489786	0.9761549	0.0429680
800	0.5293068	0.0664375	0.2351004	0.3887922	0.9873615	0.3225230	0.8931264	0.9594558	0.9899290	0.0434230
850	0.5291800	0.0530864	0.2323111	0.3901804	0.9836373	0.3289678	0.9165416	0.9634179	0.9958065	0.0435853
900	0.5293248	0.0461806	0.2309667	0.3913431	0.9811964	0.3324093	0.9264658	0.9649480	0.9982706	0.0436430
950	0.5295396	0.0426461	0.2302877	0.3921743	0.9797036	0.3343732	0.9305423	0.9655502	0.9992916	0.0436637
1000	0.5297250	0.0408498	0.2299227	0.3927148	0.9788105	0.3355198	0.9321842	0.9657904	0.9997111	0.0436714

0	0.5300292	0.0390440	0.2294256	0.3935264	0.9775419	0.3371086	0.9332635	0.9659528	1.0000000	0.0436768
50	0.5300334	0.0390318	0.2309733	0.2995314	0.8839127	0.3441180	0.9332636	0.9659528	1.0000000	0.0285433
100	0.5300654	0.0390314	0.2418747	0.2487030	0.8030895	0.3778679	0.9332637	0.9659528	1.0000000	0.0130445
150	0.5301830	0.0390587	0.2584400	0.2437279	0.7618572	0.4193793	0.9332637	0.9659528	1.0000000	0.0052475
200	0.5303645	0.0391270	0.2702908	0.2493878	0.7357201	0.4523333	0.9332637	0.9659528	1.0000000	0.0019971
250	0.5305314	0.0392211	0.2751778	0.2556408	0.7149321	0.4762853	0.9332637	0.9659528	1.0000000	0.0007573
300	0.5306381	0.0393080	0.2755133	0.2610967	0.6972860	0.4947099	0.9332637	0.9659528	1.0000000	0.0003095
350	0.5306839	0.0393657	0.2737443	0.2658283	0.6820010	0.5099124	0.9332637	0.9659528	1.0000000	0.0001551
400	0.5306879	0.0393909	0.2712904	0.2700054	0.6684438	0.5230409	0.9332637	0.9659528	1.0000000	0.0001053
450	0.5306692	0.0393912	0.2687963	0.2737721	0.6561243	0.5347332	0.9332637	0.9659528	1.0000000	0.0000918
500	0.5306410	0.0393767	0.2664938	0.2772431	0.6446926	0.5454073	0.9332637	0.9659528	1.0000000	0.0000906
550	0.5306077	0.0393539	0.2607375	0.4020160	0.7142801	0.5457089	0.9332637	0.9659528	1.0000000	0.0153696
600	0.5305328	0.0393108	0.2469956	0.4627474	0.7834487	0.5127025	0.9332637	0.9659528	1.0000000	0.0309398
650	0.5303912	0.0392409	0.2351232	0.4616682	0.8360535	0.4700105	0.9332637	0.9659528	1.0000000	0.0387097
700	0.5302299	0.0391651	0.2283061	0.4458993	0.8801073	0.4324202	0.9332637	0.9659528	1.0000000	0.0419069
750	0.5301000	0.0391020	0.2254519	0.4300220	0.9139582	0.4024559	0.9332637	0.9659528	1.0000000	0.0430981
800	0.5300198	0.0390578	0.2248956	0.4175241	0.9376331	0.3801080	0.9332637	0.9659528	1.0000000	0.0435101
850	0.5299825	0.0390306	0.2254159	0.4087016	0.9531330	0.3644590	0.9332637	0.9659528	1.0000000	0.0436415
900	0.5299734	0.0390161	0.2262910	0.4028722	0.9628505	0.3540658	0.9332637	0.9659528	1.0000000	0.0436781
950	0.5299791	0.0390098	0.2271569	0.3991842	0.9687796	0.3474352	0.9332637	0.9659528	1.0000000	0.0436852
1000	0.5299904	0.0390083	0.2278681	0.3969166	0.9723394	0.3433251	0.9332637	0.9659528	1.0000000	0.0436843

0	0.5300292	0.0390440	0.2294256	0.3935264	0.9775419	0.3371086	0.9332635	0.9659528	1.0000000	0.0436768
50	0.5300348	0.0390320	0.2334536	0.2122431	0.9775281	0.3371422	0.9426441	0.9659528	1.0000000	0.0285481
100	0.5301455	0.0390544	0.2946107	0.0922936	0.9775139	0.3372370	0.9527197	0.9659528	1.0000000	0.0130494
150	0.5307145	0.0400107	0.4720184	0.0556475	0.9774902	0.3373500	0.9580548	0.9659528	1.0000000	0.0052463
200	0.5315154	0.0563035	0.6635519	0.0464404	0.9774609	0.3374380	0.9603911	0.9659528	1.0000000	0.0019883
250	0.5320929	0.1332207	0.7957418	0.0443282	0.9774340	0.3374955	0.9613259	0.9659528	1.0000000	0.0007413
