"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1051805	0.3359072	0.0213525	0.7737061	0.0731502	0.7465569	0.2634233	0.2278702	0.0244211	0.0106461
50	0.3135124	0.3089332	0.0071865	0.8050313	0.0460117	0.6152817	0.3427295	0.2453800	0.0270986	0.0469924
100	0.5054372	0.3793452	0.0081223	0.8946234	0.0387257	0.6564578	0.5758343	0.5059811	0.0167402	0.0672120
150	0.4051856	0.2675872	0.0254332	0.6748591	0.0812812	0.5814122	0.5930752	0.3932415	0.0039545	0.0275996
200	0.4122807	0.3306357	0.0030071	0.9368833	0.0430127	0.5578232	0.5425062	0.2881642	0.0088387	0.0235413
250	0.4485989	0.2797308	0.0022417	0.9714092	0.0394087	0.5723728	0.5394287	0.3731716	0.0159235	0.0354148
300	0.4790321	0.2264408	0.0002579	0.7748388	0.0765159	0.5641031	0.5747350	0.2809517	0.0176163	0.0525240
350	0.5150707	0.2879958	0.0037730	0.8606889	0.0891891	0.4829071	0.4791475	0.4431175	0.0124730	0.0510525
400	0.5423762	0.3489704	0.0100026	0.7189082	0.0942993	0.4839762	0.7417809	0.4900784	0.0097098	0.0314505
450	0.5186097	0.2724423	0.0086452	0.7988200	0.1087479	0.4697511	0.5801799	0.3608325	0.0131344	0.0223674
500	0.5074585	0.3287562	0.0019387	0.8255889	0.1009470	0.3748108	0.6621598	0.3262848	0.0186376	0.0333433
550	0.3281526	0.3478043	0.0308913	0.7909734	0.0536268	0.4138036	0.6280334	0.1197440	0.0274119	0.0208832
600	0.1654747	0.3240036	0.0498668	0.7360656	0.0743568	0.4646548	0.5727025	0.5206077	0.0068035	0.0302476
650	0.1102319	0.2848121	0.0310071	0.7428637	0.0891455	0.5840838	0.5241749	0.2208688	0.0145056	0.0419275
700	0.1318754	0.3364365	0.0405848	0.8156871	0.1049203	0.4490230	0.4919253	0.1816777	0.0123726	0.0746033
750	0.0770614	0.3770802	0.0445553	0.6909622	0.0464947	0.5823964	0.4459969	0.1710807	0.0197035	0.0369087
800	0.1474410	0.3354238	0.0293050	0.7194438	0.0486671	0.6095247	0.5161371	0.2908725	0.0190477	0.0233745
850	0.1571350	0.3819194	0.0300215	0.6330900	0.0677280	0.4817410	0.3955730	0.2123171	0.0227783	0.0366018
900	0.2081070	0.3495719	0.0439665	0.8575963	0.0677554	0.6246789	0.5427305	0.3580977	0.0207622	0.0492721
950	0.2086261	0.3548153	0.0205737	0.7443761	0.0811259	0.6554306	0.4273660	0.2864447	0.0184910	0.0248848
1000	0.1050633	0.3485550	0.0155193	0.7111797	0.0515836	0.5922551	0.5537970	0.1868845	0.0150711	0.0287808

