"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.1796286	0.0955044	0.2408961	0.4971809	0.8620274	0.8738408	0.6112050	0.6985757	0.8311915	1.0000000
50	0.1795994	0.0955001	0.2406765	0.4940188	0.9161962	0.8738567	0.6111787	0.6958372	0.7569349	0.6574950
100	0.1795726	0.0953873	0.2383824	0.4857556	0.9331600	0.8738708	0.6122516	0.6487045	0.4805324	0.5209714
150	0.1793896	0.0947964	0.2335692	0.4784604	0.9384742	0.8742066	0.6249584	0.4859236	0.2470618	0.4665527
200	0.1786922	0.0935272	0.2282978	0.4739429	0.9401590	0.8764247	0.6670933	0.2760483	0.1460202	0.4448612
250	0.1772247	0.0918414	0.2241461	0.4715876	0.9407855	0.8826386	0.7356376	0.1430376	0.1104522	0.4362149
300	0.1751154	0.0901686	0.2214579	0.4704767	0.9412314	0.8924265	0.8037590	0.0839297	0.0982591	0.4327685
350	0.1727717	0.0887981	0.2199248	0.4699684	0.9417688	0.9028505	0.8518308	0.0609456	0.0939239	0.4313947
400	0.1706037	0.0878150	0.2191144	0.4697044	0.9423945	0.9114575	0.8789692	0.0523879	0.0923018	0.4308471
450	0.1688527	0.0871729	0.2186886	0.4695183	0.9430105	0.9174899	0.8923992	0.0492301	0.0916684	0.4306288
500	0.1675761	0.0867780	0.2184411	0.4693531	0.9435339	0.9212812	0.8985959	0.0480594	0.0914141	0.4305418
550	0.1667129	0.0865424	0.2184534	0.4719769	0.8927253	0.9234893	0.9013723	0.0477881	0.1196934	0.7730121
600	0.1661686	0.0864841	0.2203311	0.4793597	0.8771701	0.9247067	0.9025248	0.0538074	0.3098273	0.9095219
650	0.1659618	0.0868674	0.2245689	0.4861170	0.8725167	0.9253196	0.8981807	0.1149177	0.5594854	0.9639351
700	0.1663164	0.0878701	0.2293697	0.4903796	0.8711807	0.9251583	0.8659664	0.2811504	0.7099488	0.9856244
