YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.5000191	0.6684495	0.9998218	0.9882537	0.0803580	0.4911646	0.9097669	0.1237846	0.2372167	0.5306902
1.0000000	0.3351213	0.9998359	0.9868024	0.0836221	0.4924632	0.9051825	0.1275208	0.2430796	0.5262757
1.0000000	0.6453356	0.4994579	0.9988006	0.0432512	0.4749963	0.9670118	0.0700941	0.1398457	0.5854856
1.0000000	0.6684852	0.9998218	0.4941216	0.0803884	0.4911837	0.9097251	0.1238003	0.2372312	0.5306256
1.0000000	0.6684746	0.9998218	0.9882446	0.0402009	0.4911787	0.9097346	0.1237965	0.2372269	0.5306424
1.0000000	0.6684940	0.9998219	0.9882401	0.0803935	0.2455974	0.9097183	0.1238035	0.2372347	0.5306131
1.0000000	0.9026065	0.9998661	0.9822032	0.0929748	0.6740915	0.4461764	0.1373866	0.2578707	0.1257952
1.0000000	0.6416685	0.9997857	0.9994425	0.0378312	0.4723487	0.9767027	0.0579579	0.2246274	0.5943853
1.0000000	0.6419503	0.9977093	0.9994083	0.0381813	0.4725298	0.9760584	0.0588101	0.1123016	0.5937788
1.0000000	0.8126118	0.9998650	0.9824179	0.0925631	0.4961211	0.8929074	0.1369828	0.2572813	0.2569381
