YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0996663	0.0019204	0.9086655	0.3132874	0.9652504	0.3855949	0.0037184	0.4036411	0.6432750	0.3485964
0.2536978	0.0191566	0.8843191	0.2185118	0.6282638	0.8868120	0.0070864	0.3316655	0.5707671	0.4057593
0.7628243	0.1280195	0.3608116	0.5861192	0.4705580	0.8035565	0.1043208	0.3865190	0.7937119	0.5421431
0.1847341	0.0168668	0.5462649	0.6880961	0.5974300	0.9961509	0.0559727	0.4039182	0.8043163	0.6271874
0.4042649	0.0066794	1.0643028	0.4038041	0.8249506	0.5969920	0.0979648	0.3362333	0.4558799	0.2881713
0.6710025	0.0125331	0.7495823	0.5532091	0.7515246	1.0439903	0.0667299	0.3411720	0.6521415	0.4562241
0.6372465	0.0064385	0.9025782	0.3954282	0.8029801	1.0707158	0.0578475	0.3567186	0.7161802	0.3828672
0.0334730	0.0151673	0.6266142	0.5704068	0.6848432	0.9456906	0.0951269	0.3130940	0.8197293	0.5390551
0.0240311	0.0103467	0.7784883	0.4640791	0.7961459	1.0154930	0.0023302	0.2957216	0.6396151	0.4420980
0.0028163	0.0031608	1.0382234	0.3425915	0.9166619	0.9237236	0.0020829	0.4157687	0.5455803	0.2988459
