YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.2105691	0.5243489	0.8648980	0.4923343	0.5874715	0.4066476	0.4554646	0.0034154	0.2321614	0.3005731
0.9987065	0.0539948	0.1047230	0.5254428	0.6775046	0.2866368	0.9998555	0.0006054	0.4075872	0.7358842
0.6880752	0.1447049	0.4245686	0.0398048	0.3926944	0.5069500	0.6132081	0.0415750	0.6334491	0.4427611
0.0549572	0.7428877	0.9225920	0.4256620	0.4132522	0.4668521	0.9857735	0.3346564	0.0546205	0.2093935
0.2587108	0.4607386	0.7945253	0.2249514	0.1163251	0.7381320	0.5508934	0.0001475	0.5628964	0.1246815
0.4367377	0.3061682	0.6032683	0.5354755	0.1140527	0.8457456	0.8952507	0.0420633	0.4318007	0.1557913
0.1935558	0.5122103	0.8034456	0.0000205	0.0699591	0.7633844	0.7171688	0.0495835	0.2019754	0.2119552
0.1275421	0.5886564	0.9443227	0.3875276	0.0967187	0.9108600	0.8638898	0.0034338	0.2394137	0.1096930
0.1001435	0.6277352	0.9979900	0.1703482	0.1032564	0.8841154	0.9641885	0.0511126	0.1916402	0.0652752
0.2332079	0.4474796	0.7804739	0.0118255	0.1535584	0.7472260	0.7518207	0.0116096	0.1638552	0.2232698
