YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.1882062	0.1217643	0.2501336	0.5104053	0.8233468	0.8190023	0.6291993	0.5974416	0.7554465	1.0000000
0.5084693	0.4580156	0.7312032	0.4956109	0.8641135	0.8703743	0.5033296	0.7426417	0.8018669	0.5881020
0.5419991	0.0835567	0.3107782	0.4924620	0.8726286	0.8629820	0.5359533	0.6818484	0.8337806	1.0000000
0.0686704	0.0377725	0.2108798	0.4622964	0.9602543	0.8425409	0.7390415	0.2613828	0.3942172	0.6510167
0.5519017	0.2301950	0.5077709	0.6577338	0.8251889	0.8328272	0.3645018	0.7808945	0.8563230	0.9459404
0.2617939	0.1503584	0.3479410	0.6295344	0.8191274	0.8032432	0.3596890	0.8089548	0.8600501	1.0000000
0.1155337	0.0436461	0.2261024	0.4811113	0.9027587	0.7868964	0.5255576	0.6934947	0.8898370	0.9233213
0.1221632	0.0777443	0.2996280	0.5703188	0.8181151	0.7987340	0.3874472	0.2937508	0.4718282	0.7248740
0.4181624	0.0736379	0.2448230	0.5038906	0.8835239	0.9521658	0.7779253	0.2934682	0.4715584	0.8020573
0.4805035	0.2940411	0.2726860	0.4948304	0.8660661	0.8527710	0.5454621	0.6736554	0.7505884	0.7492183
