"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.4193569	0.1890914	0.9097947	0.3181643	0.4908334	0.8791553	0.7048025	0.8633995	0.0953526	1.0152945
50	0.7007238	0.3140822	0.4012305	0.1040725	0.5348488	0.5968416	0.4452448	0.9532370	0.0710620	1.0113082
100	0.6882287	0.3477313	0.3286559	0.0685591	0.4918172	0.3318332	0.4081206	0.9155438	0.0532887	0.9715551
150	0.7608704	0.2667897	0.2355739	0.0715535	0.3432253	0.2344050	0.3958900	0.9923310	0.0680126	0.9449925
200	0.6438261	0.1770986	0.2041900	0.1323534	0.2440541	0.1582797	0.3294708	1.0107588	0.0517477	0.8287300
250	0.5955970	0.1222373	0.1953146	0.1911898	0.1813105	0.1081332	0.2886101	1.0180636	0.0312980	0.8855612
300	0.5396686	0.0861272	0.2332990	0.2751143	0.1395325	0.1071504	0.3954020	1.0317927	0.0508909	0.9684499
350	0.5155679	0.0717099	0.1804485	0.3579502	0.0895041	0.2125651	0.4848618	0.9952844	0.0581843	1.0448858
400	0.5164873	0.0608742	0.1910793	0.3860738	0.0960784	0.2434043	0.5140006	1.0379026	0.0546927	0.9383497
450	0.4975208	0.0495306	0.1964329	0.3586478	0.1293926	0.3131544	0.5888761	1.0673765	0.0644569	0.9603484
500	0.4630360	0.0408648	0.1876494	0.3748488	0.1589159	0.4887439	0.6686170	1.0225028	0.0808058	0.9211720
550	0.1924209	0.0452238	0.6489530	0.6646175	0.2449786	0.7096670	0.7418351	0.9815622	0.0979569	0.9913007
600	0.1246788	0.0557722	0.7989081	0.7089066	0.3186517	0.8657128	0.8131940	1.0120192	0.0808805	0.9906304
650	0.1393021	0.0661640	0.6769535	0.6811507	0.4199199	0.8309635	0.8147367	0.9738125	0.0693193	1.0897588
700	0.2223496	0.0670207	0.6930035	0.6203047	0.4395727	0.9307686	0.9177463	0.9441833	0.0764939	1.0066926
750	0.3312180	0.0992470	0.7170085	0.5428780	0.5627677	0.8450140	0.9723044	1.0441199	0.1108650	0.9790217
800	0.4696367	0.1871504	0.7715041	0.3374016	0.4731446	0.8565130	0.8426370	0.9740443	0.0891566	0.9433356
850	0.5636726	0.2334072	0.8928150	0.2634969	0.5703005	0.9191138	0.7202027	0.9682679	0.0826894	0.9582163
900	0.5152228	0.2254823	0.8923641	0.2551579	0.4782243	0.8676367	0.6684985	0.9743895	0.0822034	1.0579748
950	0.6002919	0.2242764	0.8615406	0.2442784	0.4844693	0.8298992	0.6671811	1.0220449	0.0728478	1.0132262
1000	0.5331760	0.1944619	0.9367141	0.2732100	0.5008177	0.7676043	0.5587355	1.0310906	0.0833699	0.9944102

