"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
900	0.9786551	0.4978702	0.3545252	0.6134577	0.4539552	0.6144799	0.7568359	0.0252248	0.3550285	0.5735949
950	0.8909111	0.4171324	0.3871433	0.7509012	0.5262276	0.6596597	0.8659720	0.0210529	0.3588764	0.5583362
1000	1.0068801	0.3931825	0.3319770	0.7777867	0.4410336	0.6226693	0.8187031	0.0126059	0.4053763	0.4703443

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9106016	0.4066269	0.2938953	0.7112843	0.3371331	0.3942434	0.4661369	0.3924315	0.4787908	0.5620551
100	0.9737999	0.4052952	0.4508876	0.6414883	0.4992680	0.3423409	0.3688511	0.5990026	0.5272816	0.7237614
150	0.9846831	0.4545703	0.4421573	0.6556126	0.6443675	0.3116393	0.2702000	0.7307424	0.5194091	0.7732438
200	0.9779622	0.4329858	0.4382741	0.7599898	0.6755737	0.3154288	0.2184903	0.6389733	0.5680861	0.8063394
250	0.9638431	0.4304260	0.3480593	0.8240639	0.7174629	0.3904268	0.2030639	0.6896685	0.5886876	0.7349352
300	0.9059400	0.4491544	0.3290761	0.9248193	0.6338401	0.3790101	0.1627975	0.6877678	0.4685399	0.7082806
350	1.0142088	0.4779654	0.2701074	0.8342193	0.6108662	0.3471231	0.1487719	0.6780141	0.4877860	0.7117807
400	0.9654708	0.3929302	0.2722829	0.8211143	0.6981354	0.3949508	0.1526293	0.6821495	0.4875596	0.8052936
450	1.0322477	0.4103150	0.3148653	0.8579092	0.7113499	0.3894860	0.1732468	0.6502867	0.5213440	0.7481972
500	0.9644863	0.3497237	0.2966279	0.9307753	0.6957106	0.3936368	0.1727884	0.6438748	0.5497870	0.7917288
550	0.9213775	0.4559249	0.2697866	0.9186080	0.6620208	0.7833126	0.4762999	0.2386910	0.3896369	0.5917399
600	0.9108824	0.4878971	0.2476428	0.8780419	0.5075310	0.8048746	0.5574331	0.0978981	0.3159935	0.5041796
650	0.9560007	0.5458081	0.2363887	0.7111472	0.3788861	0.7824510	0.5890856	0.0449889	0.3834159	0.5114057
700	0.9497074	0.5168010	0.2816122	0.7184366	0.3510393	0.8422184	0.7316600	0.0157271	0.3953905	0.4084985
750	0.9527672	0.4712387	0.3279910	0.6758568	0.2985434	0.7790893	0.7684261	0.0289938	0.3902689	0.4407063
800	0.9046973	0.4169896	0.4024842	0.6527017	0.3208657	0.7178328	0.7967241	0.0263207	0.3307817	0.4654345
850	1.0142198	0.4141706	0.4185993	0.7481593	0.3346921	0.6827075	0.8585895	0.0188446	0.3386408	0.5409615
900	0.9676873	0.3299916	0.4430212	0.7435606	0.3088501	0.6335072	0.8948061	0.0078247	0.2953886	0.5351726
950	0.9722658	0.3545241	0.4083131	0.8318968	0.3915553	0.6988694	0.8090420	0.0111012	0.3198252	0.4942605
1000	0.8860562	0.3555704	0.3304021	0.7404368	0.4360483	0.5916529	0.8736455	0.0057929	0.3362257	0.5667511

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9198677	0.4135541	0.3905970	0.6799770	0.4079458	0.6216534	0.7909393	0.0380145	0.7997475	0.5710754
100	0.9725276	0.4231939	0.3669912	0.4467820	0.4619474	0.6094896	0.7744538	0.2781752	0.8814563	0.4762360
150	0.9741298	0.3860288	0.5066109	0.3622505	0.4232554	0.6440683	0.7634892	0.3727081	0.8502187	0.5259909
200	0.9851817	0.4100442	0.5798260	0.4078378	0.4208508	0.6482577	0.8091488	0.5255911	0.8938584	0.5739354
250	0.9103297	0.3877100	0.6980306	0.4038012	0.4703710	0.6233434	0.8179112	0.5853383	0.8522186	0.5308554
300	0.9174673	0.3688161	0.7422249	0.4111985	0.4768131	0.5669131	0.7379285	0.6137033	0.8703186	0.5527612
350	0.9734376	0.3201245	0.7199615	0.4540222	0.5224507	0.5837844	0.6771288	0.5542352	0.8744972	0.5503722
400	0.8937106	0.3498261	0.6505209	0.5358016	0.4821475	0.6573102	0.6279421	0.6174212	0.8693557	0.5828517
450	0.9585809	0.3081777	0.6861262	0.5607817	0.4363585	0.7190889	0.6805143	0.5176064	0.9449077	0.5480504
500	0.8315171	0.2791705	0.7188887	0.4580486	0.3707052	0.6939925	0.6535656	0.5829124	0.9098570	0.4951184
550	0.8868215	0.4091435	0.6549979	0.3714182	0.2996527	0.6858633	0.7549074	0.4125975	0.4219799	0.5181459
600	0.9340015	0.4338043	0.7069108	0.4643493	0.3441710	0.6293154	0.7647287	0.1911873	0.4052494	0.5531898
650	0.9882363	0.3791408	0.6799613	0.5762645	0.3106744	0.7193370	0.7980495	0.0873243	0.3794386	0.5152860
700	0.9833989	0.3404350	0.6225092	0.6411341	0.3320748	0.6917174	0.8727298	0.0484682	0.3394321	0.5538398
750	0.9387449	0.2915594	0.5778325	0.7231253	0.4115665	0.6300889	0.8708245	0.0379758	0.2890361	0.5226433
800	0.8309664	0.2870566	0.4414736	0.8145892	0.4067636	0.6005819	0.7629105	0.0151809	0.2635425	0.5809536
850	0.8520527	0.4372215	0.4154874	0.8133757	0.3925942	0.6687268	0.8259378	0.0134634	0.3068889	0.6048770
900	0.8799451	0.4750770	0.3424011	0.7740814	0.5030441	0.6668644	0.8500062	0.0191678	0.3413549	0.5494044
950	0.9599299	0.4385922	0.3501100	0.7010115	0.4485160	0.6229182	0.8523342	0.0174388	0.4174179	0.4655117
1000	0.9348532	0.4678345	0.3644906	0.6743012	0.4052438	0.6745527	0.8119178	0.0244463	0.3180517	0.6161636

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9241101	0.3936078	0.2660445	0.8061532	0.3882270	0.7313495	0.7873993	0.0187002	0.3186337	0.4078833
100	0.9706281	0.4118070	0.3196154	0.8020778	0.4179436	0.7090352	0.7507322	0.0051767	0.2866077	0.4885996
150	1.0051459	0.4532410	0.2524726	0.7959721	0.3762493	0.7074310	0.6932355	0.0004859	0.3133517	0.5287610
200	1.0184647	0.4826761	0.2591856	0.7824819	0.3015436	0.6794247	0.7736940	0.0078130	0.3173173	0.4326622
250	0.8800917	0.4608066	0.3259295	0.7341622	0.3072618	0.6381548	0.7710399	0.0135347	0.3746657	0.5424782
300	0.9676160	0.4641294	0.3393107	0.6272396	0.3875878	0.6635336	0.8414402	0.0362223	0.3465740	0.5333898
350	0.9936421	0.4170054	0.2762884	0.7461788	0.4089288	0.6469479	0.7908035	0.0200611	0.3545957	0.4795975
400	1.0741191	0.4661226	0.3716159	0.7977109	0.3680649	0.6646449	0.8369783	0.0126892	0.3567879	0.4759016
450	1.0037910	0.4522721	0.2853334	0.7050781	0.3407701	0.6574396	0.7235347	0.0237417	0.3485445	0.5138215
500	1.0184294	0.4265796	0.2979427	0.7304244	0.3306647	0.6498187	0.7306200	0.0236838	0.3279987	0.5402805
550	1.0319438	0.4364215	0.3420510	0.7024292	0.3752010	0.7011054	0.7582700	0.0186596	0.3445828	0.5564263
600	0.8992065	0.4579318	0.3579587	0.7416520	0.3241814	0.7618613	0.8152484	0.0149401	0.3383446	0.5150995
650	0.8874933	0.4629200	0.3900522	0.7486017	0.3103716	0.8016809	0.8224819	0.0221204	0.3657270	0.5032444
700	1.0255891	0.4461647	0.3526933	0.6797192	0.3197260	0.7754609	0.7711325	0.0102449	0.3473077	0.4865485
750	0.9844120	0.4383859	0.3353616	0.7329069	0.3354517	0.7076439	0.8221339	0.0141719	0.3686047	0.5391976
800	0.9436891	0.4011131	0.3421648	0.7602372	0.3340532	0.6776527	0.8428297	0.0171946	0.3272691	0.5095627
850	0.9568780	0.4722614	0.3142077	0.7141217	0.3854159	0.5984118	0.8669600	0.0153045	0.3306342	0.5741117
900	0.9138635	0.4179348	0.3750914	0.7577220	0.4426863	0.6276255	0.8802110	0.0169049	0.2842104	0.5307903
950	0.9660037	0.4160758	0.3424158	0.7646701	0.4136635	0.5932930	0.7829298	0.0172908	0.2905349	0.4998920
1000	1.0011427	0.3861222	0.3303594	0.8234610	0.4361852	0.5457999	0.8460906	0.0084678	0.3189445	0.5823915

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9442004	0.4348330	0.3321143	0.7881424	0.4492045	0.6994844	0.7649762	0.0098884	0.3358280	0.3780032
100	0.9406691	0.4700603	0.3490789	0.7353647	0.4380087	0.6713473	0.7529320	0.0200349	0.3392924	0.3186717
150	0.9059190	0.4874442	0.3449950	0.7855936	0.3429177	0.6421301	0.7474957	0.0116798	0.3462597	0.3071240
200	0.8940671	0.4705237	0.3528904	0.7909851	0.3055864	0.5884415	0.7928696	0.0199813	0.3983063	0.3672905
250	1.0125787	0.4148691	0.3852836	0.6753519	0.3942017	0.5779947	0.7938280	0.0261800	0.4140200	0.3925041
300	0.9102223	0.3514123	0.4136345	0.6983759	0.4541456	0.5722768	0.8405899	0.0230982	0.3174543	0.4489972
350	0.9638758	0.3642627	0.3875177	0.7994991	0.5165259	0.5402820	0.8930844	0.0224269	0.2861577	0.4757625
400	0.8783281	0.3798681	0.2768238	0.8948361	0.4997225	0.5927213	0.8712284	0.0096550	0.3489310	0.4933472
450	0.9208644	0.4750619	0.3224248	0.8451671	0.5183963	0.5319689	0.8256437	0.0136787	0.3716507	0.4593462
500	0.9046618	0.4556896	0.3104929	0.8753137	0.5579471	0.5802503	0.8488084	0.0151001	0.3923520	0.5014967
550	0.9835471	0.4844454	0.2801122	0.7359068	0.4874556	0.6039191	0.8003159	0.0146178	0.3950535	0.4946117
600	1.0062159	0.4390235	0.2595662	0.8003750	0.4831246	0.5824088	0.7644445	0.0407148	0.3886521	0.5685788
650	0.9021153	0.4911622	0.2505002	0.7890758	0.5661065	0.5992560	0.7520905	0.0349594	0.3615639	0.5959716
700	0.9920112	0.4585786	0.3189352	0.7261558	0.5259659	0.6745665	0.6702843	0.0231073	0.3927949	0.5640866
750	0.9523073	0.4266804	0.3216046	0.7552736	0.5045690	0.6876041	0.7344386	0.0282496	0.3461190	0.5722493
800	1.0043122	0.4596010	0.2683184	0.8370283	0.4842667	0.6665921	0.7773819	0.0135634	0.3489785	0.5577902
850	1.0875340	0.5116683	0.2912642	0.7790365	0.5430426	0.7152685	0.6421030	0.0182025	0.3743255	0.5289569
900	1.1011218	0.3896930	0.2844824	0.8192996	0.5251025	0.6951173	0.6690750	0.0254932	0.3249435	0.5254323
950	0.9508423	0.4385366	0.2832177	0.8395236	0.4377557	0.7099177	0.7005275	0.0176569	0.2804754	0.5209326
1000	0.9403025	0.5063978	0.2699753	0.8874056	0.4121345	0.6593694	0.6727624	0.0100838	0.3333448	0.4340005

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9906684	0.4298250	0.2333212	0.8078094	0.2501149	0.4030886	0.3845628	0.6148556	0.3100579	0.6049244
100	0.9890636	0.4741513	0.2227220	0.8170783	0.1875160	0.4423704	0.2080809	0.8956470	0.3113565	0.7082014
150	1.0072732	0.4223819	0.1976811	0.7375562	0.1249441	0.5435214	0.1162171	0.9221434	0.3185685	0.6093162
200	0.9641972	0.4586487	0.2620406	0.7317479	0.1086291	0.5306015	0.1238912	0.8811293	0.3198613	0.5094700
250	0.9456109	0.4329643	0.2676407	0.6235975	0.0933836	0.6532985	0.1313543	0.9180363	0.3006015	0.5321554
300	0.8779883	0.4781225	0.2960031	0.6693383	0.0846023	0.5767358	0.1425447	0.9590582	0.3879166	0.5294686
350	0.9105012	0.4541058	0.3020800	0.6202441	0.0698056	0.6091137	0.1116840	0.9610690	0.3990507	0.5551908
400	0.9585810	0.3851818	0.2940810	0.5613818	0.0737146	0.6348871	0.1296306	0.8933905	0.3167279	0.5000997
450	0.9503795	0.4042824	0.4247350	0.6996345	0.0648032	0.5978982	0.1406853	0.8636174	0.3188379	0.4762776
500	0.9689829	0.4058888	0.3067500	0.7892381	0.0731514	0.6138822	0.1449795	0.9376411	0.3248667	0.5428525
550	0.9347754	0.4486286	0.2696187	0.6628974	0.2685412	0.8361657	0.4534715	0.2975204	0.3251577	0.5643824
600	0.9642791	0.4332178	0.3580907	0.7283227	0.2950760	0.9501818	0.6872865	0.1233295	0.3253168	0.4643799
650	0.9460913	0.4374732	0.3367699	0.6770137	0.2097231	0.8392756	0.7826280	0.0764894	0.3822012	0.5160887
700	0.9928037	0.4479889	0.3600573	0.6698939	0.1697905	0.6744997	0.7028848	0.0324364	0.3419872	0.4297920
750	0.9816353	0.4425755	0.3548059	0.7719194	0.2269997	0.7339618	0.7715192	0.0112022	0.2952445	0.4705841
800	0.9687572	0.4215746	0.3916783	0.8032861	0.2496300	0.6748535	0.8121218	0.0169482	0.3499283	0.5129236
850	0.9346197	0.4794880	0.3723029	0.6630859	0.2878654	0.6500528	0.7955037	0.0228032	0.4214774	0.5189859
900	0.9599882	0.4441418	0.4153366	0.7031263	0.3137481	0.6233024	0.7775405	0.0157613	0.3762245	0.5021275
950	0.9917904	0.4784759	0.4002564	0.6597364	0.3336372	0.6903748	0.8173019	0.0112708	0.3707436	0.5251443
1000	0.9224238	0.4765564	0.4044140	0.6370046	0.2857637	0.6729091	0.8287773	0.0092970	0.4119353	0.4613302

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.7641877	0.1699873	0.3886370	0.2716606	0.4521687	0.4006021	0.7288875	0.0522803	0.2935396	0.1289404
100	0.6253269	0.1758940	0.6669975	0.2302872	0.6313975	0.3179000	0.8673211	0.0694763	0.2192875	0.1893774
150	0.5072380	0.1062449	0.8986722	0.2066723	0.7797898	0.3067343	0.9945289	0.0702008	0.1578500	0.2156956
200	0.3599813	0.0857896	0.9876245	0.1761017	0.9073323	0.2596935	0.8961317	0.0663728	0.1697968	0.1822633
250	0.2088186	0.0660625	0.9700067	0.1928842	0.9863090	0.1998968	0.9537450	0.0722916	0.1688722	0.2399711
300	0.1676981	0.0870997	0.9781140	0.2170400	1.0575565	0.2015142	1.0112475	0.0978059	0.1119392	0.1920172
350	0.1485711	0.1045997	1.0051477	0.2306676	1.0772674	0.2249888	0.9577754	0.0821712	0.1045760	0.2171326
400	0.0916864	0.0489773	0.9591186	0.2303804	1.0441792	0.2097882	1.0147029	0.0814198	0.0864936	0.2431640
450	0.0592587	0.0584822	0.9737347	0.2316199	1.0063980	0.2281038	1.0173593	0.0831913	0.0875310	0.2007812
500	0.0628286	0.0762315	0.8824904	0.2343536	1.0508751	0.2428667	0.9895549	0.0852247	0.0768747	0.2183860
550	0.5469108	0.4363405	0.7989298	0.8036579	0.9287402	0.3901877	1.0181755	0.0301934	0.1539001	0.8396258
600	0.8539605	0.5097877	0.5977601	0.9334544	0.8913133	0.4616669	0.8712412	0.0093140	0.2438416	0.6830600
650	0.9236035	0.3418327	0.2914047	0.9326519	0.8336749	0.5321435	0.7244072	0.0162552	0.3275877	0.6477802
700	0.9540756	0.4051667	0.2167992	0.9166478	0.6905436	0.5527695	0.6566253	0.0168651	0.3462217	0.6773765
750	0.8725344	0.4801851	0.2251518	1.0252033	0.6211718	0.7052487	0.6438876	0.0207781	0.3637898	0.6533674
800	0.9086315	0.5312632	0.1997143	0.9445004	0.4571745	0.6962771	0.6384675	0.0196428	0.3635794	0.4983210
850	0.9410053	0.5015307	0.2028917	0.8678337	0.4149157	0.7068645	0.6391340	0.0259670	0.3875107	0.4525092
900	0.9442748	0.4853714	0.2337803	0.6856736	0.4062500	0.7814624	0.6775792	0.0288263	0.3845425	0.5138495
950	0.9657837	0.5029568	0.3130827	0.7550535	0.4033053	0.7761963	0.7397948	0.0224446	0.3735778	0.5165485
1000	1.0103831	0.4610579	0.3017478	0.7385110	0.3903638	0.7821487	0.7129280	0.0217012	0.4155017	0.4855245

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9891604	0.4932000	0.2909074	0.7696767	0.3570207	0.7017418	0.6588234	0.3104103	0.3708297	0.5439972
100	1.0784911	0.4583812	0.2628648	0.8113717	0.4267665	0.6745500	0.6954758	0.4477161	0.3036594	0.5490433
150	1.0267100	0.5038439	0.3149423	0.8121894	0.4243077	0.6951098	0.6505302	0.4924793	0.3138368	0.5752943
200	1.0113174	0.4452181	0.3032797	0.8365424	0.4802460	0.6621508	0.5912119	0.4929835	0.3412906	0.5188303
250	1.0502784	0.4549565	0.3079223	0.7496493	0.4051569	0.7404920	0.5856041	0.4991701	0.3107529	0.6160947
300	0.9902835	0.4243437	0.3206474	0.8133995	0.3739166	0.7653540	0.6273705	0.5082423	0.2747925	0.5014441
350	0.8793257	0.4755872	0.3489795	0.8346345	0.2516153	0.7618939	0.5761130	0.5413378	0.3191150	0.4907899
400	0.9397973	0.4647177	0.3078208	0.7108254	0.2251040	0.7341466	0.5561779	0.5389637	0.3575212	0.4314279
450	0.8949341	0.4521276	0.3562892	0.6670853	0.2881176	0.7250269	0.5259002	0.5379802	0.3522185	0.4648514
500	0.9222989	0.4118978	0.3836053	0.6612731	0.2514462	0.7139486	0.5581348	0.4926557	0.2864382	0.4229344
550	0.9255239	0.4694584	0.3973209	0.7535195	0.2071156	0.7404541	0.6671044	0.1790101	0.3136692	0.4808045
600	1.0334392	0.4595914	0.3877281	0.7789688	0.2626970	0.6866087	0.7226237	0.0670752	0.3375321	0.4708486
650	1.0036121	0.4065673	0.3187358	0.6703458	0.2709548	0.6852959	0.7009478	0.0428147	0.3518869	0.4553610
700	0.9643563	0.4186856	0.3430564	0.6500443	0.3160832	0.6680058	0.8279652	0.0187625	0.3690364	0.4806676
750	0.9364045	0.4121827	0.3642307	0.6077810	0.3839709	0.5941157	0.8402943	0.0207957	0.3814606	0.4669878
800	1.0670273	0.3840658	0.4607723	0.5901944	0.3521192	0.6590256	0.8585069	0.0258381	0.3240611	0.5065249
850	0.9601436	0.4063342	0.4625914	0.6811033	0.3139362	0.6716541	0.8952601	0.0134691	0.3176619	0.4890977
900	0.8877079	0.4902847	0.3910271	0.6893855	0.2969540	0.6657786	0.8391770	0.0153439	0.3257562	0.4833917
950	0.9484266	0.4183803	0.3670240	0.6851749	0.4432449	0.6655617	0.7913012	0.0111317	0.3137126	0.6227014
1000	1.0121773	0.3798007	0.3400372	0.7475923	0.5417835	0.6423323	0.7793671	0.0177879	0.2900086	0.5978195

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9638237	0.1783054	0.2189710	0.7362414	0.4490019	0.6935352	0.6390160	0.0181160	0.3572716	0.5567120
100	0.5992435	0.1197475	0.2913896	0.7692894	0.4205801	0.7707636	0.7250346	0.0111072	0.3066426	0.5022524
150	0.3816352	0.1058061	0.3287464	0.7522582	0.3380305	0.7635566	0.8026975	0.0174005	0.2881681	0.4850439
200	0.3839227	0.1274338	0.2509886	0.7533159	0.2935448	0.6780408	0.7845257	0.0174391	0.3041797	0.4789908
250	0.4226731	0.1590835	0.2859346	0.7018459	0.3881199	0.6096593	0.7156947	0.0211386	0.3009955	0.5635406
300	0.4634848	0.1282993	0.3546687	0.7533054	0.4584687	0.5904071	0.8382019	0.0131738	0.3085553	0.5919280
350	0.2853090	0.1075564	0.3408072	0.7050814	0.4645021	0.6181008	0.7598610	0.0051001	0.2568547	0.4576484
400	0.2230027	0.1326709	0.2870878	0.7587672	0.4629446	0.6233064	0.7991652	0.0083010	0.2760872	0.6875075
450	0.3215733	0.1502871	0.3541174	0.7937846	0.4686661	0.6375565	0.8136996	0.0089086	0.2711730	0.5707815
500	0.2907333	0.0874495	0.3057741	0.8900711	0.4490817	0.6476563	0.7546546	0.0179877	0.2956983	0.4486021
550	0.6967441	0.6043999	0.2830693	0.7633998	0.4313729	0.6236410	0.7311472	0.0152515	0.2876370	0.4377639
600	0.8962184	0.6244481	0.3229298	0.8250422	0.3855197	0.7058904	0.7169293	0.0137623	0.3634429	0.5195670
650	0.9357264	0.5541189	0.3589460	0.7391904	0.4336950	0.6650244	0.7636277	0.0071125	0.3790883	0.5459011
700	1.0220626	0.5103520	0.3635704	0.6847805	0.4055976	0.6241629	0.8199289	0.0169435	0.4234389	0.5645434
750	0.9848354	0.4051928	0.3781619	0.6007157	0.4079273	0.6416204	0.8035795	0.0340333	0.3851588	0.4391607
800	0.9693725	0.3955248	0.4159816	0.6885343	0.3375710	0.6861601	0.9017165	0.0316476	0.3559259	0.4738460
850	0.9792768	0.4187781	0.3905083	0.6917658	0.3801711	0.6171565	0.8362385	0.0150401	0.3517216	0.5326073
900	1.0409650	0.3681919	0.3246054	0.7404179	0.5009595	0.5641232	0.8175877	0.0086021	0.2865797	0.5246462
950	0.9625129	0.4416592	0.3441688	0.7585869	0.5437617	0.5319256	0.8703293	0.0160206	0.2916134	0.5603145
1000	0.9105187	0.4869313	0.2888728	0.8311701	0.4971182	0.5764519	0.7569843	0.0155341	0.3308111	0.5719217

0	1.0062046	0.4143515	0.3584643	0.7835768	0.5474948	0.7184556	0.7491542	0.0180447	0.3140244	0.5787293
50	0.9920759	0.4594190	0.2721179	0.7767674	0.2192626	0.6491761	0.7693147	0.3426220	0.4085323	0.1133866
100	0.9496232	0.4518947	0.3059987	0.6884497	0.1184448	0.7187200	0.6900964	0.4991515	0.4297016	0.1018140
