YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.6760735	0.0941124	0.4466432	0.2598244	0.1281009	0.5968584	0.7497531	0.5371158	0.7672974	0.6616165
0.5247548	0.0780425	0.1419369	0.4618994	0.4499720	0.6309506	0.5775779	0.4366160	0.3261962	0.5294349
0.2997864	0.2647024	0.3772003	0.3756088	0.3768274	0.6301439	0.4826419	0.1996667	0.6003547	0.7577307
0.4201805	0.0769023	0.2752722	0.4159502	0.2477145	0.7995001	0.8392565	0.1678801	0.6887821	0.7381550
0.4069558	0.0267576	0.3408299	0.3934658	0.5756944	0.2918110	0.8121141	0.4851505	0.4910363	0.5689195
0.2789047	0.2980074	0.3730340	0.2421046	0.4241465	0.7017297	0.6648733	0.2380446	0.6575160	0.7388129
0.5842563	0.1268308	0.1285228	0.5906155	0.3000822	0.6688374	0.6839120	0.3571699	0.7345830	0.6535992
0.3945328	0.1090707	0.2873187	0.2093002	0.2700155	0.5895432	0.6487201	0.2001077	0.6969774	0.5692614
0.2961985	0.3611298	0.4940428	0.3217405	0.1530137	0.6012087	0.7933173	0.3852400	0.8045568	0.8810418
0.5274671	0.0968603	0.2541362	0.3396219	0.2403166	0.7366159	0.6613080	0.4343381	0.7827935	0.7170828
