YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.3108573	0.5433010	0.1591550	0.3002476	0.2440018	0.3014638	0.3798713	0.5595488	0.6565934	1.0000000
0.1800609	0.5065515	0.2245567	0.0807380	0.1394860	0.0902549	0.5294922	0.5218669	0.6629342	0.6256060
0.3104302	0.4066828	0.4038486	0.2777888	0.1392484	0.0602891	0.4878328	0.6652090	0.4840842	0.5066669
0.6277256	0.3099150	0.5416789	0.4891212	0.1829515	0.4375301	0.4639394	0.7814712	0.3654857	0.5069254
0.5940025	0.5386373	0.3003996	0.4789983	0.1984535	0.1667321	0.3860708	0.4458798	0.6094181	0.6163573
0.3715017	0.5198299	0.7521225	0.6858047	0.5465281	0.2249682	0.6208006	0.6310524	0.3450357	0.7610733
0.2997671	0.4552939	0.2898478	0.3651649	0.2033773	0.1636351	0.3480952	0.5184918	0.5730501	0.6395051
0.2898691	0.4510945	0.3738761	0.3513019	0.0527321	0.1993638	0.5045248	0.5544885	0.5701830	0.7315873
0.4204015	0.6389420	0.0001745	0.0098971	0.0315314	0.2594650	0.4955061	0.6963319	0.6692040	0.7740459
0.5198917	0.4144212	0.2202371	0.0032923	0.0715354	0.5416219	0.4931910	0.7212754	0.8130496	0.7989442
