YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.9411177	0.9347532	0.7695895	0.6292188	0.4510970	0.0711676	0.9142921	0.8792191	0.2757745	1.0000000
0.9302010	0.8089798	0.5164347	0.1630631	0.0286167	0.0446975	0.7793522	0.3618796	0.6258936	0.5250630
0.9886077	0.9062585	0.5666115	0.3255269	0.2589030	0.1025832	0.7608862	0.9361953	0.3402028	1.0000000
0.9900252	0.9618456	0.7735433	0.8103727	0.6011821	0.1118854	0.6965344	0.9063897	0.3672834	1.0000000
0.9371969	0.8763936	0.3424937	0.1260839	0.0569053	0.0163178	0.9709387	0.9069492	0.3671560	0.4847943
0.9371817	0.8764922	0.3780294	0.1287080	0.1561531	0.0851209	0.9632197	0.8267861	0.3832628	1.0000000
0.9426638	0.9640457	0.8176650	0.9090751	0.7268247	0.0886923	0.9075346	0.9065821	0.3669738	1.0000000
0.9267068	0.5929856	0.1576921	0.0544504	0.1049729	0.0837821	0.9868924	0.8326538	0.3848334	0.7626971
0.9429171	0.9690705	0.8652252	0.9274084	0.8709875	0.3962659	0.2710891	0.7989567	0.3425197	0.8476053
0.9830627	0.8546374	0.7427292	0.6886253	0.5110307	0.2049317	0.4317225	0.5913448	0.3884088	1.0000000
