"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	1.0000000	0.6680693	0.9998211	0.9882863	0.0802811	0.4910934	0.9098725	0.1236467	0.2370519	0.5309179
50	0.1983770	0.6121903	0.9998523	0.5514977	0.0807713	0.4911328	0.9091339	0.1346345	0.3419038	0.5307903
100	0.0512863	0.6022517	0.9999069	0.4540346	0.0873679	0.4914802	0.8995018	0.1660333	0.3757045	0.5295719
150	0.0242965	0.6009567	0.9999400	0.4271216	0.1056420	0.4935274	0.8744118	0.1961053	0.3867712	0.5224166
200	0.0193441	0.6027238	0.9999559	0.4119824	0.1320210	0.4986501	0.8407296	0.2159219	0.3909810	0.5047029
250	0.0184354	0.6077258	0.9999630	0.3986918	0.1584931	0.5065782	0.8091250	0.2270367	0.3937520	0.4777474
300	0.0182687	0.6161720	0.9999664	0.3878071	0.1797276	0.5156416	0.7851468	0.2331639	0.3966778	0.4476740
350	0.0182381	0.6270918	0.9999681	0.3799845	0.1946848	0.5240746	0.7689796	0.2370205	0.3997543	0.4205089
400	0.0182325	0.6387781	0.9999693	0.3746389	0.2047003	0.5308879	0.7584890	0.2399487	0.4025370	0.3992220
450	0.0182314	0.6496463	0.9999701	0.3708510	0.2115314	0.5359262	0.7514628	0.2423883	0.4047346	0.3839111
500	0.0182312	0.6587679	0.9999708	0.3679707	0.2164635	0.5395044	0.7464251	0.2443993	0.4063145	0.3732817
550	0.8198542	0.7254814	0.9999668	0.7431546	0.2192908	0.5420344	0.7436400	0.2332252	0.3026109	0.3658930
600	0.9669449	0.7417523	0.9999486	0.8427634	0.2110900	0.5433383	0.7531336	0.2004332	0.2695769	0.3622032
650	0.9939347	0.7470643	0.9999213	0.8981311	0.1871570	0.5416281	0.7805254	0.1709735	0.2591137	0.3675977
700	0.9988871	0.7470526	0.9998960	0.9371275	0.1574061	0.5356579	0.8152293	0.1526440	0.2556650	0.3861631
750	0.9997958	0.7415761	0.9998784	0.9603707	0.1319140	0.5267718	0.8456036	0.1429702	0.2540935	0.4143186
800	0.9999625	0.7313936	0.9998678	0.9724861	0.1141122	0.5175148	0.8671387	0.1381646	0.2526655	0.4441935
850	0.9999931	0.7188941	0.9998613	0.9784553	0.1030572	0.5097229	0.8806199	0.1356084	0.2508601	0.4696236
900	0.9999987	0.7066698	0.9998565	0.9814232	0.0965648	0.5040148	0.8885747	0.1338857	0.2486939	0.4883324
950	0.9999998	0.6963699	0.9998520	0.9830319	0.0927131	0.5001916	0.8933381	0.1323768	0.2464317	0.5008631
1000	1.0000000	0.6885317	0.9998475	0.9840642	0.0902205	0.4977454	0.8964861	0.1309112	0.2443626	0.5088705

0	1.0000000	0.6680693	0.9998211	0.9882863	0.0802811	0.4910934	0.9098725	0.1236467	0.2370519	0.5309179
50	1.0000000	0.6688743	0.9998213	0.9882916	0.0802751	0.1792326	0.7726797	0.1236734	0.2372963	0.5065892
100	1.0000000	0.6765564	0.9998221	0.9882839	0.0802887	0.0776218	0.7283479	0.1238674	0.2394682	0.4421421
150	1.0000000	0.6946268	0.9998255	0.9882119	0.0804210	0.0448494	0.7138687	0.1247884	0.2440269	0.3856456
200	1.0000000	0.7172858	0.9998325	0.9879431	0.0809332	0.0343845	0.7086099	0.1267225	0.2486697	0.3514307
250	1.0000000	0.7377654	0.9998410	0.9873747	0.0820488	0.0310804	0.7057521	0.1291867	0.2519596	0.3337371
300	1.0000000	0.7529851	0.9998485	0.9865505	0.0837041	0.0300605	0.7032784	0.1314962	0.2539023	0.3248676
350	1.0000000	0.7630511	0.9998541	0.9856296	0.0855913	0.0297680	0.7008930	0.1332746	0.2549572	0.3199455
400	1.0000000	0.7693666	0.9998578	0.9847784	0.0873735	0.0297069	0.6987749	0.1344786	0.2555169	0.3166570
450	1.0000000	0.7733465	0.9998600	0.9840960	0.0888392	0.0297167	0.6970876	0.1352289	0.2558209	0.3141423
500	1.0000000	0.7759687	0.9998614	0.9836041	0.0899266	0.0297441	0.6958625	0.1356745	0.2559963	0.3121595
550	1.0000000	0.7769493	0.9998621	0.9832759	0.0906744	0.3788222	0.8306202	0.1359339	0.2560741	0.3345599
600	1.0000000	0.7686477	0.9998625	0.9830692	0.0911599	0.4756628	0.8738332	0.1360558	0.2557083	0.3970941
650	1.0000000	0.7483557	0.9998622	0.9829590	0.0914403	0.4968458	0.8876379	0.1359351	0.2543327	0.4520703
700	1.0000000	0.7249247	0.9998606	0.9829689	0.0914929	0.4991085	0.8921657	0.1353511	0.2517884	0.4852340
750	1.0000000	0.7056945	0.9998573	0.9831651	0.0912123	0.4979539	0.8940584	0.1341708	0.2486098	0.5020691
800	1.0000000	0.6925778	0.9998525	0.9835961	0.0904966	0.4967765	0.8955543	0.1325170	0.2456066	0.5100497
850	1.0000000	0.6845225	0.9998468	0.9842320	0.0893577	0.4959410	0.8973098	0.1307084	0.2432704	0.5140803
900	1.0000000	0.6798040	0.9998414	0.9849683	0.0879472	0.4952807	0.8993284	0.1290567	0.2416591	0.5166725
950	1.0000000	0.6769983	0.9998368	0.9856851	0.0864812	0.4946655	0.9013784	0.1277303	0.2406003	0.5188629
1000	1.0000000	0.6751859	0.9998333	0.9862999	0.0851433	0.4940647	0.9032290	0.1267507	0.2398877	0.5209307

0	1.0000000	0.6680693	0.9998211	0.9882863	0.0802811	0.4910934	0.9098725	0.1236467	0.2370519	0.5309179
50	0.2106787	0.6682285	0.9998016	0.8391833	0.0800722	0.3670953	0.9101930	0.1192483	0.1925902	0.5308246
100	0.0658453	0.6683146	0.9997297	0.8075334	0.0776784	0.3262456	0.9138010	0.1077437	0.1783224	0.5312546
150	0.0392697	0.6681856	0.9996373	0.8023333	0.0722101	0.3123755	0.9220340	0.0976518	0.1737058	0.5337959
200	0.0343933	0.6674560	0.9995602	0.8026023	0.0657951	0.3069280	0.9317223	0.0914061	0.1720602	0.5394252
250	0.0334985	0.6658037	0.9995096	0.8034953	0.0603976	0.3040581	0.9398888	0.0880795	0.1711729	0.5470443
300	0.0333344	0.6633256	0.9994796	0.8041304	0.0566249	0.3021390	0.9455869	0.0863747	0.1703534	0.5547083
350	0.0333042	0.6604693	0.9994610	0.8044961	0.0542521	0.3007743	0.9491541	0.0854221	0.1694722	0.5610653
400	0.0332987	0.6577269	0.9994474	0.8046982	0.0528286	0.2998341	0.9512855	0.0847757	0.1685921	0.5656987
450	0.0332977	0.6554166	0.9994361	0.8048158	0.0519659	0.2992161	0.9525798	0.0842542	0.1678041	0.5688066
500	0.0332975	0.6536454	0.9994260	0.8048925	0.0514082	0.2988215	0.9534259	0.0838064	0.1671631	0.5708057
550	0.8226187	0.6523725	0.9994834	0.9553029	0.0511238	0.4196262	0.9538419	0.0869976	0.2098632	0.5720853
600	0.9674521	0.6515005	0.9996147	0.9879196	0.0522371	0.4592908	0.9518885	0.0968190	0.2233174	0.5726583
650	0.9940278	0.6510108	0.9997081	0.9941562	0.0557527	0.4726902	0.9460492	0.1062852	0.2275048	0.5715782
700	0.9989041	0.6510850	0.9997579	0.9942458	0.0608128	0.4780467	0.9380079	0.1125114	0.2289138	0.5679225
750	0.9997989	0.6519592	0.9997819	0.9930284	0.0658559	0.4811586	0.9303188	0.1159442	0.2297105	0.5620781
800	0.9999631	0.6536544	0.9997933	0.9918297	0.0698795	0.4835678	0.9244044	0.1177540	0.2305755	0.5554331
850	0.9999932	0.6559055	0.9997994	0.9909594	0.0726823	0.4855163	0.9204092	0.1188275	0.2316072	0.5493419
900	0.9999988	0.6583115	0.9998036	0.9903813	0.0745210	0.4870005	0.9178476	0.1196354	0.2326917	0.5445141
950	0.9999998	0.6605278	0.9998070	0.9899822	0.0757506	0.4880612	0.9161540	0.1203564	0.2336912	0.5410218
1000	1.0000000	0.6623660	0.9998100	0.9896748	0.0766434	0.4887967	0.9149233	0.1210200	0.2345237	0.5385918

0	1.0000000	0.6680693	0.9998211	0.9882863	0.0802811	0.4910934	0.9098725	0.1236467	0.2370519	0.5309179
50	0.4474209	0.6682437	0.9998213	0.9794463	0.0926686	0.4914460	0.8920170	0.2123185	0.2371199	0.5296814
100	0.3460275	0.6690636	0.9998215	0.9427306	0.1317795	0.4954240	0.8410005	0.2384449	0.2373735	0.5157602
150	0.3274228	0.6732914	0.9998221	0.8973255	0.1721992	0.5052533	0.7931377	0.2462557	0.2386381	0.4820457
200	0.3240090	0.6832686	0.9998242	0.8645856	0.2001792	0.5178627	0.7623936	0.2489983	0.2414647	0.4402280
250	0.3233826	0.6980296	0.9998288	0.8461541	0.2163659	0.5293139	0.7456140	0.2507252	0.2451602	0.4038406
300	0.3232676	0.7143312	0.9998353	0.8361665	0.2252864	0.5377679	0.7367483	0.2524875	0.2485892	0.3781065
350	0.3232465	0.7291032	0.9998423	0.8298614	0.2305876	0.5432979	0.7315748	0.2542865	0.2511547	0.3618879
400	0.3232427	0.7407767	0.9998483	0.8249969	0.2342457	0.5467478	0.7279867	0.2558877	0.2528444	0.3520569
450	0.3232419	0.7492130	0.9998529	0.8209207	0.2370665	0.5489464	0.7251904	0.2571440	0.2538850	0.3459106
500	0.3232418	0.7550277	0.9998561	0.8175829	0.2392980	0.5504417	0.7229684	0.2580412	0.2545109	0.3417731
550	0.8758209	0.7589689	0.9998583	0.8505536	0.2235035	0.5510820	0.7408240	0.1711269	0.2548896	0.3400844
600	0.9772143	0.7606832	0.9998596	0.9172750	0.1785747	0.5467309	0.7923952	0.1457916	0.2550717	0.3531111
650	0.9958190	0.7569355	0.9998603	0.9564485	0.1390259	0.5357086	0.8388338	0.1384561	0.2548830	0.3869637
