YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.9457885	0.4929889	0.5596248	0.8692085	0.1135521	0.5933653	0.8022980	0.1565105	0.9576429	0.2117133
0.9962146	0.1254598	0.5296109	0.9383980	0.0894315	0.7652928	0.9550213	0.4277873	0.8399613	0.3176749
1.0680740	0.4698289	0.4379764	0.8501704	0.1161480	0.7693337	0.9155041	0.6847163	0.8801692	0.2678163
1.0584138	0.3355952	0.4992342	0.9530552	0.0551381	0.7764970	0.9594325	0.6515158	0.9818336	0.0090481
0.9345979	0.5099000	0.4254190	0.6319849	0.1188797	0.6142746	1.0235244	0.4687056	0.9524717	0.2210962
1.0327792	0.3886594	0.3856084	0.9976561	0.0507487	0.8635695	0.8711111	0.3621588	0.9033572	0.0309243
0.8407075	0.3943222	0.5132838	1.0097788	0.1094335	0.7485691	0.9121506	0.8857703	1.0568709	0.2043393
0.9078803	0.2098002	0.4150198	0.8052477	0.1225535	0.6758050	0.9308870	0.5300049	0.6894227	0.2597139
0.9812577	0.3033196	0.3550449	0.5957732	0.0980261	0.6730388	0.9649259	0.2778441	1.0246365	0.2325327
0.9132670	0.1353778	0.5048325	1.0384421	0.1362085	0.7080711	0.9382803	0.8130199	0.5328623	0.3608865
