YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0405127	0.6261539	1.0504606	0.0688748	0.0678949	0.9572779	0.8321661	0.0545476	0.2812632	0.1374272
0.7554773	0.2816772	0.9632137	0.0495578	0.2393793	0.6073445	1.0173468	0.0419149	0.3943110	0.3116963
1.0110615	0.1346161	0.4821931	0.0950771	0.4748153	0.4277400	1.0421552	0.0397278	0.4617589	0.6426323
0.1065542	0.6575663	1.0336421	0.0181071	0.1142380	0.8668125	0.9242066	0.0557632	0.2853691	0.1276296
0.1374078	0.6194689	0.9407732	0.0752661	0.0508947	0.8229223	0.9409962	0.0638886	0.2543438	0.1385635
0.1599229	0.6186118	0.9753107	0.1290087	0.5284558	0.4160342	0.9533520	0.0655658	0.2598071	0.1409225
0.1164417	0.6904212	0.9891870	0.0484941	0.1143906	0.9611235	0.4208280	0.0474739	0.3192635	0.0688982
0.1349458	0.6478773	1.0572995	0.0761541	0.0934391	0.9243546	0.8685262	0.0321386	0.2549060	0.1256357
0.1421698	0.6880184	1.0294984	0.0699106	0.1189062	0.8842327	0.9596991	0.0916520	0.1244955	0.1537665
0.1300599	0.7336472	1.0111884	0.0462254	0.0748905	1.0197546	0.9087270	0.0381912	0.2527641	0.0576030
