YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.5810585	0.4685593	0.0434747	0.3636019	0.3144930	0.4072942	1.0666714	0.0339472	1.0001186	0.1244656
0.3521616	0.5212221	0.8522664	0.0078650	0.1141621	0.4314429	0.7107177	0.6436320	0.7581675	0.3492836
0.1971526	0.5922949	0.7031184	0.0659682	0.1503268	0.4996052	0.8971029	0.4337282	0.6859651	0.5211939
0.6732547	0.2701884	0.8141968	0.0740370	0.1484201	0.5207997	0.6376367	0.2941460	0.8177714	0.3606247
0.7070384	0.2441162	0.9370515	0.0186743	0.1877410	0.6588337	0.4320155	0.5117078	0.4084665	0.3658684
0.2709323	0.7308919	0.0425774	0.4721981	0.3812491	0.4188446	0.9709278	0.0269690	0.7889369	0.0834241
0.0632915	0.9023665	0.0396180	0.7314535	0.4598710	0.6395983	0.5197229	0.0890490	0.7746279	0.3675966
0.1461600	0.8501973	0.0693879	0.4533065	0.2849529	0.4425758	0.9861672	0.1623067	0.7982296	0.3937939
0.2358472	0.8374892	0.0496838	0.3327417	0.1944794	0.5209357	0.7273251	0.1914404	0.7864746	0.3327167
0.1208658	0.9478122	0.0466034	0.5021820	0.3587006	0.2863990	1.0225994	0.0868453	0.8391169	0.3800091
