YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000000	0.2104909	0.0424767	0.0768996	0.9816744	0.5975697	0.4192311	0.5060668	1.0259288	1.0469641
0.3245004	0.0000000	0.0365003	0.0626680	1.0200480	0.6709699	0.4900205	0.5330155	1.0731985	0.9961999
0.2819541	0.2859446	0.0000000	0.0553426	0.8902479	0.5269146	0.4892215	0.5393316	0.9491592	1.0298488
0.2752190	0.2620316	0.0183095	0.0000000	0.9135405	0.5899760	0.5231864	0.5790200	1.1053473	1.0982272
0.3815666	0.3388145	0.6121253	0.9637152	0.0000000	0.3358697	0.3092572	0.5764358	1.0217284	0.9794863
0.3730847	0.4201145	0.8609061	1.0172310	0.0186421	0.0000000	0.3395685	0.5764716	0.9720201	1.0145230
0.5611587	0.3229274	0.6754543	1.0742869	0.0264984	0.0286611	0.0000000	0.5504803	1.0008049	1.0419470
0.5546037	0.6486368	0.6791264	1.0165526	0.0381004	0.0575894	0.0788417	0.0000000	1.0534430	0.9959770
0.5898513	0.5687073	0.6585327	1.0542824	0.0497618	0.0540130	0.0811406	0.0186977	0.0000000	1.0528300
0.5459647	0.5749855	0.7033222	1.0098325	0.0384740	0.0612445	0.0915025	0.0197971	0.0572725	0.0000000
