YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0000000	0.6957788	0.4455174	0.7074124	0.5234353	0.5914338	0.7785009	0.0608786	0.1385815	0.8396007
0.8433276	0.0000000	0.4114385	0.5727229	0.3981624	0.8220425	0.7536332	0.0406483	0.1636036	0.6653528
0.7918000	0.0479039	0.0000000	0.7059429	0.6465005	0.7517139	0.7772571	0.0388429	0.1200693	0.6966978
0.4955189	0.7497214	0.7188244	0.0000000	0.4213001	0.5799757	0.7726986	0.0549243	0.1605858	0.9167620
0.3338968	0.7597818	0.7386100	0.0013377	0.0000000	0.7905410	0.7731475	0.0693693	0.1779687	0.8353793
0.5209321	0.6983991	0.4277552	0.6975793	0.4473351	0.0000000	0.7104872	0.0440806	0.1928988	0.7142826
0.4302895	0.8288681	0.7646176	0.0028445	0.0106484	0.1871763	0.0000000	0.0555903	0.2631790	0.7349619
0.4082450	0.7371001	0.3902395	0.7400332	0.4551550	0.6098071	0.7239414	0.0000000	0.1863830	0.6853844
0.4969680	0.7497312	0.3854907	0.6699830	0.4113347	0.6473282	0.7090564	0.0436907	0.0000000	0.7055306
0.4818845	0.7093426	0.9129933	0.0087342	0.0301534	0.5845733	0.1623179	0.5418227	0.8990097	0.0000000
