YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
1.0000000	0.0000000	0.0854229	0.2701788	0.9999643	0.0366466	0.0000000	0.9901433	0.0744974	0.5290423
0.9999991	0.0000000	0.0000008	0.2701709	0.9999952	0.0213409	0.4167347	0.9901433	0.0744974	0.6795239
1.0000000	0.0000000	0.0854227	0.0000000	0.9999946	0.0219275	0.4167347	0.9901433	0.0744974	0.6710916
0.9999999	0.0000000	0.0854238	0.2701710	0.9999947	0.0219195	0.4170890	1.0000000	0.0000000	0.6712733
1.0000000	0.0000000	0.0854226	0.7520278	0.2031254	0.9999969	0.4167347	0.9901433	0.0744974	0.0000000
0.9316393	0.1008047	0.0000008	0.2701774	0.9999689	0.0354641	0.0000005	0.9901433	0.0744974	0.5369763
0.9304213	0.1026113	0.0873929	0.7521599	0.2031052	0.9999987	0.0000000	0.9901433	0.0744974	0.0000000
