"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.4436775	0.6986463	0.0862913	0.2008372	0.2029198	0.2458883	0.6461808	0.9037517	0.8385091	1.0000000
50	0.4277484	0.6967308	0.0862933	0.2008238	0.2029470	0.4814707	0.8146733	0.8955098	0.8344688	0.9998984
100	0.4138116	0.6875108	0.0862949	0.2011370	0.2059890	0.7348070	0.9367489	0.8728787	0.7899783	0.9997725
150	0.4131329	0.6773380	0.0863110	0.2066099	0.2264592	0.8718871	0.9780043	0.8476331	0.6962879	0.9996939
200	0.4197608	0.6728921	0.0864966	0.2377986	0.2820693	0.9345679	0.9893741	0.8150727	0.6128296	0.9996531
250	0.4258074	0.6742895	0.0881752	0.3300593	0.3660808	0.9612316	0.9920986	0.7790609	0.5649653	0.9996337
300	0.4275708	0.6776348	0.1033851	0.4803598	0.4503152	0.9720817	0.9925689	0.7487647	0.5434261	0.9996249
350	0.4262738	0.6776768	0.1802845	0.6341417	0.5147248	0.9763097	0.9925137	0.7283400	0.5339796	0.9996210
400	0.4268568	0.6657670	0.3423573	0.7521926	0.5567790	0.9778677	0.9923820	0.7161531	0.5289248	0.9996193
450	0.4382785	0.6343964	0.5251584	0.8291594	0.5819792	0.9784235	0.9922765	0.7092000	0.5283327	0.9996186
500	0.4683424	0.5966196	0.6721703	0.8747669	0.5934805	0.9787125	0.9922093	0.7065889	0.5382209	0.9996183
550	0.5262879	0.5819239	0.7710098	0.8994903	0.5873013	0.7181270	0.7874351	0.7110933	0.5767414	0.9997198
600	0.5691494	0.6072340	0.8308027	0.9086759	0.5404846	0.4581926	0.6415938	0.7349464	0.6920409	0.9998457
650	0.5688046	0.6405994	0.8634618	0.8954020	0.4398784	0.3451626	0.6007943	0.7802876	0.8114818	0.9999242
700	0.5445671	0.6492627	0.8744419	0.8322243	0.3329603	0.3140015	0.6023818	0.8243639	0.8767576	0.9999650
750	0.5281533	0.6334622	0.8522157	0.6961404	0.2554057	0.3095470	0.6145262	0.8540412	0.8990154	0.9999844
800	0.5319415	0.6194859	0.7528724	0.5232039	0.2101070	0.3137938	0.6253230	0.8697503	0.9030020	0.9999932
850	0.5413528	0.6337432	0.5617157	0.3730419	0.1870747	0.3259270	0.6320911	0.8760610	0.9049593	0.9999971
900	0.5317924	0.6747132	0.3684242	0.2698128	0.1760682	0.3388996	0.6354604	0.8777786	0.9068705	0.9999988
950	0.4974562	0.7121358	0.2349163	0.2079234	0.1710215	0.3371897	0.6368408	0.8785395	0.9025434	0.9999995
1000	0.4578194	0.7222262	0.1588523	0.1739501	0.1700490	0.3134105	0.6374858	0.8805035	0.8870649	0.9999998

0	0.4436775	0.6986463	0.0862913	0.2008372	0.2029198	0.2458883	0.6461808	0.9037517	0.8385091	1.0000000
50	0.4435755	0.6985740	0.0862935	0.2011051	0.2070879	0.2437615	0.7471327	0.8738126	0.7640101	1.0000000
100	0.4435777	0.6984875	0.0863151	0.2092524	0.2355354	0.2332096	0.8177672	0.8451177	0.6916950	1.0000000
150	0.4436361	0.6984498	0.0865970	0.2487056	0.2844508	0.2191893	0.8392615	0.8319537	0.6575195	1.0000000
200	0.4436904	0.6984293	0.0887632	0.3329760	0.3325094	0.2082111	0.8440052	0.8300928	0.6442422	1.0000000
250	0.4437529	0.6981838	0.1015401	0.4414579	0.3675839	0.2023708	0.8449985	0.8332441	0.6395851	1.0000000
300	0.4440862	0.6966396	0.1481784	0.5423852	0.3889675	0.2006763	0.8455276	0.8367956	0.6381003	1.0000000
350	0.4458278	0.6905426	0.2436049	0.6189349	0.4005035	0.2013592	0.8460012	0.8387457	0.6379409	1.0000000
400	0.4520323	0.6755439	0.3660685	0.6697515	0.4059252	0.2036715	0.8463012	0.8385172	0.6393063	1.0000000
450	0.4667316	0.6534096	0.4816128	0.7001969	0.4070611	0.2088275	0.8463070	0.8352929	0.6440836	1.0000000
500	0.4898038	0.6348314	0.5713629	0.7158650	0.4035263	0.2191022	0.8458717	0.8275306	0.6544179	1.0000000
550	0.5133607	0.6294687	0.6319087	0.7191342	0.3860323	0.2368506	0.7367349	0.8452246	0.7440020	1.0000000
600	0.5272396	0.6357154	0.6649114	0.6978178	0.3332295	0.2659454	0.6619658	0.8628521	0.8316113	1.0000000
650	0.5285266	0.6441903	0.6614269	0.6256950	0.2721222	0.2956091	0.6403453	0.8717053	0.8764059	1.0000000
700	0.5224763	0.6506083	0.5939414	0.5081801	0.2259434	0.3147626	0.6364756	0.8760991	0.8937295	1.0000000
750	0.5137331	0.6612994	0.4591550	0.3853081	0.1978971	0.3217070	0.6366446	0.8783247	0.8972386	1.0000000
800	0.5001880	0.6811750	0.3154992	0.2883937	0.1833822	0.3191654	0.6372975	0.8796168	0.8943673	1.0000000
850	0.4794236	0.7010598	0.2105720	0.2244687	0.1773433	0.3081350	0.6378385	0.8810703	0.8870077	1.0000000
900	0.4571093	0.7091727	0.1482997	0.1874033	0.1765622	0.2892530	0.6384182	0.8838001	0.8746863	1.0000000
950	0.4422730	0.7055590	0.1153773	0.1688300	0.1795254	0.2672565	0.6393486	0.8885519	0.8591893	1.0000000
1000	0.4382131	0.6984879	0.0991420	0.1624735	0.1851725	0.2495692	0.6408373	0.8948088	0.8455885	1.0000000

0	0.4436775	0.6986463	0.0862913	0.2008372	0.2029198	0.2458883	0.6461808	0.9037517	0.8385091	1.0000000
50	0.4622588	0.5713225	0.0867521	0.2973833	0.2028939	0.4684335	0.6459190	0.8953977	0.8373675	1.0000000
100	0.5637153	0.4702171	0.0951239	0.4161329	0.2036597	0.7094472	0.6428818	0.8732394	0.8253756	1.0000000
150	0.6768160	0.4820870	0.1287169	0.4900950	0.2084854	0.8447491	0.6371020	0.8558841	0.7973711	1.0000000
200	0.7203206	0.5316892	0.1877294	0.5310923	0.2204948	0.9115714	0.6312393	0.8425573	0.7672709	1.0000000
250	0.7028730	0.5621950	0.2545515	0.5580214	0.2385112	0.9419615	0.6261489	0.8311131	0.7430260	1.0000000
