YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.6708351	0.0000058	0.4886621	0.7987836	0.6164289	0.7970637	0.9999326	0.0000001	0.5802291	1.0000000
0.7873402	0.9999996	0.0000003	0.7502884	0.5197843	0.0000048	0.1200778	0.9451339	0.3612409	1.0000000
0.7873406	0.9999995	0.0000001	0.7638063	0.5433904	0.0078813	0.0000004	0.9451361	0.3612403	1.0000000
0.5310267	0.4503905	0.4887708	0.0000000	0.6164661	0.7972159	0.9911071	0.0767623	0.0000000	1.0000000
0.5140413	0.4503734	0.4887728	0.7988260	0.6164666	0.7972216	0.9999961	0.0000000	0.0939262	0.0000001
