YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.7943960	1.0721707	0.3960640	0.0010314	0.0377527	0.2795871	0.8104926	0.6285567	0.2051827	0.5164814
0.5856411	0.9569075	0.0385559	0.6855111	0.5476292	0.1489549	1.1242936	1.0488004	0.1028127	0.8975463
0.7034638	0.9370725	0.9407978	0.0003739	0.0267449	0.0900573	0.9195557	0.9566589	0.0474960	0.9511612
0.6481858	0.8251369	0.2173554	0.4210043	0.1704488	0.2312992	1.0334214	0.6770532	0.0972009	0.9495782
0.4230553	0.5509340	0.4788364	0.3103113	0.1947155	0.2110654	0.9860040	0.9338301	0.1083949	0.8372133
0.7385185	1.0585982	0.1256834	0.4958984	0.8259117	0.1444527	0.8917623	1.0858366	0.1139986	0.9787132
0.5603079	0.7434884	0.6887639	0.0907644	0.0339254	0.5792727	0.7196714	0.9815358	0.1972307	0.5743026
0.6768272	1.0944185	0.2657837	0.3624509	0.0906408	0.1124411	0.8943943	0.9896605	0.1371487	0.8565848
0.7349801	1.1102088	0.9212880	0.0386592	0.2799587	0.2353321	0.9508458	0.9026013	0.0559184	0.7811149
0.6894184	0.9154446	0.8780703	0.0005548	0.0307211	0.1949453	1.0826765	0.9561138	0.1013299	0.9942993
