"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
150	0.2531498	0.4338213	0.8059415	0.4732733	0.1151841	0.4300285	0.5966052	0.9371732	0.3473958	0.0857506
200	0.2082115	0.4532631	0.7831226	0.4529519	0.1075305	0.4611255	0.5916369	0.9077019	0.3673745	0.0873906
250	0.1872885	0.4686927	0.7729322	0.4530560	0.1005573	0.4743177	0.5937619	0.8901250	0.3742590	0.0881905
300	0.1767056	0.4791055	0.7686076	0.4610729	0.0983136	0.4776146	0.5970601	0.8816204	0.3765742	0.0884329
350	0.1708784	0.4854133	0.7668319	0.4652364	0.0998707	0.4769194	0.5997483	0.8778964	0.3773436	0.0884197
400	0.1675235	0.4889532	0.7661193	0.4632364	0.1017908	0.4752157	0.6015491	0.8763074	0.3775968	0.0883296
450	0.1655839	0.4908306	0.7658381	0.4594585	0.1019546	0.4736604	0.6026361	0.8756098	0.3776788	0.0882398
500	0.1644840	0.4917840	0.7657285	0.4580942	0.1008083	0.4725454	0.6032488	0.8752844	0.3777046	0.0881731
550	0.3173789	0.4900500	0.8333514	0.4495160	0.1008358	0.4570248	0.7135377	0.8971591	0.2290676	0.0875414
600	0.4808577	0.4769840	0.9129374	0.4668648	0.0993575	0.4028207	0.7984254	0.9469602	0.1009755	0.0852898
650	0.5727858	0.4564704	0.9597223	0.5006281	0.1004740	0.3548146	0.8268663	0.9795180	0.0462467	0.0831878
700	0.6232320	0.4371245	0.9825389	0.5242592	0.1064358	0.3289325	0.8310919	0.9930328	0.0262527	0.0819839
750	0.6543417	0.4228601	0.9927284	0.5302885	0.1134380	0.3187811	0.8276693	0.9977529	0.0193617	0.0814699
800	0.6751442	0.4137479	0.9970527	0.5264547	0.1172929	0.3165052	0.8230017	0.9992878	0.0170455	0.0813210
850	0.6890876	0.4084483	0.9988283	0.5228933	0.1176395	0.3173059	0.8191800	0.9997715	0.0162763	0.0813250
900	0.6980610	0.4055632	0.9995408	0.5234375	0.1168214	0.3188647	0.8165841	0.9999219	0.0160232	0.0813749
950	0.7035407	0.4040680	0.9998220	0.5259833	0.1167755	0.3202696	0.8150022	0.9999684	0.0159408	0.0814261
1000	0.7067214	0.4033220	0.9999316	0.5273924	0.1176731	0.3212810	0.8141076	0.9999827	0.0159146	0.0814650

0	0.7103870	0.4026463	1.0000000	0.5255966	0.1186237	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.7103870	0.4026463	1.0000000	0.5007933	0.1928448	0.3448726	0.6007271	0.9908620	0.4179155	0.0508347
100	0.7103870	0.4026463	1.0000000	0.4176085	0.2647212	0.4550835	0.4352971	0.8552897	0.7642973	0.0233298
150	0.7103870	0.4026463	1.0000000	0.3560004	0.2923295	0.5851568	0.3740508	0.7105455	0.9121902	0.0126090
200	0.7103870	0.4026463	1.0000000	0.3281895	0.2976504	0.6713302	0.3552504	0.7049214	0.9661293	0.0099205
250	0.7103870	0.4026463	1.0000000	0.3183641	0.2966712	0.7146107	0.3499341	0.7552712	0.9846659	0.0096685
300	0.7103870	0.4026463	1.0000000	0.3156214	0.2951469	0.7333673	0.3484849	0.7980351	0.9908720	0.0098523
350	0.7103870	0.4026463	1.0000000	0.3151453	0.2942562	0.7408303	0.3480944	0.8226403	0.9929247	0.0100028
400	0.7103870	0.4026463	1.0000000	0.3152083	0.2938886	0.7436478	0.3479887	0.8346613	0.9935997	0.0100791
