"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.6551093	0.7788980	0.3240481	0.1316820	0.1232502	0.3630728	0.4524689	0.5525699	0.8747737	1.1149187
50	0.5356518	0.8302373	0.3168896	0.2354353	0.1752565	0.3010815	0.3861197	0.4871320	0.8484440	1.0557859
100	0.5165010	0.7633894	0.2830119	0.2632196	0.1620682	0.2775559	0.3595515	0.6003464	0.8370039	1.0607413
150	0.5085563	0.8058995	0.2900580	0.2112787	0.1653759	0.3152675	0.3344977	0.5564744	0.8842371	1.0269715
200	0.5391104	0.8152419	0.3061978	0.1546872	0.1416094	0.3275654	0.3234742	0.6517936	0.8346597	0.9357789
250	0.4570493	0.8164486	0.2864197	0.1648123	0.2102229	0.3234048	0.3485162	0.6734746	0.8705631	0.9408298
300	0.4402578	0.7838420	0.2838105	0.2035137	0.1734230	0.2629667	0.3115852	0.6005838	0.8438426	0.9230507
350	0.4872966	0.7842768	0.2678904	0.1811635	0.1268216	0.2715039	0.3121476	0.6032579	0.9385828	0.9663138
400	0.5715774	0.7610326	0.3299088	0.1769557	0.1103682	0.2830396	0.3003842	0.6175878	0.8561650	1.0358561
450	0.5769345	0.6801425	0.3075305	0.1080123	0.0822003	0.2791307	0.2727883	0.5653811	0.8063010	1.0434110
500	0.6451708	0.6507493	0.2397430	0.0921215	0.0942048	0.2664181	0.3301700	0.5551758	0.8362611	0.9563312
550	0.8033031	0.7241783	0.2277755	0.1342658	0.0959928	0.3254875	0.3358671	0.5802420	0.9091865	0.9853299
600	0.7821566	0.7674522	0.2045950	0.1351593	0.1202675	0.3305561	0.3563617	0.4548031	0.9243418	0.8956939
650	0.7358461	0.7940170	0.2184203	0.1506627	0.1549839	0.3328270	0.4054776	0.4803461	0.8598926	0.9589531
700	0.8056456	0.7732552	0.2125963	0.1395542	0.1563390	0.3358899	0.4216307	0.4851507	0.8316321	0.8460446
750	0.7067443	0.8004369	0.2402333	0.1670461	0.1342307	0.3470236	0.3866031	0.5593206	0.8948127	0.9637746
800	0.7260497	0.9084903	0.2842035	0.1496655	0.1149526	0.3673169	0.3815659	0.5180345	0.9597321	0.9921851
850	0.7633917	0.9009187	0.2709068	0.1833685	0.1954574	0.3967112	0.3892870	0.4730952	0.9552583	1.0297976
900	0.7450950	0.8584236	0.3204203	0.1644451	0.2489776	0.3620285	0.3529634	0.5020188	0.8463301	0.9658496
950	0.6125234	0.8340981	0.3218931	0.2149178	0.2175468	0.3545886	0.3726968	0.5778339	0.8272547	0.9548721
1000	0.6912276	0.6653381	0.3319163	0.2904232	0.1551291	0.3114357	0.3527718	0.5400937	0.8554084	1.0084278

0	0.6551093	0.7788980	0.3240481	0.1316820	0.1232502	0.3630728	0.4524689	0.5525699	0.8747737	1.1149187
50	0.5330161	0.6622271	0.4459664	0.1060344	0.1181239	0.2968568	0.3879456	0.4814700	0.8707064	1.0518394
100	0.4349429	0.5297326	0.5202589	0.0825377	0.0988156	0.2600482	0.3464175	0.5663056	0.9157964	0.9937305
150	0.5099764	0.3351430	0.4832613	0.1079109	0.0793254	0.2521786	0.3897642	0.6299708	0.9030029	0.9255252
200	0.5476400	0.3171023	0.5167663	0.1069971	0.0881532	0.2505328	0.3304287	0.5934249	0.8602379	0.8902707
250	0.4717061	0.2796369	0.5461558	0.0716049	0.1013289	0.2861386	0.3538561	0.5997743	0.8212734	0.9430773
300	0.4451437	0.2395226	0.5698670	0.1012660	0.1117836	0.2332108	0.3128504	0.6181107	0.8110046	1.0172555
350	0.5504136	0.1964745	0.5789866	0.1289694	0.0993573	0.2624472	0.3304542	0.5404718	0.8012711	1.0051898
400	0.4853268	0.2090283	0.5468915	0.1293129	0.0952626	0.2698247	0.3269865	0.5894506	0.8942854	1.0207217
450	0.4894230	0.2325165	0.5301496	0.0878820	0.1097751	0.2695474	0.3589746	0.6526680	0.9229389	0.9922910
500	0.5000296	0.2166989	0.5772627	0.1221189	0.0913676	0.3084739	0.2999277	0.5697329	0.9608401	1.0124272
550	0.8212413	0.2748147	0.2367663	0.0920131	0.0871040	0.2557075	0.3530632	0.5281188	0.8527175	1.1195736
600	0.9582560	0.4982317	0.2472975	0.1252520	0.0619611	0.3026100	0.3261813	0.4290038	0.8713081	0.9232510
650	0.9783757	0.6425000	0.2390935	0.1189016	0.0837463	0.3263392	0.4196006	0.3940762	0.8291235	0.8889624
700	0.9296849	0.7528660	0.2570926	0.1171757	0.0989623	0.2767821	0.3996856	0.3937138	0.9189157	0.9356470
750	0.8371196	0.7800345	0.1951671	0.1118937	0.1419493	0.2902165	0.4294512	0.4329419	0.9491093	0.9896301
800	0.7300184	0.8876914	0.2380612	0.1415169	0.0927963	0.2709019	0.4509911	0.4854670	0.9242418	1.0275307
850	0.5477327	0.9198206	0.1750611	0.1092755	0.1111873	0.3158012	0.4556163	0.5341445	0.8596033	1.0084821
900	0.4864455	0.7978770	0.2215384	0.1402570	0.0905171	0.3208914	0.3799771	0.5860360	0.8594806	1.0279154
950	0.7080720	0.7652374	0.2245461	0.1362966	0.1074108	0.3096868	0.4060940	0.4897570	0.8721934	1.0356143
1000	0.6390327	0.9263681	0.2178682	0.1298254	0.1118327	0.3824930	0.4399100	0.5222433	0.8530960	1.0576628

