YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0000000	0.7004280	0.1989634	0.2519236	0.0369336	0.2201040	0.2665433	0.5169892	0.7282823	0.6268360
0.7503320	0.0000000	0.1358208	0.3664904	0.3142820	0.3410006	0.1505128	0.4489958	0.7825517	0.6982234
0.6636203	0.0389898	0.0000000	0.2987717	0.2575917	0.2962186	0.1957579	0.3831808	0.5845085	0.7685525
0.1865870	0.7843868	0.9177356	0.0000000	0.0775506	0.2605228	0.2185111	0.4439439	0.8079267	0.7357681
0.1867047	0.7742691	0.2163638	0.3231282	0.0000000	0.3394752	0.2203314	0.4704860	0.7725330	0.7816831
0.1294715	0.7254158	0.7395577	0.0332943	0.0424269	0.0000000	0.2056930	0.4737386	0.7337094	0.6895816
0.1187596	0.8340447	0.0785963	0.4536722	0.2863624	0.7772324	0.0000000	0.7367439	0.6384750	0.8128943
0.1646826	0.6724057	0.2895073	0.2269173	0.0370839	0.1379990	0.7958673	0.0000000	0.8014567	0.6997553
0.1560420	0.8346216	0.1367985	0.3245256	0.0461671	0.2264639	0.1826915	0.8087522	0.0000000	0.7353669
0.1689288	0.7333972	0.1082812	0.2617161	0.0643284	0.4001434	0.1389035	0.7947757	0.0510147	0.0000000
