YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.4989842	0.5477724	0.1510654	0.5797642	0.2964582	0.6129992	0.7436127	0.9289133	0.2783038	0.3825168
0.6538949	0.4026679	0.0308021	0.9661920	0.1298288	0.5748799	0.7670200	1.0380783	0.4976435	0.4547546
0.1984722	0.4428704	0.0114616	0.7016358	0.3984579	0.8312919	0.6006352	0.2434628	0.0002423	0.1724658
0.0727111	0.3530236	0.0353420	1.0146320	0.2225691	0.6217341	0.8818627	1.0088375	0.2909487	0.1299046
0.6291375	0.3979891	0.0519385	0.7508885	0.1463394	0.4946637	0.8086134	0.5902671	0.0037693	0.0519233
0.1185264	0.4262138	0.1141795	0.6843901	0.3020283	0.5336493	0.7849144	1.0406017	0.3319350	0.3092596
0.2233636	0.3381982	0.0107691	0.9900715	0.1292153	0.9836515	0.1581114	0.0000504	0.0009147	0.4125973
0.2237232	0.4553447	0.0147763	0.9162304	0.0309772	0.9919134	0.0678744	0.0540175	0.0158822	0.0002834
0.1454100	0.3933606	0.0063909	1.0722580	0.1269451	0.7327321	0.3406224	0.1672866	0.0002907	0.0000001
0.0792760	0.3871010	0.0419149	1.1042673	0.2782782	0.7105667	0.6300849	0.4554359	0.0005212	0.0017707
