"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C

0	0.7778323	0.4440378	0.2452549	0.5264424	0.4458287	0.7793585	0.2646353	0.4443146	0.7741318	0.8324600
50	0.6597797	0.3803078	0.2725668	0.2837329	0.2562699	0.3814044	0.1957632	0.4239907	0.7877275	0.6108865
100	0.8756677	0.5504526	0.1558601	0.2764782	0.2956189	0.3068791	0.1957419	0.3474193	0.6680138	0.7186540
150	0.6794477	0.4825880	0.2601489	0.3393081	0.3021104	0.2391324	0.2088084	0.3182004	0.6912346	0.9442893
200	0.8157089	0.5259537	0.1724885	0.3599192	0.1193321	0.1931942	0.1678461	0.3242219	0.7750966	0.8350875
250	0.7118252	0.5695054	0.3013919	0.3863420	0.1188725	0.1290158	0.2427693	0.3938942	0.6746723	0.8211695
300	0.7490955	0.5723100	0.2200559	0.3890333	0.1028877	0.1005633	0.1865849	0.2969666	0.6684419	0.7479337
350	0.7166627	0.5372323	0.2033971	0.4277994	0.1091590	0.1769473	0.3054246	0.3348203	0.6684342	0.7920752
400	0.7109258	0.5435844	0.1941329	0.3372301	0.1503651	0.0963355	0.3768217	0.3608742	0.6646192	0.8508641
450	0.9214870	0.5124856	0.2480717	0.3967311	0.0638511	0.1481000	0.2792070	0.3447454	0.7250933	0.9062916
500	0.6992609	0.4608254	0.2130438	0.3048408	0.0709060	0.1738095	0.2850893	0.4958653	0.6663526	0.8307234
550	0.8644495	0.5525801	0.2175053	0.6909178	0.2140399	0.3511794	0.2966678	0.5680274	0.7287577	0.7761529
600	0.7626905	0.5129707	0.2028009	0.6539687	0.2858433	0.5448829	0.2165921	0.4969535	0.7628045	0.7892141
650	0.8346341	0.3970257	0.3222826	0.6696417	0.3301413	0.5985312	0.2022566	0.3364634	0.7321998	0.8315061
700	0.8530840	0.4115146	0.3717610	0.5559055	0.4742564	0.8632366	0.2215184	0.4350570	0.6367893	0.6965309
750	0.7056046	0.4431068	0.3240739	0.7293241	0.3725570	0.7572142	0.3203435	0.3092160	0.6927573	0.7302094
800	0.7092990	0.5224763	0.2619156	0.5466267	0.3936283	0.6661612	0.2236216	0.3353017	0.7045661	0.7514815
850	0.7471248	0.4337134	0.2955541	0.5931431	0.2948145	0.7325219	0.2432864	0.4932366	0.8669923	0.7426907
900	0.6038300	0.5017038	0.3963564	0.5468348	0.4386345	0.8088205	0.1721821	0.4092234	0.7624448	0.6515186
950	0.5778565	0.4033543	0.3490842	0.5930648	0.4177481	0.7916722	0.1505636	0.2739453	0.6880596	0.7667397
1000	0.6693369	0.3742371	0.3176047	0.5846426	0.3709366	0.7965171	0.1936899	0.3438676	0.7658078	0.7857457

0	0.6562027	0.5239132	0.2792280	0.5397601	0.3166029	0.7126782	0.2690239	0.4114154	0.9091510	0.7848258
50	0.7387896	0.5196068	0.3368074	0.5510390	0.4003624	0.6051661	0.4099346	0.3745294	0.5385199	0.7422346
100	0.6541579	0.3612922	0.1733913	0.3891586	0.4553629	0.7205052	0.4864708	0.5960114	0.7205519	0.9463121
150	0.7091369	0.5159675	0.2183972	0.3268743	0.3799225	0.6305143	0.7123810	0.4919552	0.6503586	0.7765436
200	0.7784464	0.3622936	0.2416338	0.4200812	0.2523792	0.5669134	0.6645713	0.5522113	0.8275628	0.6918403
250	0.6643487	0.3856401	0.2437545	0.3643882	0.3089249	0.5299763	0.6780847	0.6205049	0.7759069	0.8627014
300	0.6228871	0.3382901	0.2184324	0.5188084	0.2728317	0.5145956	0.6395282	0.4336526	0.9199650	0.6597008
350	0.5858370	0.3795054	0.1862595	0.3767735	0.2506742	0.4965142	0.6813516	0.5954855	0.6830469	0.7479228
