YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0400314	0.0548791	0.0607074	0.1604059	0.2616812	0.4597705	0.0490809	0.0068769	0.6386394	0.7762794
0.1061689	0.0274721	0.1010861	0.1053914	0.2037434	0.4446824	0.0364716	0.0084297	0.7753153	0.6894286
0.1481464	0.0906076	0.0301094	0.1272469	0.1350011	0.4301227	0.0518788	0.0161067	0.6594625	0.8008069
0.0986814	0.0368898	0.0273690	0.0558132	0.2049309	0.4975032	0.0251962	0.0034783	0.6572545	0.6883212
0.1804882	0.0884030	0.1796868	0.2525024	0.0967173	0.4583093	0.0461631	0.0319959	0.7613397	0.7557759
0.3941584	0.3955196	0.6045360	0.2869982	0.0885009	0.2527003	0.0463090	0.2217823	0.5520775	0.7469762
0.3117212	0.1271276	0.4758514	0.5009096	0.0262993	0.3982869	0.0191009	0.0348820	0.5831530	0.8049981
0.1098176	0.0346342	0.0304729	0.1352888	0.1629450	0.3710420	0.0272207	0.0089188	0.7347205	0.8091232
0.1219018	0.0449031	0.0356482	0.1317383	0.2444079	0.5253454	0.0523937	0.2029766	0.3865684	0.8837381
0.1553105	0.0312432	0.0748657	0.1137643	0.1159456	0.4438145	0.0533025	0.0264143	0.7459142	0.3887542
