YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.7447073	1.0926943	1.0287364	0.9970723	0.9750746	0.0714355	0.9757645	0.9461729	0.9377062
0.4764766	0.0000000	0.0639984	0.9391440	0.9683304	1.0083185	0.0709270	1.0635595	1.0330052	1.0041183
0.4980085	0.0499045	0.0000000	0.9582004	0.9000374	1.0299303	0.0541027	1.0399705	0.9533990	1.0284461
0.4055576	0.2033984	0.0604069	0.0004778	1.0460981	0.8704747	0.0682454	1.0337411	1.0219871	1.0021217
0.4201846	0.1603424	0.0604958	0.0074465	0.0000000	1.0920150	0.0780986	1.1143602	1.0288999	1.0553994
0.6150750	0.8064870	1.0034797	0.9772440	1.0492560	0.0000000	0.0564504	0.9437936	0.9784776	0.9721492
0.1229196	0.7029466	1.0249890	1.0729825	1.0390099	0.9873641	0.0000000	1.0081385	0.9698971	1.0141636
0.1399205	0.8298550	1.0773014	0.9354115	0.9819649	0.9317850	0.9846686	0.0000000	1.1147290	0.9842908
0.1341111	0.7636364	1.0271124	0.9105223	0.9730785	1.0489182	0.0688940	0.9151024	0.0000000	1.0369285
0.1720676	0.7851889	1.0478159	1.0609025	1.0043142	0.9461224	0.0361345	1.1292029	1.0002055	0.0000000
