"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.7039816	0.5444701	0.7035921	0.5611512	0.8424397	0.2977111	0.0631100	0.1213816	1.0000000	0.9848115
50	0.7036214	0.5446866	0.7035612	0.5616563	0.8460045	0.3417839	0.0631100	0.1213815	1.0000000	0.9857943
100	0.7016674	0.5447740	0.7030951	0.5662943	0.8615100	0.3891359	0.0631100	0.1213815	1.0000000	0.9893640
150	0.6923169	0.5446663	0.7006441	0.5776537	0.8790090	0.4141573	0.0631100	0.1213815	1.0000000	0.9927403
200	0.6730459	0.5440485	0.6949771	0.5907595	0.8911082	0.4247054	0.0631100	0.1213815	1.0000000	0.9947911
250	0.6494648	0.5425822	0.6871611	0.6010601	0.8976892	0.4280159	0.0631100	0.1213815	1.0000000	0.9958212
300	0.6285582	0.5402901	0.6793418	0.6075051	0.9006752	0.4279888	0.0631100	0.1213815	1.0000000	0.9962763
350	0.6136343	0.5375750	0.6730339	0.6109058	0.9016997	0.4266165	0.0631100	0.1213815	1.0000000	0.9964436
400	0.6046011	0.5349417	0.6686923	0.6123884	0.9017731	0.4249424	0.0631100	0.1213815	1.0000000	0.9964766
450	0.5999258	0.5327503	0.6660799	0.6128215	0.9014587	0.4234730	0.0631100	0.1213815	1.0000000	0.9964538
500	0.5979740	0.5311409	0.6647150	0.6127563	0.9010513	0.4223872	0.0631100	0.1213815	1.0000000	0.9964142
550	0.5975174	0.5300834	0.6641354	0.6123814	0.8988330	0.3777505	0.0631100	0.1213815	1.0000000	0.9961555
600	0.5985800	0.5294661	0.6641618	0.6095611	0.8875635	0.3300483	0.0631100	0.1213815	1.0000000	0.9945511
650	0.6048898	0.5292192	0.6655971	0.6011049	0.8705863	0.3047915	0.0631100	0.1213815	1.0000000	0.9914932
700	0.6202879	0.5294779	0.6697269	0.5886263	0.8555392	0.2939920	0.0631100	0.1213815	1.0000000	0.9881801
750	0.6427045	0.5305248	0.6765892	0.5763843	0.8456893	0.2903826	0.0631100	0.1213815	1.0000000	0.9856687
800	0.6659643	0.5324772	0.6847155	0.5672294	0.8406057	0.2901759	0.0631100	0.1213815	1.0000000	0.9842340
850	0.6849091	0.5350989	0.6922871	0.5617267	0.8387341	0.2915009	0.0631100	0.1213815	1.0000000	0.9836653
900	0.6976067	0.5379172	0.6981340	0.5591508	0.8386767	0.2933289	0.0631100	0.1213815	1.0000000	0.9836371
950	0.7046001	0.5404707	0.7019460	0.5584701	0.8394620	0.2950718	0.0631100	0.1213815	1.0000000	0.9838746
1000	0.7074538	0.5424744	0.7039948	0.5588076	0.8404898	0.2964431	0.0631100	0.1213815	1.0000000	0.9841924

0	0.7039816	0.5444701	0.7035921	0.5611512	0.8424397	0.2977111	0.0631100	0.1213816	1.0000000	0.9848115
50	0.6256666	0.6430390	0.6962023	0.6557466	0.8582499	0.2977583	0.0631100	0.1213815	1.0000000	0.8758398
100	0.4792984	0.7557032	0.6626602	0.7215447	0.8721676	0.2959272	0.0631100	0.1213815	1.0000000	0.7788791
150	0.3683986	0.8184241	0.6232751	0.7470468	0.8773211	0.2899129	0.0631100	0.1213815	1.0000000	0.7355103
200	0.3100052	0.8458752	0.5942824	0.7559874	0.8770298	0.2808845	0.0631100	0.1213815	1.0000000	0.7183002
250	0.2842195	0.8557739	0.5772309	0.7582433	0.8737420	0.2717562	0.0631100	0.1213815	1.0000000	0.7110460
300	0.2745957	0.8584516	0.5686559	0.7576152	0.8692490	0.2645074	0.0631100	0.1213815	1.0000000	0.7072757
350	0.2724066	0.8586930	0.5651018	0.7558134	0.8648802	0.2596531	0.0631100	0.1213815	1.0000000	0.7048424
400	0.2734437	0.8583746	0.5642200	0.7537657	0.8613907	0.2568396	0.0631100	0.1213815	1.0000000	0.7031482
450	0.2756256	0.8580950	0.5645972	0.7519760	0.8589966	0.2554542	0.0631100	0.1213815	1.0000000	0.7020191
500	0.2778960	0.8579693	0.5654299	0.7506481	0.8575712	0.2549401	0.0631100	0.1213815	1.0000000	0.7013406
550	0.3358588	0.7468103	0.5724886	0.6566707	0.8379671	0.2549844	0.0631100	0.1213815	1.0000000	0.8085842
600	0.4747744	0.6213893	0.6043180	0.5856090	0.8210751	0.2570996	0.0631100	0.1213815	1.0000000	0.9042323
