"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.2050974	0.6208967	0.4596997	0.0529387	0.0877907	0.3555288	0.9193028	0.9588965	0.0011092	1.0836665
50	0.2425315	0.5660624	0.4383825	0.0568065	0.0919229	0.1446491	0.9173013	0.8026284	0.0012568	1.0083750
100	0.2368931	0.5822326	0.4854951	0.0458951	0.1172084	0.0346135	0.9572621	0.7426871	0.0011141	0.9105465
150	0.2001498	0.6030657	0.4847241	0.0376145	0.1507403	0.0197009	0.9827923	0.6317760	0.0013939	0.9155445
200	0.1984343	0.5675756	0.3614484	0.0382638	0.1958956	0.0069015	0.8890763	0.5672842	0.0035613	0.9416835
250	0.1611849	0.5718138	0.2862492	0.0411854	0.1826399	0.0222790	0.9461322	0.6058107	0.0038656	0.8528524
300	0.1932911	0.5298051	0.2607002	0.0521026	0.1855068	0.0118015	0.9539122	0.6185811	0.0019622	0.9607857
350	0.1656819	0.5328930	0.2476498	0.0518399	0.2200850	0.0076203	1.0369123	0.5378315	0.0001781	0.9696460
400	0.1789590	0.4957636	0.2646065	0.0677488	0.1410963	0.0014468	0.9913589	0.5533867	0.0007525	1.0127536
450	0.1819623	0.5521117	0.2730696	0.0245042	0.1685255	0.0135216	0.9203097	0.6196262	0.0012761	1.0807165
500	0.1986913	0.5502617	0.2621329	0.0455319	0.1999483	0.0321484	0.9695898	0.5999295	0.0026446	0.9019823
550	0.1789555	0.5087776	0.2922693	0.0422593	0.1410536	0.2347624	1.2035979	0.8249220	0.0027540	0.8785051
600	0.2116887	0.5535854	0.3913197	0.0317667	0.1080114	0.2646299	1.1198488	0.9363972	0.0058579	0.8999998
650	0.1839366	0.5416856	0.3829530	0.0332877	0.0779717	0.2411957	1.0119170	0.9988396	0.0013545	1.0025745
700	0.1791645	0.5543383	0.4662064	0.0616511	0.1036888	0.2850638	1.0918956	1.0804495	0.0008769	1.0077367
750	0.1901764	0.6473118	0.4753080	0.0394226	0.0754325	0.3235784	0.9354639	1.1367608	0.0011752	0.9843126
800	0.2788553	0.5563232	0.4741067	0.0317981	0.0995601	0.3450266	1.0355774	1.0660085	0.0016517	1.0183622
850	0.2370102	0.5559948	0.4914563	0.0257581	0.0888883	0.3017374	1.0439141	1.0231802	0.0000000	0.9509028
900	0.2461237	0.5639669	0.4389386	0.0287316	0.0951284	0.2896003	0.9200183	1.0464309	0.0012372	0.9535594
950	0.1920081	0.5718161	0.4249454	0.0278939	0.0790150	0.3022317	1.1134165	1.0952556	0.0008396	0.9345157
1000	0.1966465	0.5626781	0.5140891	0.0540077	0.1013520	0.2608152	1.0935448	1.0158833	0.0020226	0.9813834

0	0.2050974	0.6208967	0.4596997	0.0529387	0.0877907	0.3555288	0.9193028	0.9588965	0.0011092	1.0836665
50	0.2085592	0.6223136	0.5386189	0.2724593	0.0694560	0.4144612	1.0050606	1.1284151	0.0010292	1.0204154
100	0.2251439	0.6341643	0.7164482	0.4913572	0.0654122	0.3224949	0.8816621	1.0544047	0.0024096	1.0785364
150	0.1814647	0.5884310	0.7996338	0.7286762	0.1224102	0.4437514	1.0495060	1.0580290	0.0076800	1.0018608
200	0.1702005	0.5533212	0.8242769	0.7450921	0.2377314	0.4224586	0.9831144	1.0874374	0.0041055	1.0057610
250	0.1495925	0.5745436	0.8933052	0.8171819	0.2285000	0.3708942	1.0309164	1.0641610	0.0004421	1.0243544
300	0.1425626	0.5575385	0.9220613	0.8182951	0.2531649	0.4002165	1.0622200	0.9457141	0.0004582	1.0432391
350	0.1352413	0.5491860	0.9527092	0.7854379	0.2712263	0.2686858	1.0058891	0.9649371	0.0030003	1.0284975
400	0.0999248	0.5045973	0.8876430	0.6925624	0.1715766	0.3208396	1.0678758	0.8867893	0.0003707	0.9757498
450	0.1082814	0.5505857	0.8022957	0.8117868	0.2495216	0.3543817	1.0501217	0.9331040	0.0033744	0.8881477
500	0.1333447	0.6034795	0.8458493	0.7723992	0.2219077	0.4564448	1.0386390	1.0371963	0.0031880	1.0124841
550	0.1550565	0.5724640	0.9535612	0.4403336	0.2835944	0.3962635	0.9373192	1.0140527	0.0007356	0.9056781
600	0.1645946	0.5531250	0.9098584	0.2177452	0.2138209	0.3538744	1.0754768	1.0158792	0.0079197	0.9795426
650	0.2155414	0.6119629	0.8955661	0.1583966	0.1612310	0.3228929	0.9366475	1.0397279	0.0054341	0.9687144
700	0.2092029	0.6202730	0.7926418	0.0995709	0.1143676	0.3078151	0.9523885	1.0303773	0.0013918	1.0021329
750	0.2637323	0.5938959	0.7173922	0.0510520	0.0786287	0.3098589	1.0743638	0.9469188	0.0011886	1.0806741
800	0.2274774	0.5915640	0.5870633	0.0672201	0.0992420	0.2546537	1.0346678	0.9654731	0.0005694	1.0070187
850	0.2084095	0.6010286	0.5359763	0.0518743	0.1081318	0.3416836	1.0486092	0.8741392	0.0021374	1.0646274
900	0.2199436	0.5220803	0.4901177	0.0746388	0.0817029	0.3405265	0.9691762	0.9004929	0.0067058	0.9375348
950	0.2247802	0.5488182	0.5574788	0.0877678	0.1078066	0.4078382	0.8959458	0.9296644	0.0016670	0.9673300
1000	0.2051284	0.5159940	0.5075396	0.0730702	0.0585221	0.4568549	0.9601146	1.0251814	0.0035290	0.9738215

0	0.2050974	0.6208967	0.4596997	0.0529387	0.0877907	0.3555288	0.9193028	0.9588965	0.0011092	1.0836665
50	0.2062000	0.5698084	0.6157335	0.0922274	0.0659757	0.3833918	0.9853405	0.8181150	0.0007693	1.0138104
100	0.1917411	0.6047192	0.6799275	0.1277055	0.0833602	0.3690976	1.1148983	0.6051304	0.0010136	1.0474372
150	0.1609002	0.5611838	0.6235259	0.1210995	0.0811064	0.3238795	1.0479996	0.5758609	0.0001037	1.1208093
200	0.1921642	0.5302226	0.5912164	0.1002280	0.0749275	0.3008815	1.1092453	0.4580934	0.0020578	0.9724169
250	0.2416427	0.4996286	0.5067782	0.1598759	0.1195882	0.3135092	1.0854104	0.4855986	0.0003917	0.9939411
300	0.2565851	0.4902822	0.4847361	0.1352096	0.0820357	0.2602274	1.0968382	0.4063124	0.0000920	1.1489571
350	0.2069099	0.5305660	0.4804009	0.1224935	0.1074271	0.2325572	1.0027180	0.4086594	0.0000114	1.0341902
400	0.1803765	0.4812597	0.4717975	0.0766612	0.1155048	0.3651229	0.9290932	0.4335901	0.0005717	0.8701843
450	0.1868688	0.5006205	0.4670163	0.1271073	0.0750315	0.3202449	0.9543550	0.3840245	0.0005207	0.9693919
500	0.1715046	0.4801931	0.4668690	0.1149533	0.1118338	0.4504144	1.0500445	0.4626955	0.0006621	0.9613243
550	0.1894409	0.4651013	0.3988763	0.0720273	0.0816752	0.4220163	0.9735363	0.6679514	0.0000000	0.9560831
600	0.1439411	0.4530851	0.3779643	0.0877747	0.0790833	0.3002808	0.9748158	0.8825713	0.0012115	1.0273794
650	0.1183710	0.5391002	0.3950381	0.0708058	0.1065314	0.3144712	0.8450933	0.9596893	0.0004236	1.0101486
700	0.1551136	0.6109233	0.4754715	0.0442662	0.0797301	0.4363421	0.9701458	1.0556002	0.0050616	1.0096558
750	0.1720831	0.5621862	0.5128204	0.0626024	0.1176885	0.3365997	1.0284727	1.0016799	0.0027400	1.0616581
800	0.1838403	0.5989275	0.5388159	0.0657363	0.0625993	0.3417255	0.8463175	1.0607818	0.0028909	1.0576885
850	0.2115798	0.5790605	0.5118489	0.0638810	0.0869957	0.3563901	0.8312903	1.0243802	0.0018959	1.0294660
900	0.2206561	0.6261146	0.4797360	0.0381119	0.0661493	0.3314764	0.9038458	1.0798873	0.0046043	0.9881980
950	0.2449497	0.6465896	0.5221629	0.0434300	0.0794523	0.3897432	0.8851009	1.1080532	0.0000000	0.9612786
1000	0.2629177	0.6469515	0.4537420	0.0456407	0.0940122	0.3424013	0.9745203	1.0173227	0.0020459	1.0082937

0	0.2050974	0.6208967	0.4596997	0.0529387	0.0877907	0.3555288	0.9193028	0.9588965	0.0011092	1.0836665
50	0.3569140	0.5937150	0.5428019	0.0413694	0.0681002	0.4155109	0.8986028	0.9205328	0.0062723	0.8022421
100	0.3291244	0.7001940	0.6644207	0.0612719	0.0980875	0.4401776	1.0215649	0.9431131	0.0017196	0.5076306
150	0.3697756	0.7042780	0.6983722	0.0494039	0.0725561	0.3813741	0.9435229	0.9718649	0.0099882	0.3178407
200	0.3983715	0.6581659	0.7794083	0.0389329	0.0956810	0.3761544	1.0262096	0.9820618	0.0277348	0.2208959
250	0.4483602	0.5899490	0.8638063	0.0519280	0.1116407	0.3927074	0.9593722	0.9909056	0.0364276	0.2416305
300	0.4223984	0.6744358	0.8131945	0.0267829	0.1176539	0.2922425	0.9152451	1.0620065	0.0291185	0.2744240
350	0.4424636	0.6180233	0.8247491	0.0334814	0.1006970	0.3384735	1.0796303	1.0142995	0.0335522	0.2409156
400	0.4129911	0.6279969	0.7435392	0.0669811	0.0973385	0.3595929	0.9031984	1.0693095	0.0288345	0.2845655
450	0.4188081	0.6489327	0.8898723	0.0496765	0.0733033	0.4009022	1.0466964	1.0156799	0.0112289	0.2649756
500	0.5237232	0.6605761	0.8283142	0.0393006	0.1128540	0.3449712	0.9768447	0.9881158	0.0159419	0.2417014
550	0.5307979	0.6689689	0.7056017	0.0293361	0.0829562	0.3704605	0.9783812	0.9095817	0.0118025	0.5972697
600	0.3539791	0.7196402	0.6039311	0.0327349	0.0979375	0.3961195	1.0521033	0.9167719	0.0012068	0.8340078
650	0.3178776	0.6440206	0.5705638	0.0420400	0.1298011	0.3147384	1.0215896	0.9406589	0.0066717	1.0045833
700	0.3159681	0.6479466	0.4523514	0.0333860	0.1011789	0.3450345	0.9903793	0.9399149	0.0035400	0.9950784
750	0.2605759	0.6093601	0.4189324	0.0457482	0.0962562	0.2860111	1.0038833	0.9839343	0.0029067	1.0441317
800	0.2486562	0.6272183	0.3712758	0.0479542	0.1101114	0.3357876	1.0110030	0.9815201	0.0000000	0.9115176
850	0.2643612	0.6184174	0.3822256	0.0613494	0.0811338	0.3732901	0.9352797	0.9990583	0.0046464	1.0646865
900	0.2034717	0.6193862	0.4624264	0.0467899	0.0926457	0.3504582	0.9879091	1.0101528	0.0016534	0.9567106
950	0.1924377	0.6435226	0.4636854	0.0605066	0.0745336	0.3801420	0.9069006	1.0803818	0.0001700	0.9932593
1000	0.2723383	0.6015032	0.4795270	0.0766597	0.1030701	0.4205198	0.9808840	1.1234428	0.0006258	0.9797177

0	0.2050974	0.6208967	0.4596997	0.0529387	0.0877907	0.3555288	0.9193028	0.9588965	0.0011092	1.0836665
50	0.3159137	0.7612923	0.5524279	0.3032531	0.1370128	0.3618016	1.0131732	0.8366438	0.0002550	1.0326691
100	0.3784851	0.8939203	0.6944444	0.6592847	0.1431089	0.3270977	1.0838355	0.7650455	0.0012683	0.9907229
150	0.5233989	1.0172872	0.7709391	0.8537766	0.1889452	0.2469018	1.0585598	0.6676608	0.0003144	0.9845619
200	0.6502123	1.0670526	0.7431063	0.7931870	0.1640062	0.3017604	1.1575704	0.6112925	0.0008055	1.0551694
250	0.7354662	1.0116970	0.7034763	0.8339152	0.2572610	0.2926208	0.9908184	0.5913225	0.0013908	0.9994975
300	0.7261870	0.8748708	0.7516158	0.8083614	0.1894842	0.3526702	0.9963438	0.6540792	0.0034301	0.9842557
350	0.6903256	0.9178796	0.7682729	0.8425096	0.2617902	0.3583400	1.0228690	0.5832744	0.0001138	1.0164610
400	0.6396300	0.8782718	0.7903903	0.7426989	0.2726684	0.3573519	1.0698007	0.6034643	0.0009209	1.0470650
450	0.6543605	0.9742716	0.7613233	0.8327267	0.2892967	0.3333690	0.8760613	0.6676640	0.0032937	1.0479517
500	0.6160992	0.9949078	0.8135434	0.8523297	0.3316116	0.3656848	0.9380212	0.6165498	0.0032092	1.0292268
550	0.6219877	0.9125230	0.7631786	0.5331392	0.2893325	0.4129115	0.9706706	0.7612025	0.0003365	1.0380389
600	0.5166650	0.6902126	0.8520016	0.2883679	0.2504479	0.3318053	1.0279530	0.8228912	0.0035850	0.9599014
650	0.4277433	0.6705355	0.9180184	0.1385326	0.1526080	0.3945025	0.8969879	0.9002492	0.0014696	1.0566894
700	0.3671449	0.6191849	0.8203390	0.0687002	0.0980880	0.4728905	0.9721164	0.9821366	0.0013180	1.1107647
750	0.3016744	0.6112624	0.6758313	0.0445127	0.0688177	0.3507199	0.9913392	0.9367404	0.0000143	1.0943261
800	0.2669046	0.5089354	0.5981902	0.0392611	0.0869057	0.2822528	0.9637721	0.9808804	0.0001418	1.0472079
850	0.2227118	0.4819028	0.5310328	0.0650219	0.0701529	0.3590284	1.0587483	0.8501284	0.0010265	0.9073603
900	0.1650850	0.4478563	0.4732816	0.0590969	0.0802184	0.3457675	1.0184966	0.9597838	0.0005899	0.9355064
950	0.1740548	0.4579023	0.5023960	0.0678765	0.1104796	0.2950903	0.9630503	0.9289828	0.0032880	0.9658174
1000	0.2083989	0.5706275	0.4466305	0.0424000	0.1041063	0.3311759	1.0368419	0.8626796	0.0000628	0.9980764

0	0.2050974	0.6208967	0.4596997	0.0529387	0.0877907	0.3555288	0.9193028	0.9588965	0.0011092	1.0836665
50	0.2162987	0.5045445	0.4651705	0.0551503	0.2077133	0.4210855	0.9953837	0.9694547	0.0027948	1.0677209
100	0.2060211	0.4628455	0.4293866	0.0603608	0.3361636	0.4161250	0.8722838	0.9562514	0.0013402	1.0989404
150	0.1919856	0.5377432	0.4511020	0.0640824	0.3851853	0.3957186	0.9225758	0.8435795	0.0012936	0.9542734
200	0.2049913	0.5546900	0.4374883	0.0888574	0.3404922	0.3923208	1.0137271	0.9347710	0.0036826	0.8760814
250	0.1938181	0.6046575	0.4455963	0.0882964	0.4579560	0.4115645	0.8287658	0.9573060	0.0024638	0.9591820
300	0.2153901	0.6019698	0.4720312	0.0730533	0.4401349	0.3792377	0.9627606	1.0254645	0.0024571	0.9158884
350	0.2422695	0.6761324	0.4560873	0.0581706	0.4670867	0.3682284	1.0959138	0.9785927	0.0033590	0.8187059
400	0.2592391	0.6531852	0.4409158	0.0778495	0.4282981	0.3233018	1.0989124	0.9845614	0.0012733	0.9597671
450	0.2448823	0.6211136	0.4605504	0.0881877	0.3764973	0.4078567	0.9430069	0.9681674	0.0027505	0.8688791
500	0.2800263	0.6329767	0.5275889	0.0778239	0.3771906	0.4105556	0.9351803	1.0638341	0.0089649	0.9960955
550	0.2303894	0.5780504	0.5442645	0.0702418	0.2369842	0.3931503	0.9713680	0.9839499	0.0042329	0.9811553
600	0.2726156	0.6292079	0.5969575	0.0678928	0.1408677	0.3599851	0.9259988	0.9395314	0.0020140	0.9274234
650	0.2961532	0.6152639	0.5186106	0.0456250	0.1139685	0.3563095	0.9102798	0.9634773	0.0008326	1.0343037
