YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1878047	1.0388996	0.1746321	0.3735564	0.3088584	0.3552791	0.2483444	0.9340412	0.6107689	0.4693334
0.2215048	1.0107813	0.1156049	0.6605678	0.4823997	0.8638448	0.0071326	0.7029842	0.9464088	1.0208171
0.1957851	1.0237933	0.4602455	0.1377681	0.0099530	0.0973024	0.2431439	0.5241030	1.0714518	1.0035275
0.2102521	0.9938496	0.4423660	0.2628297	0.2926152	0.2177555	0.2341445	0.4479238	0.7657309	0.5578295
0.2735999	0.9868595	0.1713268	0.5776432	0.5002054	0.6670577	0.1486143	0.9002784	0.7769890	0.3955517
0.2064543	0.9293193	0.2407286	0.3482726	0.0584587	0.3567935	0.2507277	0.5775094	1.0080813	1.0642472
0.1874054	0.9951713	0.2625759	0.2842842	0.6836093	0.3768347	0.2463492	0.6767973	0.9572794	0.9471488
0.2093018	0.8513081	0.0320682	0.6982412	0.6210588	0.8864360	0.0042577	0.7638216	0.8377470	0.9209882
0.3188187	0.7015681	0.0547395	0.6138017	0.3417769	0.7870422	0.0276203	0.4824645	0.9774172	1.0282223
0.0932961	0.9473306	0.3182942	0.1945508	0.3005328	0.1590060	0.2533122	0.7617140	0.8937340	0.8011237
