"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.5326613	0.1716852	0.7060345	0.3020865	0.4196018	0.8755343	0.0100003	0.5240766	0.1178090	0.0470577
50	0.4790606	0.0380126	0.8400433	0.4667851	0.5325776	0.8494989	0.0273635	0.5803504	0.3402926	0.0178603
100	0.6209156	0.0217513	0.7293030	0.6485741	0.5130908	0.7373936	0.0942743	0.5676413	0.4721930	0.0357970
150	0.8263289	0.0023990	0.8480592	0.6594071	0.6286562	0.6924292	0.2775758	0.6646082	0.4970634	0.0622987
200	0.8245689	0.0038716	0.8671722	0.6244893	0.5786238	0.7660524	0.4653887	0.8235119	0.6489550	0.0415211
250	0.7773394	0.0202466	0.9123238	0.8296230	0.5547171	0.6753518	0.3386193	0.8065696	0.4515589	0.1009382
300	0.7394251	0.0106702	0.8765879	0.7357167	0.6098984	0.6192088	0.3320124	0.6141037	0.4973107	0.1086917
350	0.8265962	0.0184349	0.7374541	0.6395745	0.5122043	0.6328401	0.3434785	0.6689682	0.6617757	0.0669134
400	0.5826170	0.0123179	0.8248478	0.7378935	0.6264267	0.7197357	0.4145432	0.8616218	0.5561542	0.1059389
450	0.6253355	0.0075145	0.7394466	0.7298547	0.5489408	0.7203929	0.3153497	0.8355901	0.4695366	0.0555498
500	0.7402891	0.0249573	0.8808540	0.7982474	0.5846372	0.7518420	0.3929710	0.6925147	0.6489055	0.0443618
550	0.7672797	0.1072674	0.7190378	0.4645278	0.6778101	0.6220517	0.2186114	0.7654247	0.3012602	0.0949592
600	0.7080411	0.0724776	0.7311667	0.3604470	0.5865830	0.7201703	0.1600611	0.5944608	0.1364926	0.0763739
650	0.6227815	0.0974342	0.8671289	0.3868324	0.5384788	0.5774881	0.0588595	0.6607159	0.1326294	0.0332012
700	0.6450156	0.1033244	0.7807462	0.3811590	0.5505105	0.7715997	0.0273645	0.4608031	0.0902270	0.0524500
750	0.6576026	0.1167062	0.7771166	0.3427012	0.5167688	0.7851011	0.0570383	0.4899731	0.1539969	0.0282149
800	0.5251534	0.0946132	0.8004615	0.2809108	0.4533749	0.7074724	0.0387581	0.5599422	0.0591339	0.0212398
850	0.5350560	0.0965038	0.7388680	0.2569956	0.5365549	0.8349247	0.0101877	0.4817095	0.1017540	0.0251737
900	0.5977598	0.1064585	0.7833196	0.2795183	0.3711286	0.7368599	0.0169172	0.3967574	0.1043287	0.0488270
950	0.5917582	0.1412494	0.5984362	0.2259990	0.4093621	0.8038361	0.0329897	0.4760246	0.1382055	0.0205382
1000	0.4416039	0.1975616	0.8589479	0.3012312	0.3818835	0.9449688	0.0167875	0.4600765	0.0975031	0.0462560

0	0.6952968	0.1522557	0.7527408	0.2886901	0.4667716	0.8032659	0.0173445	0.5273731	0.1098905	0.0763582
50	0.5301750	0.1626551	0.7169055	0.6043751	0.4928723	0.7189537	0.0076772	0.5294411	0.2481931	0.4781619
100	0.5045319	0.1723081	0.7653464	0.6761888	0.5038889	0.8946700	0.0191217	0.6765686	0.4404188	0.4261910
150	0.4869624	0.3612194	0.7251966	0.7426939	0.5236430	0.7773559	0.0140554	0.6568565	0.5323292	0.4616703
200	0.4792626	0.1726064	0.7985843	0.7276809	0.6277857	0.7199974	0.0301697	0.8062559	0.5415870	0.5136073
250	0.6067561	0.1310185	0.7471205	0.6988851	0.6815323	0.7405057	0.0126592	0.7770751	0.6916624	0.6045692
300	0.5971987	0.1425882	0.6541191	0.6389921	0.5728256	0.8315647	0.0229901	0.6639875	0.6126802	0.5291495
350	0.4506216	0.1404530	0.6846094	0.6428734	0.5487060	0.7808401	0.0110650	0.7240423	0.6320880	0.7427468
400	0.4492551	0.1593367	0.6355211	0.6497582	0.7818130	0.8833213	0.0267142	0.7035804	0.5645036	0.5480245
450	0.4884003	0.1114519	0.7809019	0.7878398	0.5364237	0.6767730	0.0235409	0.7797530	0.6394802	0.6839324
500	0.5362182	0.1426022	0.7663777	0.8068343	0.6639415	0.7366469	0.0151700	0.7431495	0.5909696	0.6027440
