YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.9075298	0.9976129	0.3224982	0.0644703	0.9728161	0.4548825	0.7655308	0.5827727	0.6221614	0.0695259
0.9073185	0.9961369	0.3225899	0.0644800	0.9567681	0.7006257	0.0670935	0.4143035	0.6221135	0.0697143
0.9470050	0.9827019	0.3583656	0.0644787	0.9589603	0.8053362	0.6234179	0.7435562	0.4873961	0.0696881
0.9069395	0.9933033	0.3232156	0.0645669	0.8347582	0.3676808	0.6991463	0.6261656	0.6218244	0.0716901
0.9598830	0.9959467	0.3227237	0.0644991	0.9238597	0.3345459	0.8335748	0.7957764	0.3441234	0.0032624
0.9621254	0.9787743	0.1560456	0.0431328	0.7999119	0.3379049	0.8310928	0.4554317	0.7724563	0.0044983
0.9464657	0.9969154	0.3224250	0.0644582	0.9984656	0.9986551	0.3444980	0.3462387	0.5527198	0.0023723
0.9051765	0.9811977	0.3229471	0.0645293	0.8800145	0.4327486	0.7454059	0.6260687	0.6219734	0.0022821
0.9073536	0.9963861	0.3776023	0.0644596	0.9955951	0.7713407	0.5858580	0.5868797	0.5535480	0.0012965
0.9073549	0.9963968	0.4669132	0.0644583	0.9981859	0.9329201	0.3837181	0.5390778	0.5670103	0.0692794
