YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.3662099	0.4806086	0.6332314	0.8534241	0.1210860	0.2989254	0.0649245	0.0650262	1.0000000
0.5460522	0.0000000	0.0382327	0.1760277	0.8534241	0.1210860	0.0425229	0.0649245	0.0650262	1.0000000
0.2421012	1.0000000	0.0000002	0.4263250	0.8534241	0.1210860	0.0109770	0.0649245	0.0650262	1.0000000
0.2438864	0.9876153	0.0334003	0.0000001	0.8534241	0.1210860	0.0385785	0.0649245	0.0650262	1.0000000
0.3860943	0.3811168	0.4639436	0.6226008	0.0000000	0.1210860	0.2921646	0.0649245	0.0650262	1.0000000
0.0694654	0.3800095	0.4651331	0.6231475	1.0000000	0.0000000	0.2926083	0.0649245	0.0650262	1.0000000
0.2661204	0.8482741	0.1396166	0.3905212	0.8534241	0.1210860	0.0000005	0.0649245	0.0650262	1.0000000
0.2163536	0.6955943	0.2262358	0.4650153	0.9415558	0.0590975	0.2029687	0.0000000	0.0650262	1.0000000
0.2655525	0.8472251	0.1403219	0.3913319	0.8546483	0.1202320	0.1192220	0.0643941	0.0000014	1.0000000
0.3895013	0.9223890	0.0929367	0.3337163	0.2713200	0.8462652	0.0210058	0.6854835	1.0000000	0.0000000
