YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000000	0.2030587	0.1525266	0.3658344	0.7012851	0.0551886	0.0448025	0.4938469	0.6646458	0.7433450
0.2685338	0.0000000	0.2100273	0.3753823	0.6461243	0.0491003	0.0530196	0.4580364	0.7449967	0.7136565
0.3585534	0.0119335	0.0000000	0.3650431	0.7436652	0.0592145	0.0371293	0.4572091	0.7265939	0.7128090
0.0301749	0.0290972	0.0222831	0.0000000	0.7807299	0.0615258	0.0554811	0.4345076	0.6606911	0.6187849
0.5687193	0.6746023	0.4516216	0.7540816	0.0000000	0.2511315	0.0170157	0.4690249	0.8246496	0.1746210
0.2670051	0.1806283	0.1110358	0.2927666	0.6561613	0.0000000	0.0158293	0.4027800	0.6883422	0.7041204
0.3674840	0.2158572	0.1317331	0.4314543	0.7521479	0.0226253	0.0000000	0.4659609	0.7618998	0.7455540
0.4808251	0.5962759	0.4507736	0.6124114	0.5218700	0.4456643	0.6019580	0.0000000	0.7615321	0.0944016
0.2712545	0.2313284	0.1086264	0.4709745	0.8551768	0.0754865	0.0544155	0.0471542	0.0000000	0.7928186
0.3633659	0.3526665	0.1724653	0.4369192	0.6444754	0.0640295	0.0209425	0.5377696	0.8066032	0.0000000
