YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0236846	0.3865944	0.3559253	0.7546882	0.9387350	0.5678592	0.3874545	0.7709657	0.4533281	0.3090511
0.1216062	0.2660189	0.4792539	0.8738466	0.7565220	0.6228230	0.3361011	0.6276083	0.3910061	0.2515231
0.0346998	0.3790989	0.1820687	0.7630532	0.7583688	0.5017115	0.5141756	0.6056232	0.4651310	0.2718638
0.1015024	0.2957134	0.1415123	0.3829392	0.7191479	0.5966513	0.4672359	0.7306767	0.5490545	0.3275139
0.0048440	0.6185583	0.4353437	0.7007660	0.3683107	0.5017958	0.4461146	0.5180771	0.3921487	0.3218189
0.0072496	0.5737295	0.3638440	0.8441561	0.7478239	0.2789283	0.2617707	0.7098097	0.3839290	0.3959452
0.0199186	0.5460855	0.3887327	0.7717023	0.7309236	0.5062161	0.1710667	0.6371448	0.3614611	0.2122846
0.0033486	0.5304913	0.3617662	0.7183091	0.8340574	0.3614833	0.7518172	0.3451784	0.4143665	0.4757181
0.0153540	0.5134269	0.3050857	0.7982130	0.7304293	0.4108166	0.3091663	0.6096489	0.2489585	0.3896685
0.0283551	0.4873505	0.4323701	0.6710360	0.7148650	0.4545545	0.4242047	0.7259910	0.5753762	0.1014072
