"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.7917360	1.0000000	0.0752014	0.6223035	0.6167156	0.2893309	0.6455337	0.9672187	0.9718785	1.0000000
50	0.7853379	0.8298739	0.0756352	0.6210040	0.6309638	0.2144968	0.6455512	0.9672154	0.9734317	1.0000000
100	0.7319159	0.6078869	0.0799951	0.5991920	0.7048600	0.1315540	0.6493952	0.9673378	0.9808939	1.0000000
150	0.6140732	0.4614516	0.0937427	0.5545796	0.7987724	0.0890283	0.6629216	0.9677413	0.9890744	1.0000000
200	0.4708631	0.3813191	0.1189789	0.5155466	0.8636332	0.0776135	0.6838217	0.9683164	0.9943778	1.0000000
250	0.3473711	0.3412128	0.1500004	0.4917109	0.8887506	0.0861540	0.7047305	0.9688589	0.9970168	1.0000000
300	0.2606087	0.3221658	0.1782458	0.4774110	0.8825394	0.1056079	0.7202037	0.9692581	0.9979466	1.0000000
350	0.2068961	0.3134277	0.1989327	0.4682314	0.8578346	0.1275350	0.7283366	0.9694987	0.9977936	1.0000000
400	0.1762788	0.3095162	0.2118942	0.4640388	0.8274694	0.1460926	0.7297299	0.9696068	0.9969421	1.0000000
450	0.1597967	0.3077969	0.2193335	0.4646107	0.8004450	0.1593142	0.7263302	0.9696170	0.9957461	1.0000000
500	0.1512880	0.3070519	0.2236387	0.4678313	0.7803449	0.1677888	0.7204648	0.9695641	0.9945296	1.0000000
550	0.1599478	0.4768588	0.2152948	0.4767249	0.7167856	0.4071052	0.7135333	0.9694678	0.9893898	1.0000000
600	0.2516898	0.6987104	0.1724896	0.5512386	0.5466712	0.6585984	0.6972122	0.9689395	0.9509985	1.0000000
650	0.4066562	0.8450885	0.1302206	0.6891937	0.4243892	0.7374984	0.6611012	0.9665096	0.8848999	1.0000000
700	0.5510877	0.9251971	0.1036733	0.7919470	0.3785049	0.6874165	0.6157570	0.9613393	0.8372679	1.0000000
