YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0000000	0.3908968	0.3013946	0.0644331	0.0852518	0.2586525	0.6796949	0.8219813	0.0016058	0.8232308
0.0666767	0.0000000	0.3072908	0.0583881	0.0575324	0.2177655	0.7615940	0.7289812	0.0008624	0.6857989
0.2200717	0.5123109	0.0000000	0.0432754	0.0475635	0.2476529	0.8187084	0.8087498	0.0046449	0.8260410
0.1197190	0.4318096	0.3439597	0.0000000	0.0429254	0.2764596	0.7508145	0.7528385	0.0010002	0.7210441
0.1440988	0.3911246	0.2853109	0.0568483	0.0000000	0.2931822	0.6238431	0.6206045	0.0002551	0.7860840
0.1840151	0.3826053	0.4015101	0.0247709	0.0461931	0.0000000	0.7005279	0.8496564	0.0000622	0.5460386
0.2639541	0.4296704	0.2551298	0.0227942	0.0894936	0.8283603	0.0000000	0.7962028	0.0006293	0.6716416
0.0799870	0.0107140	0.0236895	0.0455026	0.0817262	0.2579738	0.6648405	0.0000000	0.0003658	0.6367840
0.1522823	0.4546905	0.4205774	0.0502768	0.0643410	0.2598130	0.8844678	0.7603494	0.0000000	0.7493642
0.1620310	0.4630798	0.2423821	0.0438167	0.0861517	0.2498476	0.7414881	0.6713036	0.6826608	0.0000000
