YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	1.1245172	0.7379079	0.3746801	0.6832033	1.0594676	0.1832670	0.5199905	0.9113720	0.9494990
0.9571568	0.0000000	0.5722295	0.4732907	0.6497306	0.9798963	0.7102930	0.1097210	1.0195318	1.0958299
1.0854778	0.0852143	0.0000000	1.0274275	0.0381550	0.0783902	0.8104631	0.0986641	1.0510859	1.0058793
0.9852936	0.1662282	0.0294768	0.0000000	0.0482646	0.0421762	0.8474609	0.1273870	1.0385951	1.0465035
0.2072081	0.9482112	0.9026178	0.9295034	0.0000000	1.0148637	0.1699682	0.5444783	0.9899941	1.0524500
0.2138883	1.0755495	1.0622980	1.0676815	0.0257801	0.0000000	0.2488752	0.4282441	1.0426854	0.9658226
0.1870637	1.0833510	0.5959976	0.3624470	0.6877802	1.1342560	0.0000000	0.4772079	1.1122637	1.0101267
0.2772011	0.9284132	0.7083578	0.4237897	0.6361470	0.9760923	1.0637646	0.0000000	0.9820730	1.0362645
0.2268053	1.0093689	0.5103791	0.3831601	0.7491763	0.9803723	0.0974699	0.9298524	0.0000000	0.9284855
0.1923677	1.0590782	0.6092999	0.3989006	0.7442445	0.9650575	0.0784322	1.0047910	0.0133215	0.0000000
