"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.6479943	0.8392950	0.5711686	0.7774328	0.6320712	0.8498704	0.8978061	0.0376397	0.1936101	0.9506960
50	0.6023141	0.8933693	0.3286524	0.7604921	0.3738597	0.7856886	0.3269488	0.0506609	0.2271752	1.0014773
100	0.6218116	0.9777453	0.2369851	0.7231725	0.1354047	0.5350104	0.1019578	0.0564575	0.1301046	1.0325456
150	0.5538672	0.9030009	0.2774930	0.4242735	0.0627934	0.3963487	0.0499558	0.0426829	0.1430862	1.0769508
200	0.5959110	0.8511983	0.3024185	0.2232812	0.0284419	0.2880068	0.0256890	0.0364137	0.1434153	1.0607492
250	0.6366324	0.8967663	0.3769817	0.0910073	0.0205482	0.1940457	0.0249855	0.0258653	0.1520632	1.0230638
300	0.7535680	0.8954320	0.4007096	0.0307277	0.0247644	0.1989370	0.0169391	0.0496145	0.1762490	1.0175443
350	0.6964788	0.8220099	0.3833686	0.0148867	0.0153110	0.1628404	0.0362582	0.0537679	0.1727059	0.9162539
400	0.6956933	0.8920591	0.4257336	0.0082959	0.0167241	0.1673128	0.0400419	0.0654086	0.2040943	0.9860809
450	0.6560424	0.8558862	0.4559878	0.0121236	0.0218239	0.1518532	0.0382872	0.0584410	0.1591483	0.9486600
500	0.7043042	0.8879780	0.3957059	0.0078997	0.0186646	0.1563993	0.0342306	0.0696507	0.1411846	0.9146846
550	0.6572912	0.8693697	0.7827913	0.0079514	0.0432126	0.2863305	0.6749886	0.0561554	0.1706638	0.8893891
600	0.6314712	0.9800989	0.8962151	0.0356079	0.2241859	0.5919612	0.8865876	0.0477910	0.2151579	0.9572522
650	0.5904210	0.9668231	0.9174421	0.2820181	0.3244574	0.7163393	0.8913552	0.0498263	0.2136140	1.0027272
700	0.5576302	0.9962785	0.8808400	0.5857965	0.4120714	0.8025682	0.8998538	0.0507913	0.2053778	0.9751381
750	0.5314386	0.9729339	0.8032575	0.5777780	0.4199749	0.7450256	0.9129812	0.0442830	0.1788057	1.0645015
800	0.4838144	0.9167926	0.6898112	0.6985906	0.4899203	0.6892465	1.0054301	0.0564838	0.1838216	1.0892922
850	0.5219210	1.0381812	0.6711895	0.7733757	0.6043004	0.7418307	1.0337336	0.0452270	0.1661284	0.9637058
900	0.5546059	0.9898845	0.6734380	0.8784734	0.6851287	0.7582324	0.9997142	0.0424808	0.2048900	0.9724501
950	0.6152580	0.9434917	0.5386599	0.9027468	0.5632625	0.8366636	0.9632867	0.0592055	0.1798615	0.9244444
1000	0.6048299	0.9252266	0.5238841	0.8563287	0.5778608	0.8622942	0.9080058	0.0564207	0.1875850	0.9715830

