YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000036	0.0001589	0.1065351	0.5839373	0.1437869	0.9881293	0.7759472	0.5620828	0.4422644	0.9553284
0.9939168	0.9835549	0.8411192	0.1059588	0.1435205	0.9891470	0.9442696	0.4904001	0.6602995	1.0000000
0.9683143	0.9399430	0.9994450	0.0112002	0.0685992	0.9985671	0.9543366	0.5770073	0.6256160	1.0000000
0.9933908	0.9908915	0.9807549	0.0489994	0.1435262	0.9891244	0.9391975	0.4821330	0.6243135	1.0000000
0.9926912	0.9380790	0.9689914	0.0601494	0.1411015	0.9986695	0.9740875	0.9933323	0.1217171	1.0000000
0.9846051	0.6745770	0.5314601	0.2366503	0.0627903	0.9890857	0.9307686	0.8898521	0.2606948	1.0000000
0.9685369	0.9479755	0.7229928	0.1671595	0.1412270	0.9981671	0.9649552	0.6487115	0.5622129	1.0000000
0.9631599	0.7908727	0.5987658	0.0465710	0.0796011	0.9989348	0.9392044	0.5395273	0.5228988	1.0000000
0.9678883	0.9243679	0.8427619	0.0413481	0.1315717	0.9889097	0.8941012	0.5104618	0.6885629	0.8595473
0.8989267	0.4171563	0.4120444	0.2905554	0.0810548	0.9976078	0.8553815	0.3092318	0.8688487	0.8121833
