"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C

0	0.1078851	0.2380123	0.6448178	0.3662021	0.5363304	0.4694406	0.2675811	0.7590895	0.0616825	0.6944091
50	0.0393908	0.1410736	0.7271085	0.4491232	0.4335692	0.5356874	0.2183103	0.6028697	0.0478231	0.6537908
100	0.0368995	0.1326081	0.7329193	0.4351909	0.5206139	0.4958640	0.2629157	0.6217217	0.0728160	0.4612693
150	0.0246267	0.0666766	0.6015073	0.4755147	0.5969787	0.5303325	0.2503512	0.5448173	0.0787413	0.4470396
200	0.0239425	0.0592838	0.6723266	0.3352174	0.5615157	0.4526356	0.2910881	0.4639029	0.1167605	0.3808351
250	0.0086072	0.0750406	0.6422128	0.4119535	0.4692111	0.5469725	0.2415322	0.4330098	0.1163981	0.4221531
300	0.0265134	0.0915278	0.6157805	0.3656155	0.4848072	0.5483637	0.3314278	0.4035861	0.2433708	0.3934613
350	0.0205497	0.0559337	0.5960296	0.4065747	0.4220930	0.5477032	0.2864355	0.4363072	0.2884959	0.4964716
400	0.0441635	0.0625550	0.5770118	0.4972729	0.5481741	0.4567544	0.4035515	0.4575310	0.2086905	0.5169580
450	0.0551395	0.1523052	0.6233041	0.3763308	0.6345067	0.4525981	0.2405083	0.5235574	0.2039934	0.4532773
500	0.0459784	0.0877731	0.4649952	0.4337710	0.5439010	0.5392879	0.2909759	0.4612571	0.2401828	0.3612941
550	0.0224222	0.2142367	0.4973881	0.3931204	0.5114520	0.5121540	0.3143199	0.3920297	0.2106242	0.5098145
600	0.1128199	0.3423783	0.5621963	0.4918803	0.5253821	0.5086555	0.2718585	0.5273270	0.2093615	0.5966551
650	0.0592512	0.2942028	0.5410916	0.4259834	0.5564926	0.4890137	0.2362154	0.6551782	0.1701731	0.5743148
700	0.0885201	0.2929329	0.7995298	0.3938177	0.6792651	0.4801711	0.3031881	0.6288743	0.1060398	0.7270734
750	0.0451748	0.2483697	0.6888430	0.3917657	0.4900610	0.6746500	0.2834600	0.6268738	0.0683811	0.6628075
800	0.0434583	0.2720128	0.8083414	0.3684462	0.5719153	0.4440685	0.3122455	0.5879821	0.0787398	0.6568423
850	0.0391502	0.2547691	0.6323839	0.3848369	0.4968783	0.4845882	0.1995287	0.5919277	0.0712147	0.6547730
900	0.0733218	0.2850037	0.5257280	0.4422470	0.4397741	0.5067196	0.2621712	0.6415772	0.0526482	0.7146065
950	0.0183164	0.2336247	0.6055710	0.4768303	0.4795504	0.5785498	0.2847683	0.6138523	0.0647331	0.6277962
1000	0.0399377	0.2468630	0.7175379	0.4692173	0.5597280	0.5805192	0.2019537	0.5613179	0.0756296	0.7819774

0	0.0825584	0.3282333	0.6903682	0.3134149	0.5277916	0.4357778	0.2983699	0.6267196	0.0662074	0.4986400
50	0.0695456	0.2603142	0.7392815	0.4278400	0.6346345	0.5395123	0.1325700	0.6872599	0.0581100	0.6827840
100	0.0554148	0.2672475	0.8887046	0.3577578	0.5280094	0.5807728	0.0758430	0.5544795	0.0427005	0.7634805
150	0.0392708	0.2309377	0.7242129	0.3360518	0.7293897	0.4540784	0.0615236	0.6565738	0.1023416	0.8214203
200	0.0295586	0.2274827	0.6687424	0.3307723	0.5907347	0.5361994	0.0841613	0.5992653	0.0634159	0.7177229
250	0.0527998	0.2838054	0.6184331	0.4244602	0.4901161	0.4747047	0.0754486	0.7726215	0.0375400	0.7338166
300	0.0770982	0.2426191	0.6971745	0.4862802	0.6550820	0.5285813	0.0714953	0.6191305	0.0651285	0.6454704
350	0.0519228	0.2426719	0.6721332	0.4569861	0.5711210	0.4712334	0.0913376	0.6561474	0.0976556	0.7350303
400	0.0446570	0.2711224	0.6262714	0.4273749	0.5444045	0.4954342	0.0505657	0.6268725	0.0400181	0.7424296
450	0.0393206	0.3413149	0.5735708	0.3709627	0.6609372	0.4524915	0.0974122	0.5562973	0.0489370	0.7687667
500	0.0405083	0.3414947	0.7008140	0.4872744	0.4589405	0.6147729	0.0944605	0.6546993	0.0761621	0.7118828
550	0.0624657	0.2357749	0.6489460	0.3963203	0.4517617	0.5791587	0.1910566	0.5498068	0.0569048	0.7563547
600	0.0362374	0.2427220	0.6698988	0.4341681	0.5082196	0.7083374	0.1555997	0.6940938	0.0673317	0.7044720
650	0.0748300	0.3059858	0.6670507	0.3410335	0.4644525	0.6529521	0.1720942	0.5974132	0.0500671	0.7794171
700	0.0414927	0.2291807	0.7666691	0.4298591	0.6058078	0.5615677	0.2993553	0.7277060	0.0701851	0.6828685
750	0.0537140	0.2596105	0.7838661	0.3611939	0.4960072	0.5766092	0.2106626	0.6228658	0.0291661	0.7167081
800	0.0611480	0.2462684	0.6563259	0.4356386	0.4877701	0.5592535	0.2972682	0.6461903	0.0575887	0.7376315
850	0.0455797	0.3134424	0.7990254	0.4753968	0.4446390	0.4899150	0.2299072	0.6196714	0.0384677	0.5781526
900	0.0465631	0.3151791	0.6636724	0.3386468	0.5192576	0.5606719	0.2294432	0.7252474	0.0677538	0.7041126
950	0.0626722	0.2490729	0.6441436	0.3728793	0.4890646	0.5195130	0.2677281	0.6127052	0.0708618	0.6494284
1000	0.0553479	0.2582309	0.6584818	0.3679658	0.5474421	0.4864233	0.2155721	0.5665875	0.0513690	0.5955510

0	0.1188520	0.3216021	0.6948649	0.4914449	0.5645483	0.5119871	0.3021023	0.6557179	0.1012863	0.6604399
50	0.2684252	0.2240609	0.6343691	0.4719762	0.4092578	0.6220250	0.1792344	0.6342717	0.0488180	0.7621403
100	0.2649329	0.2729503	0.7092462	0.3076036	0.4824503	0.5223701	0.2623888	0.7016752	0.0918137	0.7454596
