YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.5002771	0.9367578	0.9996738	0.9585461	0.0488368	0.0565369	0.0619039	0.3040388	0.8321588	0.9999414
1.0000000	0.4683831	0.9997740	0.9711200	0.0419076	0.0507201	0.0462329	0.2668051	0.9394492	0.9999817
1.0000000	0.9367619	0.4998931	0.9723513	0.0412584	0.0503090	0.0448366	0.2626552	0.9556674	0.9999837
1.0000000	0.9367578	0.9996738	0.4794356	0.0488367	0.0565368	0.0619038	0.3040387	0.8321588	0.9999414
1.0000000	0.9367578	0.9996738	0.9585462	0.0244334	0.0565368	0.0619038	0.3040387	0.8321588	0.9999414
1.0000000	0.9367578	0.9996738	0.9585465	0.0488365	0.0282730	0.0619037	0.3040386	0.8321588	0.9999414
1.0000000	0.9367629	0.9996738	0.9585474	0.0488360	0.0470820	0.0309514	0.3040353	0.8321677	0.9999962
1.0000000	0.9367634	0.9996738	0.9941241	0.0309821	0.0462826	0.0258401	0.1520529	0.8321682	0.9999982
1.0000000	0.7760720	0.9958070	0.5340745	0.4280753	0.8372847	0.7641504	0.8626770	0.3578571	0.4182192
1.0000000	0.8228423	0.9995096	0.9317426	0.0650787	0.0823205	0.1020345	0.3649159	0.7274275	0.4997809
